utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:03,2025-10-31 21:00:03,Chile,Santiago,South America,15.84,14.6,15.85,61.0,15.07,10000.0,0.0,75.0,8.23,0.0,180.0,1017.0,0,803,Clouds,broken clouds,04n
2025-11-01 06:00:10,2025-11-01 03:00:10,Chile,Santiago,South America,13.17,10.6,14.73,69.0,12.34,10000.0,0.0,20.0,3.09,0.0,150.0,1017.0,0,801,Clouds,few clouds,02n
2025-11-01 12:00:07,2025-11-01 09:00:07,Chile,Santiago,South America,15.46,13.08,16.4,60.0,14.63,10000.0,0.0,17.0,1.34,1.79,338.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-01 18:00:13,2025-11-01 15:00:13,Chile,Santiago,South America,22.43,22.32,23.64,39.0,21.75,10000.0,0.0,0.0,2.57,0.0,0.0,1015.0,1,800,Clear,clear sky,01d
2025-11-02 00:00:05,2025-11-01 21:00:05,Chile,Santiago,South America,21.3,20.3,21.6,44.0,20.63,10000.0,0.0,0.0,5.66,0.0,220.0,1015.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:11,2025-11-02 03:00:11,Chile,Santiago,South America,15.47,14.54,17.82,60.0,14.64,10000.0,0.0,0.0,2.57,0.0,150.0,1016.0,0,800,Clear,clear sky,01n
2025-11-02 12:00:09,2025-11-02 09:00:09,Chile,Santiago,South America,18.29,16.79,18.99,53.0,17.56,10000.0,0.0,0.0,1.14,0.49,258.0,1014.0,1,800,Clear,clear sky,01d
2025-11-02 18:00:08,2025-11-02 15:00:08,Chile,Santiago,South America,25.72,25.29,28.08,31.0,25.16,10000.0,0.0,0.0,5.14,0.0,180.0,1011.0,1,800,Clear,clear sky,01d
2025-11-03 00:00:03,2025-11-02 21:00:03,Chile,Santiago,South America,20.71,19.6,22.27,48.0,20.09,10000.0,0.0,0.0,7.2,0.0,200.0,1014.0,0,800,Clear,clear sky,01n
2025-11-03 06:00:08,2025-11-03 03:00:08,Chile,Santiago,South America,15.68,12.88,17.51,57.0,14.79,10000.0,0.0,45.0,1.18,0.97,238.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-03 12:00:13,2025-11-03 09:00:13,Chile,Santiago,South America,15.99,13.76,18.18,65.0,15.34,10000.0,0.0,40.0,0.0,0.0,0.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-03 18:00:08,2025-11-03 15:00:08,Chile,Santiago,South America,25.72,25.29,28.08,31.0,25.16,10000.0,0.0,0.0,5.14,0.0,180.0,1011.0,1,800,Clear,clear sky,01d
2025-11-04 00:00:08,2025-11-03 21:00:08,Chile,Santiago,South America,16.39,14.6,16.76,67.0,15.83,10000.0,0.0,20.0,8.23,0.0,210.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:06,2025-11-04 03:00:06,Chile,Santiago,South America,11.83,11.6,13.88,77.0,11.08,10000.0,0.0,75.0,3.09,0.0,150.0,1019.0,0,803,Clouds,broken clouds,04n
2025-11-04 12:00:13,2025-11-04 09:00:13,Chile,Santiago,South America,15.15,12.6,16.15,66.0,14.44,10000.0,0.0,75.0,2.57,0.0,180.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-04 18:00:10,2025-11-04 15:00:10,Chile,Santiago,South America,23.21,21.15,25.3,34.0,22.47,10000.0,0.0,0.0,3.09,0.0,220.0,1017.0,1,800,Clear,clear sky,01d
2025-11-05 00:00:05,2025-11-04 21:00:05,Chile,Santiago,South America,19.58,19.43,20.6,55.0,19.03,10000.0,0.0,0.0,5.66,0.0,210.0,1019.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:11,2025-11-05 03:00:11,Chile,Santiago,South America,13.92,12.88,15.96,61.0,12.96,10000.0,0.0,0.0,0.89,0.89,113.0,1018.0,0,800,Clear,clear sky,01n
2025-11-05 12:00:12,2025-11-05 09:00:12,Chile,Santiago,South America,15.64,11.76,17.27,63.0,14.9,10000.0,0.0,0.0,1.03,0.0,50.0,1018.0,1,800,Clear,clear sky,01d
2025-11-05 18:00:10,2025-11-05 15:00:10,Chile,Santiago,South America,23.74,22.82,23.99,37.0,23.14,10000.0,0.0,0.0,5.14,0.0,190.0,1016.0,1,800,Clear,clear sky,01d
2025-11-06 00:00:14,2025-11-05 21:00:14,Chile,Santiago,South America,20.1,19.16,20.73,55.0,19.6,10000.0,0.0,0.0,5.66,0.0,210.0,1017.0,0,800,Clear,clear sky,01n
2025-11-06 06:00:12,2025-11-06 03:00:12,Chile,Santiago,South America,12.63,10.6,14.18,74.0,11.88,10000.0,0.0,0.0,4.63,0.0,150.0,1016.0,0,800,Clear,clear sky,01n
2025-11-06 12:00:13,2025-11-06 09:00:13,Chile,Santiago,South America,12.72,10.6,15.13,75.0,12.01,4000.0,0.0,100.0,2.57,0.0,160.0,1017.0,1,721,Haze,haze,50d
