utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:04,2025-11-01 02:00:04,Cyprus,Nicosia,Asia,12.94,12.94,12.94,82.0,12.43,10000.0,0.0,0.0,2.57,0.0,250.0,1018.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:11,2025-11-01 08:00:11,Cyprus,Nicosia,Asia,16.94,16.94,16.94,72.0,16.57,10000.0,0.0,40.0,3.09,0.0,250.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-11-01 12:00:08,2025-11-01 14:00:08,Cyprus,Nicosia,Asia,27.94,27.94,27.94,28.0,26.97,10000.0,0.0,0.0,1.54,0.0,360.0,1017.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:13,2025-11-01 20:00:13,Cyprus,Nicosia,Asia,16.94,16.94,16.94,72.0,16.57,10000.0,0.0,0.0,2.57,0.0,230.0,1019.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:06,2025-11-02 02:00:06,Cyprus,Nicosia,Asia,13.94,13.94,13.94,88.0,13.69,10000.0,0.0,0.0,3.09,0.0,240.0,1018.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:12,2025-11-02 08:00:12,Cyprus,Nicosia,Asia,13.94,13.94,13.94,62.0,13.01,10000.0,0.0,0.0,2.06,0.0,240.0,1019.0,1,800,Clear,clear sky,01d
2025-11-02 12:00:10,2025-11-02 14:00:10,Cyprus,Nicosia,Asia,28.94,28.94,28.94,21.0,27.44,10000.0,0.0,0.0,3.6,0.0,60.0,1017.0,1,800,Clear,clear sky,01d
2025-11-02 18:00:09,2025-11-02 20:00:09,Cyprus,Nicosia,Asia,14.94,14.94,14.94,47.0,13.72,10000.0,0.0,0.0,1.54,0.0,240.0,1018.0,0,800,Clear,clear sky,01n
2025-11-03 00:00:04,2025-11-03 02:00:04,Cyprus,Nicosia,Asia,11.94,11.94,11.94,66.0,10.91,10000.0,0.0,0.0,3.6,0.0,240.0,1017.0,0,800,Clear,clear sky,01n
2025-11-03 06:00:09,2025-11-03 08:00:09,Cyprus,Nicosia,Asia,16.94,16.94,16.94,45.0,15.86,10000.0,0.0,0.0,2.06,0.0,240.0,1018.0,1,800,Clear,clear sky,01d
2025-11-03 12:00:14,2025-11-03 14:00:14,Cyprus,Nicosia,Asia,29.94,29.94,29.94,20.0,28.19,10000.0,0.0,75.0,2.06,0.0,90.0,1018.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:09,2025-11-03 20:00:09,Cyprus,Nicosia,Asia,14.94,14.94,14.94,47.0,13.72,10000.0,0.0,0.0,1.54,0.0,240.0,1018.0,0,800,Clear,clear sky,01n
2025-11-04 00:00:09,2025-11-04 02:00:09,Cyprus,Nicosia,Asia,18.94,18.94,18.94,48.0,18.14,10000.0,0.0,40.0,1.54,0.0,250.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-04 06:00:07,2025-11-04 08:00:07,Cyprus,Nicosia,Asia,17.94,17.94,17.94,55.0,17.23,10000.0,0.0,20.0,2.57,0.0,260.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-04 12:00:14,2025-11-04 14:00:14,Cyprus,Nicosia,Asia,28.94,28.94,28.94,42.0,28.73,10000.0,0.0,40.0,3.09,0.0,70.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:10,2025-11-04 20:00:10,Cyprus,Nicosia,Asia,19.94,19.94,19.94,73.0,19.9,10000.0,0.0,40.0,0.0,0.0,0.0,1017.0,0,802,Clouds,scattered clouds,03n
2025-11-05 00:00:06,2025-11-05 02:00:06,Cyprus,Nicosia,Asia,14.94,14.94,14.94,67.0,14.24,10000.0,0.0,0.0,1.54,0.0,260.0,1017.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:12,2025-11-05 08:00:12,Cyprus,Nicosia,Asia,17.94,17.94,17.94,59.0,17.33,10000.0,0.0,0.0,1.54,0.0,230.0,1017.0,1,800,Clear,clear sky,01d
2025-11-05 12:00:13,2025-11-05 14:00:13,Cyprus,Nicosia,Asia,29.94,29.94,29.94,32.0,28.85,10000.0,0.0,0.0,5.14,0.0,30.0,1014.0,1,800,Clear,clear sky,01d
2025-11-05 18:00:11,2025-11-05 20:00:11,Cyprus,Nicosia,Asia,18.94,18.94,18.94,52.0,18.25,10000.0,0.0,40.0,1.54,0.0,240.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-06 00:00:16,2025-11-06 02:00:16,Cyprus,Nicosia,Asia,13.94,13.94,13.94,58.0,12.9,10000.0,0.0,0.0,2.57,0.0,250.0,1012.0,0,800,Clear,clear sky,01n
