utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:04,2025-11-01 01:00:04,Czech Republic,Prague,Europe,5.96,5.34,6.42,90.0,3.6,10000.0,0.0,0.0,3.09,0.0,110.0,1019.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:11,2025-11-01 07:00:11,Czech Republic,Prague,Europe,4.18,3.49,5.4,93.0,2.65,10000.0,0.0,0.0,1.79,1.79,95.0,1018.0,1,800,Clear,clear sky,01d
2025-11-01 12:00:08,2025-11-01 13:00:08,Czech Republic,Prague,Europe,13.04,12.7,17.14,68.0,12.18,10000.0,0.0,0.0,2.06,0.0,40.0,1015.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:14,2025-11-01 19:00:14,Czech Republic,Prague,Europe,10.63,9.23,11.32,88.0,10.05,10000.0,0.0,0.0,2.24,0.0,80.0,1015.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:06,2025-11-02 01:00:06,Czech Republic,Prague,Europe,9.94,9.26,10.76,93.0,8.37,10000.0,0.59,20.0,3.13,0.0,180.0,1015.0,0,500,Rain,light rain,10n
2025-11-02 06:00:12,2025-11-02 07:00:12,Czech Republic,Prague,Europe,9.8,9.09,10.31,95.0,8.54,10000.0,3.65,100.0,2.57,0.0,180.0,1014.0,1,501,Rain,moderate rain,10d
2025-11-02 12:00:10,2025-11-02 13:00:10,Czech Republic,Prague,Europe,10.82,9.84,11.6,96.0,10.46,2000.0,2.73,100.0,1.03,0.0,0.0,1013.0,1,501,Rain,moderate rain,10d
2025-11-02 18:00:09,2025-11-02 19:00:09,Czech Republic,Prague,Europe,9.1,8.18,9.7,95.0,7.38,10000.0,0.93,75.0,3.09,0.0,200.0,1014.0,0,500,Rain,light rain,10n
2025-11-03 00:00:04,2025-11-03 01:00:04,Czech Republic,Prague,Europe,8.96,8.18,9.7,95.0,6.44,8000.0,0.0,100.0,4.63,0.0,210.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:09,2025-11-03 07:00:09,Czech Republic,Prague,Europe,8.31,7.62,9.17,93.0,5.22,10000.0,0.0,100.0,5.66,0.0,250.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:14,2025-11-03 13:00:14,Czech Republic,Prague,Europe,10.25,8.95,11.31,76.0,9.31,10000.0,0.0,75.0,7.72,0.0,260.0,1021.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:09,2025-11-03 19:00:09,Czech Republic,Prague,Europe,9.1,8.18,9.7,95.0,7.38,10000.0,0.93,75.0,3.09,0.0,200.0,1014.0,0,500,Rain,light rain,10n
2025-11-04 00:00:09,2025-11-04 01:00:09,Czech Republic,Prague,Europe,6.82,5.49,7.93,88.0,3.34,10000.0,0.0,0.0,5.66,0.0,210.0,1025.0,0,800,Clear,clear sky,01n
2025-11-04 06:00:07,2025-11-04 07:00:07,Czech Republic,Prague,Europe,5.54,4.45,6.51,92.0,2.51,10000.0,0.0,0.0,4.02,4.47,130.0,1025.0,1,800,Clear,clear sky,01d
2025-11-04 12:00:14,2025-11-04 13:00:14,Czech Republic,Prague,Europe,12.45,11.17,13.34,69.0,11.55,10000.0,0.0,40.0,3.13,0.0,210.0,1025.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:10,2025-11-04 19:00:10,Czech Republic,Prague,Europe,8.24,6.68,9.17,86.0,6.32,10000.0,0.0,0.0,3.13,0.0,80.0,1025.0,0,800,Clear,clear sky,01n
