utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:05,2025-10-31 18:00:05,El Salvador,San Salvador,North America,26.38,23.31,26.38,61.0,26.38,10000.0,0.0,0.0,3.09,0.0,340.0,1013.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:12,2025-11-01 00:00:12,El Salvador,San Salvador,North America,19.4,19.4,19.42,100.0,20.01,10000.0,0.0,100.0,1.77,2.55,346.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-01 12:00:08,2025-11-01 06:00:08,El Salvador,San Salvador,North America,17.2,17.2,17.2,87.0,17.25,10000.0,0.0,97.0,2.05,3.15,348.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-11-01 18:00:14,2025-11-01 12:00:14,El Salvador,San Salvador,North America,27.04,25.38,27.73,69.0,28.84,10000.0,0.0,0.0,3.6,0.0,350.0,1013.0,1,800,Clear,clear sky,01d
2025-11-02 00:00:06,2025-11-01 18:00:06,El Salvador,San Salvador,North America,26.38,24.42,26.38,57.0,26.38,10000.0,0.0,20.0,2.06,0.0,340.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-02 06:00:12,2025-11-02 00:00:12,El Salvador,San Salvador,North America,19.4,19.4,19.42,100.0,20.01,10000.0,0.0,87.0,1.48,1.49,349.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-02 12:00:10,2025-11-02 06:00:10,El Salvador,San Salvador,North America,18.31,18.31,18.31,85.0,18.42,10000.0,0.0,65.0,1.9,2.16,346.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:09,2025-11-02 12:00:09,El Salvador,San Salvador,North America,27.04,25.38,27.75,67.0,28.67,10000.0,0.0,0.0,2.06,0.0,350.0,1014.0,1,800,Clear,clear sky,01d
2025-11-03 00:00:05,2025-11-02 18:00:05,El Salvador,San Salvador,North America,25.38,24.42,25.38,73.0,25.88,10000.0,0.2,20.0,2.57,0.0,200.0,1014.0,0,500,Rain,light rain,10n
2025-11-03 06:00:10,2025-11-03 00:00:10,El Salvador,San Salvador,North America,21.62,21.09,21.62,100.0,22.45,10000.0,0.2,100.0,1.26,1.72,345.0,1015.0,0,500,Rain,light rain,10n
2025-11-03 12:00:14,2025-11-03 06:00:14,El Salvador,San Salvador,North America,21.09,21.09,21.09,91.0,21.63,10000.0,0.0,100.0,2.21,3.89,349.0,1015.0,1,804,Clouds,overcast clouds,04d
