utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:05,2025-11-01 03:00:05,Ethiopia,Addis Ababa,Africa,12.23,12.23,12.23,58.0,11.02,10000.0,0.0,40.0,1.54,0.0,70.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-01 06:00:12,2025-11-01 09:00:12,Ethiopia,Addis Ababa,Africa,15.23,15.23,15.23,47.0,14.04,8000.0,0.0,20.0,1.03,0.0,320.0,1019.0,1,721,Haze,haze,50d
2025-11-01 12:00:09,2025-11-01 15:00:09,Ethiopia,Addis Ababa,Africa,23.23,23.23,23.23,28.0,22.34,10000.0,0.0,40.0,2.57,0.0,90.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:14,2025-11-01 21:00:14,Ethiopia,Addis Ababa,Africa,17.23,17.23,17.23,42.0,16.11,10000.0,0.0,40.0,6.17,0.0,60.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-02 00:00:07,2025-11-02 03:00:07,Ethiopia,Addis Ababa,Africa,12.23,12.23,12.23,58.0,11.02,10000.0,0.0,40.0,2.06,0.0,210.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:13,2025-11-02 09:00:13,Ethiopia,Addis Ababa,Africa,15.23,15.23,15.23,44.0,13.96,10000.0,0.0,0.0,4.12,0.0,80.0,1019.0,1,800,Clear,clear sky,01d
2025-11-02 12:00:11,2025-11-02 15:00:11,Ethiopia,Addis Ababa,Africa,22.23,22.23,22.23,30.0,21.29,10000.0,0.0,40.0,5.14,0.0,120.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:10,2025-11-02 21:00:10,Ethiopia,Addis Ababa,Africa,17.23,17.23,17.23,39.0,16.03,10000.0,0.0,40.0,5.66,0.0,50.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-11-03 00:00:05,2025-11-03 03:00:05,Ethiopia,Addis Ababa,Africa,12.23,12.23,12.23,54.0,10.92,10000.0,0.0,40.0,3.6,0.0,190.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:10,2025-11-03 09:00:10,Ethiopia,Addis Ababa,Africa,16.23,16.23,16.23,44.0,15.06,10000.0,0.0,0.0,6.17,0.0,70.0,1021.0,1,800,Clear,clear sky,01d
2025-11-03 12:00:15,2025-11-03 15:00:15,Ethiopia,Addis Ababa,Africa,22.23,22.23,22.23,37.0,21.47,10000.0,0.0,40.0,4.63,0.0,110.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-11-03 18:00:10,2025-11-03 21:00:10,Ethiopia,Addis Ababa,Africa,17.23,17.23,17.23,39.0,16.03,10000.0,0.0,40.0,5.66,0.0,50.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-11-04 00:00:10,2025-11-04 03:00:10,Ethiopia,Addis Ababa,Africa,13.23,13.23,13.23,54.0,12.02,10000.0,0.0,40.0,2.57,0.0,100.0,1020.0,0,802,Clouds,scattered clouds,03n
