utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:05,2025-10-31 21:00:05,Falkland Islands (Islas Malvinas),Stanley,South America,7.56,7.56,7.56,76.0,3.74,10000.0,0.0,60.0,7.2,11.94,253.0,991.0,0,803,Clouds,broken clouds,04n
2025-11-01 06:00:12,2025-11-01 03:00:12,Falkland Islands (Islas Malvinas),Stanley,South America,6.27,6.27,6.27,86.0,2.4,10000.0,0.24,94.0,6.28,10.21,288.0,988.0,0,500,Rain,light rain,10n
2025-11-01 12:00:09,2025-11-01 09:00:09,Falkland Islands (Islas Malvinas),Stanley,South America,5.44,5.44,5.44,76.0,-0.17,10000.0,0.0,100.0,11.37,14.1,221.0,990.0,1,804,Clouds,overcast clouds,04d
2025-11-01 18:00:14,2025-11-01 15:00:14,Falkland Islands (Islas Malvinas),Stanley,South America,7.32,7.32,7.32,61.0,2.73,10000.0,0.16,75.0,9.72,12.87,248.0,990.0,1,500,Rain,light rain,10d
2025-11-02 00:00:07,2025-11-01 21:00:07,Falkland Islands (Islas Malvinas),Stanley,South America,5.89,5.89,5.89,81.0,1.11,10000.0,0.0,20.0,8.75,0.0,270.0,989.0,0,801,Clouds,few clouds,02n
2025-11-02 06:00:13,2025-11-02 03:00:13,Falkland Islands (Islas Malvinas),Stanley,South America,3.72,3.72,3.72,87.0,-2.35,6945.0,0.31,87.0,10.89,13.88,245.0,988.0,0,500,Rain,light rain,10n
2025-11-02 12:00:11,2025-11-02 09:00:11,Falkland Islands (Islas Malvinas),Stanley,South America,5.06,5.06,5.06,66.0,-0.92,10000.0,0.17,96.0,12.43,16.55,246.0,989.0,1,500,Rain,light rain,10d
2025-11-02 18:00:10,2025-11-02 15:00:10,Falkland Islands (Islas Malvinas),Stanley,South America,6.12,6.12,6.12,59.0,0.49,10000.0,0.0,84.0,12.53,17.56,242.0,990.0,1,803,Clouds,broken clouds,04d
2025-11-03 00:00:05,2025-11-02 21:00:05,Falkland Islands (Islas Malvinas),Stanley,South America,4.12,4.12,4.12,68.0,-2.07,10000.0,0.0,72.0,11.91,19.0,249.0,990.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:10,2025-11-03 03:00:10,Falkland Islands (Islas Malvinas),Stanley,South America,2.91,2.91,2.91,76.0,-4.09,10000.0,0.21,68.0,14.21,19.11,254.0,990.0,0,500,Rain,light rain,10n
2025-11-03 12:00:15,2025-11-03 09:00:15,Falkland Islands (Islas Malvinas),Stanley,South America,4.35,4.35,4.35,68.0,-2.28,10000.0,0.13,81.0,14.29,19.84,244.0,990.0,1,500,Rain,light rain,10d
2025-11-03 18:00:10,2025-11-03 15:00:10,Falkland Islands (Islas Malvinas),Stanley,South America,6.12,6.12,6.12,59.0,0.49,10000.0,0.0,84.0,12.53,17.56,242.0,990.0,1,803,Clouds,broken clouds,04d
2025-11-04 00:00:10,2025-11-03 21:00:10,Falkland Islands (Islas Malvinas),Stanley,South America,3.42,3.42,3.42,61.0,-3.46,10000.0,0.13,82.0,13.9,18.7,229.0,994.0,0,500,Rain,light rain,10n
2025-11-04 06:00:08,2025-11-04 03:00:08,Falkland Islands (Islas Malvinas),Stanley,South America,2.99,2.99,2.99,65.0,-4.01,10000.0,0.21,90.0,14.09,18.19,229.0,995.0,0,500,Rain,light rain,10n
2025-11-04 12:00:15,2025-11-04 09:00:15,Falkland Islands (Islas Malvinas),Stanley,South America,3.3,3.3,3.3,62.0,-3.7,10000.0,0.11,96.0,14.89,17.98,220.0,999.0,1,500,Rain,light rain,10d
2025-11-04 18:00:11,2025-11-04 15:00:11,Falkland Islands (Islas Malvinas),Stanley,South America,4.86,4.86,4.86,70.0,-1.6,10000.0,0.0,75.0,14.4,0.0,220.0,1004.0,1,803,Clouds,broken clouds,04d
2025-11-05 00:00:07,2025-11-04 21:00:07,Falkland Islands (Islas Malvinas),Stanley,South America,3.48,3.48,3.48,68.0,-2.97,10000.0,0.12,99.0,12.09,15.17,216.0,1010.0,0,500,Rain,light rain,10n
2025-11-05 06:00:12,2025-11-05 03:00:12,Falkland Islands (Islas Malvinas),Stanley,South America,4.28,4.28,4.28,65.0,-1.76,10000.0,0.0,100.0,11.55,14.35,221.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-05 12:00:14,2025-11-05 09:00:14,Falkland Islands (Islas Malvinas),Stanley,South America,5.89,5.89,5.89,100.0,0.57,10000.0,0.22,100.0,10.8,0.0,250.0,1013.0,1,500,Rain,light rain,10d
2025-11-05 18:00:12,2025-11-05 15:00:12,Falkland Islands (Islas Malvinas),Stanley,South America,7.86,7.86,7.86,76.0,2.78,10000.0,0.0,75.0,12.86,0.0,230.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-06 00:00:18,2025-11-05 21:00:18,Falkland Islands (Islas Malvinas),Stanley,South America,6.06,6.06,6.06,67.0,1.39,10000.0,0.0,64.0,8.54,10.34,216.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-06 06:00:14,2025-11-06 03:00:14,Falkland Islands (Islas Malvinas),Stanley,South America,4.67,4.67,4.67,84.0,0.49,10000.0,0.0,100.0,5.98,9.08,248.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-06 12:00:15,2025-11-06 09:00:15,Falkland Islands (Islas Malvinas),Stanley,South America,6.79,6.79,6.79,74.0,3.36,10000.0,0.0,99.0,5.5,7.05,302.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-06 18:00:07,2025-11-06 15:00:07,Falkland Islands (Islas Malvinas),Stanley,South America,7.21,7.21,7.21,85.0,4.1,10000.0,0.11,93.0,4.99,7.39,206.0,1011.0,1,500,Rain,light rain,10d
2025-11-07 00:00:12,2025-11-06 21:00:12,Falkland Islands (Islas Malvinas),Stanley,South America,5.68,5.68,5.68,86.0,0.83,10000.0,0.0,99.0,8.74,11.95,217.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-07 06:00:09,2025-11-07 03:00:09,Falkland Islands (Islas Malvinas),Stanley,South America,5.12,5.12,5.12,84.0,0.33,10000.0,0.0,31.0,8.0,11.07,231.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-07 12:00:14,2025-11-07 09:00:14,Falkland Islands (Islas Malvinas),Stanley,South America,5.89,5.89,5.89,93.0,0.96,10000.0,0.0,75.0,9.26,0.0,230.0,1016.0,1,301,Drizzle,drizzle,09d
2025-11-07 18:00:10,2025-11-07 15:00:10,Falkland Islands (Islas Malvinas),Stanley,South America,9.89,9.89,9.89,76.0,9.02,10000.0,0.0,75.0,2.06,0.0,310.0,1015.0,1,803,Clouds,broken clouds,04d
