utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:05,2025-11-01 00:00:05,Faroe Islands,Tórshavn,Europe,10.19,10.19,10.19,93.0,9.69,10000.0,2.65,100.0,5.6,8.51,169.0,981.0,0,501,Rain,moderate rain,10n
2025-11-01 06:00:12,2025-11-01 06:00:12,Faroe Islands,Tórshavn,Europe,10.19,10.19,10.19,82.0,9.41,9919.0,0.32,74.0,11.74,17.8,137.0,979.0,0,500,Rain,light rain,10n
2025-11-01 12:00:09,2025-11-01 12:00:09,Faroe Islands,Tórshavn,Europe,10.19,10.19,10.19,89.0,9.59,10000.0,0.1,99.0,2.71,3.09,231.0,981.0,1,500,Rain,light rain,10d
2025-11-01 18:00:14,2025-11-01 18:00:14,Faroe Islands,Tórshavn,Europe,7.19,7.19,7.19,90.0,4.29,10000.0,0.0,99.0,4.53,5.34,264.0,981.0,0,804,Clouds,overcast clouds,04n
2025-11-02 00:00:07,2025-11-02 00:00:07,Faroe Islands,Tórshavn,Europe,8.19,8.19,8.19,81.0,4.99,10000.0,0.0,100.0,5.88,8.51,240.0,984.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:13,2025-11-02 06:00:13,Faroe Islands,Tórshavn,Europe,8.19,8.19,8.19,76.0,4.74,10000.0,0.0,79.0,6.6,8.15,194.0,985.0,0,803,Clouds,broken clouds,04n
2025-11-02 12:00:11,2025-11-02 12:00:11,Faroe Islands,Tórshavn,Europe,8.19,8.19,8.19,82.0,4.66,10000.0,0.14,66.0,6.85,9.18,151.0,985.0,1,500,Rain,light rain,10d
2025-11-02 18:00:10,2025-11-02 18:00:10,Faroe Islands,Tórshavn,Europe,6.19,6.19,6.19,88.0,4.73,10000.0,0.0,94.0,2.02,1.81,57.0,984.0,0,804,Clouds,overcast clouds,04n
2025-11-03 00:00:05,2025-11-03 00:00:05,Faroe Islands,Tórshavn,Europe,7.19,7.19,7.19,86.0,5.15,10000.0,0.0,45.0,2.98,4.47,224.0,985.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:10,2025-11-03 06:00:10,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,91.0,6.21,10000.0,0.37,87.0,6.0,8.0,174.0,984.0,0,500,Rain,light rain,10n
2025-11-03 12:00:15,2025-11-03 12:00:15,Faroe Islands,Tórshavn,Europe,10.19,10.19,10.19,96.0,9.77,2143.0,1.59,100.0,6.59,9.97,172.0,980.0,1,501,Rain,moderate rain,10d
2025-11-03 18:00:10,2025-11-03 18:00:10,Faroe Islands,Tórshavn,Europe,6.19,6.19,6.19,88.0,4.73,10000.0,0.0,94.0,2.02,1.81,57.0,984.0,0,804,Clouds,overcast clouds,04n
2025-11-04 00:00:10,2025-11-04 00:00:10,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,94.0,4.61,8861.0,0.59,99.0,12.67,17.79,226.0,976.0,0,500,Rain,light rain,10n
2025-11-04 06:00:08,2025-11-04 06:00:08,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,92.0,5.12,10000.0,0.28,98.0,10.1,14.69,207.0,979.0,0,500,Rain,light rain,10n
2025-11-04 12:00:15,2025-11-04 12:00:15,Faroe Islands,Tórshavn,Europe,10.19,10.19,10.19,90.0,9.61,10000.0,0.14,98.0,15.14,19.36,220.0,983.0,1,500,Rain,light rain,10d
2025-11-04 18:00:11,2025-11-04 18:00:11,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,90.0,4.13,10000.0,0.2,97.0,15.62,19.39,227.0,987.0,0,500,Rain,light rain,10n
2025-11-05 00:00:07,2025-11-05 00:00:07,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,91.0,5.21,10000.0,0.0,96.0,9.68,13.22,231.0,994.0,0,804,Clouds,overcast clouds,04n
2025-11-05 06:00:12,2025-11-05 06:00:12,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,93.0,8.3,10000.0,0.15,89.0,1.94,2.91,350.0,999.0,0,500,Rain,light rain,10n
2025-11-05 12:00:14,2025-11-05 12:00:14,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,87.0,6.69,10000.0,0.0,99.0,4.71,4.87,56.0,1004.0,1,804,Clouds,overcast clouds,04d
2025-11-05 18:00:12,2025-11-05 18:00:12,Faroe Islands,Tórshavn,Europe,8.19,8.19,8.19,88.0,4.86,10000.0,0.0,98.0,6.23,6.37,53.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-11-06 00:00:18,2025-11-06 00:00:18,Faroe Islands,Tórshavn,Europe,7.19,7.19,7.19,87.0,3.53,10000.0,0.0,100.0,6.39,6.88,47.0,1009.0,0,804,Clouds,overcast clouds,04n
2025-11-06 06:00:14,2025-11-06 06:00:14,Faroe Islands,Tórshavn,Europe,7.19,7.19,7.19,86.0,2.75,10000.0,0.0,100.0,8.96,10.85,60.0,1009.0,0,804,Clouds,overcast clouds,04n
2025-11-06 12:00:15,2025-11-06 12:00:15,Faroe Islands,Tórshavn,Europe,8.19,8.19,8.19,78.0,3.38,10000.0,0.0,100.0,12.04,14.24,75.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-11-06 18:00:07,2025-11-06 18:00:07,Faroe Islands,Tórshavn,Europe,9.19,9.19,9.19,87.0,4.29,3071.0,3.02,100.0,14.57,18.99,75.0,1002.0,0,501,Rain,moderate rain,10n
2025-11-07 00:00:12,2025-11-07 00:00:12,Faroe Islands,Tórshavn,Europe,10.19,10.19,10.19,92.0,9.67,235.0,0.75,100.0,3.79,4.82,91.0,999.0,0,500,Rain,light rain,10n
