utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:05,2025-11-01 02:00:05,Finland,Helsinki,Europe,5.22,4.49,5.84,98.0,3.56,10000.0,0.0,75.0,2.06,0.0,320.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-01 06:00:12,2025-11-01 08:00:12,Finland,Helsinki,Europe,5.55,4.76,6.27,96.0,3.49,10000.0,0.0,75.0,2.57,0.0,290.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-01 12:00:09,2025-11-01 14:00:09,Finland,Helsinki,Europe,7.05,6.54,7.81,89.0,6.49,10000.0,0.0,75.0,1.34,1.79,282.0,1018.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:15,2025-11-01 20:00:15,Finland,Helsinki,Europe,6.32,5.32,6.77,94.0,4.68,10000.0,0.0,75.0,2.24,2.68,125.0,1018.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:07,2025-11-02 02:00:07,Finland,Helsinki,Europe,7.37,5.62,8.43,84.0,4.76,10000.0,0.0,75.0,4.02,7.15,146.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:13,2025-11-02 08:00:13,Finland,Helsinki,Europe,7.51,6.73,8.43,88.0,2.2,10000.0,0.0,20.0,13.41,15.2,143.0,1011.0,1,801,Clouds,few clouds,02d
2025-11-02 12:00:11,2025-11-02 14:00:11,Finland,Helsinki,Europe,7.19,6.61,7.88,97.0,3.61,6000.0,0.75,75.0,6.17,0.0,150.0,1008.0,1,500,Rain,light rain,10d
2025-11-02 18:00:10,2025-11-02 20:00:10,Finland,Helsinki,Europe,8.72,8.27,9.41,98.0,4.55,5000.0,0.0,75.0,9.83,11.62,204.0,1008.0,0,300,Drizzle,light intensity drizzle,09n
2025-11-03 00:00:05,2025-11-03 02:00:05,Finland,Helsinki,Europe,8.38,7.54,8.83,96.0,7.25,10000.0,0.0,75.0,2.06,0.0,210.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:10,2025-11-03 08:00:10,Finland,Helsinki,Europe,8.92,8.03,9.65,97.0,5.94,10000.0,0.0,75.0,5.81,6.26,207.0,1008.0,1,803,Clouds,broken clouds,04d
2025-11-03 12:00:15,2025-11-03 14:00:15,Finland,Helsinki,Europe,9.58,8.94,10.32,96.0,6.36,10000.0,0.0,75.0,7.15,8.05,218.0,1008.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:10,2025-11-03 20:00:10,Finland,Helsinki,Europe,8.72,8.27,9.41,98.0,4.55,5000.0,0.0,75.0,9.83,11.62,204.0,1008.0,0,300,Drizzle,light intensity drizzle,09n
2025-11-04 00:00:10,2025-11-04 02:00:10,Finland,Helsinki,Europe,5.92,4.5,7.16,89.0,3.93,10000.0,0.0,20.0,2.57,0.0,280.0,1011.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:08,2025-11-04 08:00:08,Finland,Helsinki,Europe,5.65,4.21,6.72,98.0,3.53,10000.0,0.0,75.0,2.68,3.58,150.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-04 12:00:15,2025-11-04 14:00:15,Finland,Helsinki,Europe,9.19,8.76,10.24,90.0,4.98,10000.0,0.0,75.0,10.73,12.52,194.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-04 18:00:11,2025-11-04 20:00:11,Finland,Helsinki,Europe,9.76,9.38,10.55,98.0,5.49,4000.0,0.0,100.0,12.07,14.75,200.0,1010.0,0,701,Mist,mist,50n
2025-11-05 00:00:07,2025-11-05 02:00:07,Finland,Helsinki,Europe,11.03,10.5,11.94,98.0,10.75,10000.0,0.0,75.0,12.52,14.75,232.0,1011.0,0,803,Clouds,broken clouds,04n
