utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:06,2025-11-01 01:00:06,Gabon,Libreville,Africa,25.92,25.92,25.92,83.0,26.73,10000.0,0.0,75.0,3.6,0.0,230.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-01 06:00:12,2025-11-01 07:00:12,Gabon,Libreville,Africa,25.92,25.92,25.92,83.0,26.73,10000.0,1.64,75.0,3.09,0.0,220.0,1014.0,1,501,Rain,moderate rain,10d
2025-11-01 12:00:09,2025-11-01 13:00:09,Gabon,Libreville,Africa,27.92,27.92,27.92,78.0,31.61,9000.0,0.0,40.0,3.09,0.0,210.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:15,2025-11-01 19:00:15,Gabon,Libreville,Africa,26.92,26.92,26.92,83.0,29.84,9000.0,0.0,40.0,4.63,0.0,250.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-02 00:00:07,2025-11-02 01:00:07,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,8000.0,0.54,75.0,3.09,0.0,250.0,1013.0,0,500,Rain,light rain,10n
2025-11-02 06:00:13,2025-11-02 07:00:13,Gabon,Libreville,Africa,24.92,24.92,24.92,88.0,25.77,7000.0,0.0,75.0,1.03,0.0,170.0,1014.0,1,500,Rain,light rain,10d
2025-11-02 12:00:11,2025-11-02 13:00:11,Gabon,Libreville,Africa,24.92,24.92,24.92,94.0,25.92,4000.0,0.14,100.0,2.57,0.0,220.0,1011.0,1,230,Thunderstorm,thunderstorm with light drizzle,11d
2025-11-02 18:00:10,2025-11-02 19:00:10,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,8000.0,0.71,75.0,3.09,0.0,220.0,1012.0,0,500,Rain,light rain,10n
2025-11-03 00:00:06,2025-11-03 01:00:06,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,9000.0,0.42,40.0,1.54,0.0,180.0,1012.0,0,500,Rain,light rain,10n
2025-11-03 06:00:10,2025-11-03 07:00:10,Gabon,Libreville,Africa,24.92,24.92,24.92,94.0,25.92,10000.0,0.0,100.0,3.6,0.0,170.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:15,2025-11-03 13:00:15,Gabon,Libreville,Africa,28.92,28.92,28.92,74.0,33.3,10000.0,2.58,40.0,4.12,0.0,190.0,1011.0,1,501,Rain,moderate rain,10d
2025-11-03 18:00:10,2025-11-03 19:00:10,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,8000.0,0.71,75.0,3.09,0.0,220.0,1012.0,0,500,Rain,light rain,10n
2025-11-04 00:00:10,2025-11-04 01:00:10,Gabon,Libreville,Africa,23.92,23.92,23.92,94.0,24.82,8000.0,0.73,75.0,1.03,0.0,0.0,1013.0,0,200,Thunderstorm,thunderstorm with light rain,11n
2025-11-04 06:00:08,2025-11-04 07:00:08,Gabon,Libreville,Africa,23.92,23.92,23.92,94.0,24.82,8000.0,0.19,75.0,2.06,0.0,130.0,1014.0,1,500,Rain,light rain,10d
2025-11-04 12:00:16,2025-11-04 13:00:16,Gabon,Libreville,Africa,28.92,28.92,28.92,74.0,33.3,10000.0,1.44,40.0,2.57,0.0,240.0,1012.0,1,501,Rain,moderate rain,10d
2025-11-04 18:00:12,2025-11-04 19:00:12,Gabon,Libreville,Africa,26.92,26.92,26.92,83.0,29.84,10000.0,0.0,40.0,4.12,0.0,230.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-05 00:00:08,2025-11-05 01:00:08,Gabon,Libreville,Africa,26.92,26.92,26.92,83.0,29.84,8000.0,1.53,75.0,3.6,0.0,240.0,1013.0,0,501,Rain,moderate rain,10n
2025-11-05 06:00:13,2025-11-05 07:00:13,Gabon,Libreville,Africa,24.92,24.92,24.92,94.0,25.92,1600.0,1.89,100.0,6.69,0.0,20.0,1014.0,1,202,Thunderstorm,thunderstorm with heavy rain,11d
2025-11-05 12:00:14,2025-11-05 13:00:14,Gabon,Libreville,Africa,26.92,26.92,26.92,83.0,29.84,10000.0,0.79,75.0,2.57,0.0,200.0,1013.0,1,500,Rain,light rain,10d
2025-11-05 18:00:13,2025-11-05 19:00:13,Gabon,Libreville,Africa,25.92,25.92,25.92,83.0,26.73,10000.0,1.22,40.0,3.09,0.0,190.0,1013.0,0,501,Rain,moderate rain,10n
2025-11-06 00:00:19,2025-11-06 01:00:19,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,10000.0,0.15,40.0,5.14,0.0,220.0,1012.0,0,500,Rain,light rain,10n
2025-11-06 06:00:14,2025-11-06 07:00:14,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,10000.0,1.53,75.0,2.01,2.86,138.0,1013.0,1,501,Rain,moderate rain,10d
2025-11-06 12:00:16,2025-11-06 13:00:16,Gabon,Libreville,Africa,27.92,27.92,27.92,83.0,32.36,10000.0,2.11,75.0,3.09,0.0,210.0,1011.0,1,501,Rain,moderate rain,10d
2025-11-06 18:00:07,2025-11-06 19:00:07,Gabon,Libreville,Africa,26.92,26.92,26.92,83.0,29.84,10000.0,0.0,40.0,5.14,0.0,230.0,1010.0,0,802,Clouds,scattered clouds,03n
2025-11-07 00:00:12,2025-11-07 01:00:12,Gabon,Libreville,Africa,23.92,23.92,23.92,100.0,24.98,9000.0,0.81,20.0,2.06,0.0,80.0,1011.0,0,500,Rain,light rain,10n
2025-11-07 06:00:10,2025-11-07 07:00:10,Gabon,Libreville,Africa,23.92,23.92,23.92,100.0,24.98,10000.0,3.34,75.0,2.57,0.0,60.0,1012.0,1,501,Rain,moderate rain,10d
2025-11-07 12:00:14,2025-11-07 13:00:14,Gabon,Libreville,Africa,27.92,27.92,27.92,78.0,31.61,10000.0,0.48,40.0,3.09,0.0,230.0,1012.0,1,500,Rain,light rain,10d
2025-11-07 18:00:10,2025-11-07 19:00:10,Gabon,Libreville,Africa,26.92,26.92,26.92,83.0,29.84,10000.0,0.0,40.0,4.12,0.0,240.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-08 00:00:06,2025-11-08 01:00:06,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,10000.0,0.0,75.0,3.09,0.0,230.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-08 06:00:12,2025-11-08 07:00:12,Gabon,Libreville,Africa,25.92,25.92,25.92,89.0,26.89,8000.0,0.48,75.0,1.54,0.0,190.0,1013.0,1,500,Rain,light rain,10d
2025-11-08 12:00:13,2025-11-08 13:00:13,Gabon,Libreville,Africa,24.92,24.92,24.92,94.0,25.92,8000.0,0.49,75.0,2.57,0.0,210.0,1011.0,1,500,Rain,light rain,10d
2025-11-08 18:02:00,2025-11-08 19:02:00,Gabon,Libreville,Africa,26.92,26.92,26.92,83.0,29.84,10000.0,0.31,40.0,4.63,0.0,240.0,1012.0,0,211,Thunderstorm,thunderstorm,11n
