utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:06,2025-11-01 00:00:06,Ghana,Accra,Africa,27.05,27.05,27.05,83.0,30.15,10000.0,0.0,40.0,5.14,0.0,220.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-01 06:00:13,2025-11-01 06:00:13,Ghana,Accra,Africa,26.05,26.05,26.05,89.0,26.05,10000.0,0.0,100.0,3.09,0.0,260.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:09,2025-11-01 12:00:09,Ghana,Accra,Africa,30.05,30.05,30.05,70.0,35.16,10000.0,0.19,75.0,5.14,0.0,200.0,1013.0,1,500,Rain,light rain,10d
2025-11-01 18:00:15,2025-11-01 18:00:15,Ghana,Accra,Africa,28.05,28.05,28.05,78.0,31.91,10000.0,0.0,20.0,5.14,0.0,190.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-02 00:00:08,2025-11-02 00:00:08,Ghana,Accra,Africa,27.05,27.05,27.05,89.0,30.77,10000.0,0.0,40.0,4.63,0.0,220.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:13,2025-11-02 06:00:13,Ghana,Accra,Africa,25.05,25.05,25.05,94.0,26.07,10000.0,0.0,20.0,4.63,0.0,260.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-02 12:00:11,2025-11-02 12:00:11,Ghana,Accra,Africa,32.05,32.05,32.05,58.0,36.59,10000.0,0.0,75.0,3.6,0.0,230.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:10,2025-11-02 18:00:10,Ghana,Accra,Africa,28.05,28.05,28.05,78.0,31.91,10000.0,0.0,20.0,7.2,0.0,200.0,1011.0,0,801,Clouds,few clouds,02n
2025-11-03 00:00:06,2025-11-03 00:00:06,Ghana,Accra,Africa,27.05,27.05,27.05,83.0,30.15,10000.0,0.0,20.0,5.14,0.0,220.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:11,2025-11-03 06:00:11,Ghana,Accra,Africa,25.05,25.05,25.05,94.0,26.07,10000.0,0.0,20.0,4.12,0.0,270.0,1012.0,1,801,Clouds,few clouds,02d
2025-11-03 12:00:15,2025-11-03 12:00:15,Ghana,Accra,Africa,31.05,31.05,31.05,66.0,36.56,10000.0,0.33,100.0,4.12,0.0,190.0,1012.0,1,500,Rain,light rain,10d
2025-11-03 18:00:10,2025-11-03 18:00:10,Ghana,Accra,Africa,28.05,28.05,28.05,78.0,31.91,10000.0,0.0,20.0,7.2,0.0,200.0,1011.0,0,801,Clouds,few clouds,02n
2025-11-04 00:00:11,2025-11-04 00:00:11,Ghana,Accra,Africa,25.86,25.86,25.86,83.0,26.67,10000.0,0.29,100.0,3.1,4.08,223.0,1013.0,0,500,Rain,light rain,10n
2025-11-04 06:00:08,2025-11-04 06:00:08,Ghana,Accra,Africa,24.05,24.05,24.05,94.0,24.97,10000.0,0.0,0.0,2.06,0.0,290.0,1013.0,1,800,Clear,clear sky,01d
2025-11-04 12:00:16,2025-11-04 12:00:16,Ghana,Accra,Africa,30.05,30.05,30.05,66.0,34.22,10000.0,0.0,40.0,2.57,0.0,170.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:12,2025-11-04 18:00:12,Ghana,Accra,Africa,26.96,26.96,26.96,75.0,29.21,10000.0,0.0,88.0,4.13,5.18,206.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-05 00:00:08,2025-11-05 00:00:08,Ghana,Accra,Africa,27.05,27.05,27.05,83.0,30.15,10000.0,0.0,20.0,3.6,0.0,240.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-05 06:00:13,2025-11-05 06:00:13,Ghana,Accra,Africa,25.05,25.05,25.05,94.0,26.07,10000.0,0.0,20.0,2.06,0.0,270.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-05 12:00:14,2025-11-05 12:00:14,Ghana,Accra,Africa,30.05,30.05,30.05,66.0,34.22,10000.0,0.0,100.0,4.12,0.0,210.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-05 18:00:13,2025-11-05 18:00:13,Ghana,Accra,Africa,28.05,28.05,28.05,83.0,32.71,10000.0,0.1,40.0,5.66,0.0,180.0,1012.0,0,500,Rain,light rain,10n
2025-11-06 00:00:19,2025-11-06 00:00:19,Ghana,Accra,Africa,26.14,26.14,26.14,82.0,26.14,10000.0,0.0,100.0,2.42,3.32,215.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-06 06:00:15,2025-11-06 06:00:15,Ghana,Accra,Africa,24.05,24.05,24.05,94.0,24.97,10000.0,0.0,0.0,3.09,0.0,270.0,1012.0,1,800,Clear,clear sky,01d
2025-11-06 12:00:16,2025-11-06 12:00:16,Ghana,Accra,Africa,28.05,28.05,28.05,78.0,31.91,10000.0,0.0,20.0,2.57,0.0,160.0,1011.0,1,801,Clouds,few clouds,02d
2025-11-06 18:00:08,2025-11-06 18:00:08,Ghana,Accra,Africa,27.03,27.03,27.03,77.0,29.52,10000.0,0.0,97.0,4.23,5.13,199.0,1011.0,0,804,Clouds,overcast clouds,04n
