utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:06,2025-11-01 01:00:06,Gibraltar,Gibraltar,Europe,17.73,16.92,17.73,89.0,17.88,10000.0,0.0,35.0,3.09,0.0,260.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-01 06:00:13,2025-11-01 07:00:13,Gibraltar,Gibraltar,Europe,16.06,15.92,16.06,89.0,16.05,10000.0,0.0,41.0,3.09,0.0,250.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-01 12:00:09,2025-11-01 13:00:09,Gibraltar,Gibraltar,Europe,23.28,22.92,23.28,67.0,23.41,10000.0,0.0,0.0,2.06,0.0,230.0,1020.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:15,2025-11-01 19:00:15,Gibraltar,Gibraltar,Europe,23.28,21.92,23.28,68.0,23.44,10000.0,0.0,0.0,5.14,0.0,250.0,1021.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:08,2025-11-02 01:00:08,Gibraltar,Gibraltar,Europe,18.28,18.28,18.92,84.0,18.36,10000.0,0.0,31.0,5.66,0.0,250.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:13,2025-11-02 07:00:13,Gibraltar,Gibraltar,Europe,18.84,18.84,18.84,86.0,19.03,10000.0,0.0,88.0,0.45,0.89,182.0,1022.0,0,804,Clouds,overcast clouds,04n
2025-11-02 12:00:12,2025-11-02 13:00:12,Gibraltar,Gibraltar,Europe,22.73,22.73,22.92,75.0,23.02,10000.0,0.0,20.0,6.69,0.0,260.0,1023.0,1,801,Clouds,few clouds,02d
2025-11-02 18:00:11,2025-11-02 19:00:11,Gibraltar,Gibraltar,Europe,23.84,22.92,23.84,72.0,24.16,10000.0,0.0,40.0,7.2,0.0,260.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-11-03 00:00:06,2025-11-03 01:00:06,Gibraltar,Gibraltar,Europe,18.84,18.84,18.92,82.0,18.92,10000.0,0.0,28.0,4.12,0.0,240.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:11,2025-11-03 07:00:11,Gibraltar,Gibraltar,Europe,16.62,16.62,16.62,83.0,16.5,10000.0,0.0,38.0,2.02,1.84,339.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-11-03 12:00:16,2025-11-03 13:00:16,Gibraltar,Gibraltar,Europe,19.95,19.95,20.92,84.0,20.19,10000.0,0.0,20.0,3.6,0.0,90.0,1022.0,1,801,Clouds,few clouds,02d
2025-11-03 18:00:11,2025-11-03 19:00:11,Gibraltar,Gibraltar,Europe,23.84,22.92,23.84,72.0,24.16,10000.0,0.0,40.0,7.2,0.0,260.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-11-04 00:00:11,2025-11-04 01:00:11,Gibraltar,Gibraltar,Europe,18.84,17.92,18.84,91.0,19.16,10000.0,0.0,20.0,4.63,0.0,60.0,1022.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:09,2025-11-04 07:00:09,Gibraltar,Gibraltar,Europe,18.28,18.28,18.28,90.0,18.51,10000.0,0.0,100.0,4.47,8.49,340.0,1021.0,0,804,Clouds,overcast clouds,04n
2025-11-04 12:00:16,2025-11-04 13:00:16,Gibraltar,Gibraltar,Europe,19.39,18.92,19.39,89.0,19.71,10000.0,0.0,40.0,5.14,0.0,80.0,1021.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:12,2025-11-04 19:00:12,Gibraltar,Gibraltar,Europe,19.95,18.92,19.95,88.0,20.3,10000.0,0.0,40.0,7.2,0.0,100.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-11-05 00:00:08,2025-11-05 01:00:08,Gibraltar,Gibraltar,Europe,18.84,18.84,18.92,91.0,19.16,10000.0,0.0,100.0,5.66,0.0,70.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-11-05 06:00:13,2025-11-05 07:00:13,Gibraltar,Gibraltar,Europe,18.84,17.92,18.84,91.0,19.16,10000.0,0.0,100.0,5.14,0.0,70.0,1017.0,0,804,Clouds,overcast clouds,04n
2025-11-05 12:00:14,2025-11-05 13:00:14,Gibraltar,Gibraltar,Europe,18.84,18.84,18.92,91.0,19.16,10000.0,0.0,75.0,5.14,0.0,60.0,1017.0,1,803,Clouds,broken clouds,04d
2025-11-05 18:00:13,2025-11-05 19:00:13,Gibraltar,Gibraltar,Europe,19.95,18.92,19.95,90.0,20.35,10000.0,0.0,75.0,1.54,0.0,290.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-06 00:00:20,2025-11-06 01:00:20,Gibraltar,Gibraltar,Europe,17.73,17.73,17.92,83.0,17.73,10000.0,0.0,75.0,7.2,0.0,280.0,1017.0,0,803,Clouds,broken clouds,04n
2025-11-06 06:00:15,2025-11-06 07:00:15,Gibraltar,Gibraltar,Europe,16.62,16.62,16.62,78.0,16.37,10000.0,0.0,21.0,0.89,2.68,209.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-06 12:00:16,2025-11-06 13:00:16,Gibraltar,Gibraltar,Europe,19.95,18.92,19.95,56.0,19.46,10000.0,0.0,40.0,6.69,0.0,280.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-11-06 18:00:08,2025-11-06 19:00:08,Gibraltar,Gibraltar,Europe,19.95,18.92,19.95,55.0,19.44,10000.0,0.0,75.0,4.12,0.0,280.0,1019.0,0,803,Clouds,broken clouds,04n
2025-11-07 00:00:13,2025-11-07 01:00:13,Gibraltar,Gibraltar,Europe,16.06,15.92,16.06,73.0,15.63,10000.0,0.0,37.0,2.57,0.0,260.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-07 06:00:10,2025-11-07 07:00:10,Gibraltar,Gibraltar,Europe,13.84,13.84,13.84,88.0,13.58,10000.0,0.0,27.0,0.45,0.45,226.0,1018.0,0,802,Clouds,scattered clouds,03n
