utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:06,2025-10-31 20:00:06,Guadeloupe,Basse-Terre,North America,22.8,22.8,22.8,83.0,23.3,10000.0,1.54,100.0,7.15,9.06,99.0,1015.0,0,501,Rain,moderate rain,10n
2025-11-01 06:00:13,2025-11-01 02:00:13,Guadeloupe,Basse-Terre,North America,22.89,22.89,22.89,79.0,23.3,10000.0,0.15,66.0,6.95,9.28,95.0,1014.0,0,500,Rain,light rain,10n
2025-11-01 12:00:10,2025-11-01 08:00:10,Guadeloupe,Basse-Terre,North America,23.83,23.83,23.83,73.0,24.17,10000.0,0.0,52.0,7.1,8.28,92.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:15,2025-11-01 14:00:15,Guadeloupe,Basse-Terre,North America,24.23,24.23,24.23,69.0,24.51,10000.0,0.0,70.0,6.27,7.73,85.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-02 00:00:08,2025-11-01 20:00:08,Guadeloupe,Basse-Terre,North America,23.09,23.09,23.09,79.0,23.52,10000.0,0.0,80.0,6.5,8.54,77.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:14,2025-11-02 02:00:14,Guadeloupe,Basse-Terre,North America,23.27,23.27,23.27,72.0,23.53,10000.0,0.0,78.0,5.61,8.55,75.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-02 12:00:12,2025-11-02 08:00:12,Guadeloupe,Basse-Terre,North America,23.43,23.43,23.43,69.0,23.63,10000.0,0.0,89.0,5.95,8.05,76.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-11-02 18:00:11,2025-11-02 14:00:11,Guadeloupe,Basse-Terre,North America,24.2,24.2,24.2,63.0,24.32,10000.0,0.0,77.0,6.17,7.21,85.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-03 00:00:06,2025-11-02 20:00:06,Guadeloupe,Basse-Terre,North America,22.49,22.49,22.49,80.0,22.88,10000.0,0.0,54.0,4.8,6.3,60.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:11,2025-11-03 02:00:11,Guadeloupe,Basse-Terre,North America,22.83,22.83,22.83,77.0,23.18,10000.0,0.0,39.0,4.2,5.21,66.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-03 12:00:16,2025-11-03 08:00:16,Guadeloupe,Basse-Terre,North America,23.47,23.47,23.47,70.0,23.7,10000.0,0.0,100.0,4.92,6.36,78.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-11-03 18:00:11,2025-11-03 14:00:11,Guadeloupe,Basse-Terre,North America,24.2,24.2,24.2,63.0,24.32,10000.0,0.0,77.0,6.17,7.21,85.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-04 00:00:11,2025-11-03 20:00:11,Guadeloupe,Basse-Terre,North America,22.78,22.78,22.78,77.0,23.12,10000.0,0.0,21.0,4.7,5.56,66.0,1015.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:09,2025-11-04 02:00:09,Guadeloupe,Basse-Terre,North America,22.47,22.47,22.47,76.0,22.76,10000.0,0.0,7.0,3.12,3.69,78.0,1013.0,0,800,Clear,clear sky,01n
2025-11-04 12:00:16,2025-11-04 08:00:16,Guadeloupe,Basse-Terre,North America,22.95,22.95,22.95,70.0,23.13,10000.0,0.0,23.0,3.39,4.08,85.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-04 18:00:12,2025-11-04 14:00:12,Guadeloupe,Basse-Terre,North America,24.01,24.01,24.01,70.0,24.29,10000.0,0.0,23.0,4.46,4.32,117.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-05 00:00:08,2025-11-04 20:00:08,Guadeloupe,Basse-Terre,North America,22.69,22.69,22.69,79.0,23.08,10000.0,0.0,14.0,3.83,4.48,80.0,1016.0,0,801,Clouds,few clouds,02n
2025-11-05 06:00:13,2025-11-05 02:00:13,Guadeloupe,Basse-Terre,North America,22.55,22.55,22.55,74.0,22.79,10000.0,0.0,66.0,3.78,4.5,73.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-05 12:00:15,2025-11-05 08:00:15,Guadeloupe,Basse-Terre,North America,23.02,23.02,23.02,70.0,23.21,10000.0,0.0,61.0,4.03,4.65,75.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-05 18:00:13,2025-11-05 14:00:13,Guadeloupe,Basse-Terre,North America,23.79,23.79,23.79,73.0,24.13,10000.0,0.38,39.0,3.85,4.09,109.0,1014.0,1,500,Rain,light rain,10d
2025-11-06 00:00:20,2025-11-05 20:00:20,Guadeloupe,Basse-Terre,North America,22.58,22.58,22.58,79.0,22.96,10000.0,0.0,90.0,4.51,5.24,79.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-11-06 06:00:15,2025-11-06 02:00:15,Guadeloupe,Basse-Terre,North America,22.31,22.31,22.31,80.0,22.69,10000.0,0.0,100.0,4.2,5.39,75.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-06 12:00:16,2025-11-06 08:00:16,Guadeloupe,Basse-Terre,North America,23.65,23.65,23.65,67.0,23.82,10000.0,0.0,79.0,5.42,6.57,95.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-06 18:00:08,2025-11-06 14:00:08,Guadeloupe,Basse-Terre,North America,24.36,24.36,24.36,67.0,24.6,10000.0,0.0,98.0,4.55,5.07,106.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-07 00:00:13,2025-11-06 20:00:13,Guadeloupe,Basse-Terre,North America,22.33,22.33,22.33,80.0,22.71,10000.0,0.0,62.0,3.77,3.95,72.0,1015.0,0,803,Clouds,broken clouds,04n
