utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:08,2025-11-01 03:00:08,Kenya,Nairobi,Africa,17.96,17.96,17.96,77.0,17.82,10000.0,0.0,75.0,0.0,0.0,0.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-01 06:00:14,2025-11-01 09:00:14,Kenya,Nairobi,Africa,17.02,16.71,17.02,88.0,17.08,8000.0,0.48,100.0,3.6,0.0,100.0,1019.0,1,300,Drizzle,light intensity drizzle,09d
2025-11-01 12:00:11,2025-11-01 15:00:11,Kenya,Nairobi,Africa,22.71,22.71,22.71,56.0,22.5,10000.0,0.84,75.0,3.6,0.0,70.0,1014.0,1,500,Rain,light rain,10d
2025-11-01 18:00:17,2025-11-01 21:00:17,Kenya,Nairobi,Africa,19.02,19.02,19.71,77.0,18.99,10000.0,0.0,75.0,4.63,0.0,50.0,1018.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:10,2025-11-02 03:00:10,Kenya,Nairobi,Africa,16.71,16.71,16.71,94.0,16.89,10000.0,0.0,75.0,2.06,0.0,60.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:15,2025-11-02 09:00:15,Kenya,Nairobi,Africa,18.02,16.71,18.02,82.0,18.02,10000.0,0.0,75.0,4.63,0.0,90.0,1019.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:13,2025-11-02 15:00:13,Kenya,Nairobi,Africa,24.02,24.02,24.71,43.0,23.6,10000.0,0.0,75.0,4.12,0.0,90.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:12,2025-11-02 21:00:12,Kenya,Nairobi,Africa,18.73,18.73,18.73,73.0,18.56,10000.0,0.0,100.0,4.35,7.77,79.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-03 00:00:08,2025-11-03 03:00:08,Kenya,Nairobi,Africa,16.66,16.66,16.66,88.0,16.68,10000.0,0.0,75.0,2.57,0.0,30.0,1017.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:12,2025-11-03 09:00:12,Kenya,Nairobi,Africa,18.02,17.71,18.02,82.0,18.02,10000.0,0.0,75.0,3.09,0.0,90.0,1020.0,1,803,Clouds,broken clouds,04d
