utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:08,2025-11-01 00:00:08,Liberia,Monrovia,Africa,25.49,25.49,25.49,88.0,26.39,10000.0,0.0,65.0,3.72,5.35,189.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-01 06:00:15,2025-11-01 06:00:15,Liberia,Monrovia,Africa,25.31,25.31,25.31,87.0,26.17,10000.0,0.18,39.0,2.13,2.9,177.0,1013.0,0,500,Rain,light rain,10n
2025-11-01 12:00:12,2025-11-01 12:00:12,Liberia,Monrovia,Africa,27.28,27.28,27.28,79.0,30.26,10000.0,0.49,83.0,3.04,3.25,187.0,1014.0,1,500,Rain,light rain,10d
2025-11-01 18:00:17,2025-11-01 18:00:17,Liberia,Monrovia,Africa,26.11,26.11,26.11,84.0,26.11,10000.0,0.47,89.0,2.05,2.77,215.0,1013.0,1,500,Rain,light rain,10d
2025-11-02 00:00:10,2025-11-02 00:00:10,Liberia,Monrovia,Africa,25.9,25.9,25.9,84.0,26.74,10000.0,0.0,100.0,1.71,2.27,191.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:15,2025-11-02 06:00:15,Liberia,Monrovia,Africa,25.26,25.26,25.26,87.0,26.11,10000.0,0.12,84.0,2.07,2.73,136.0,1013.0,0,500,Rain,light rain,10n
2025-11-02 12:00:14,2025-11-02 12:00:14,Liberia,Monrovia,Africa,28.31,28.31,28.31,74.0,31.89,10000.0,0.0,49.0,3.37,3.13,170.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:13,2025-11-02 18:00:13,Liberia,Monrovia,Africa,26.6,26.6,26.6,82.0,26.6,10000.0,0.0,95.0,3.83,4.85,195.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-03 00:00:08,2025-11-03 00:00:08,Liberia,Monrovia,Africa,25.35,25.35,25.35,88.0,26.24,10000.0,0.0,45.0,3.76,5.4,196.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:13,2025-11-03 06:00:13,Liberia,Monrovia,Africa,25.1,25.1,25.1,88.0,25.96,10000.0,0.0,44.0,3.02,3.87,212.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-03 12:00:18,2025-11-03 12:00:18,Liberia,Monrovia,Africa,27.41,27.41,27.41,77.0,30.33,10000.0,0.39,69.0,3.09,3.02,205.0,1013.0,1,500,Rain,light rain,10d
2025-11-03 18:00:13,2025-11-03 18:00:13,Liberia,Monrovia,Africa,26.6,26.6,26.6,82.0,26.6,10000.0,0.0,95.0,3.83,4.85,195.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-04 00:00:13,2025-11-04 00:00:13,Liberia,Monrovia,Africa,25.35,25.35,25.35,86.0,26.19,10000.0,0.0,51.0,3.17,4.38,198.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-04 06:00:11,2025-11-04 06:00:11,Liberia,Monrovia,Africa,24.85,24.85,24.85,88.0,25.69,10000.0,0.61,30.0,3.13,4.38,193.0,1013.0,0,500,Rain,light rain,10n
2025-11-04 12:00:18,2025-11-04 12:00:18,Liberia,Monrovia,Africa,27.87,27.87,27.87,74.0,30.94,10000.0,0.1,36.0,3.83,3.64,174.0,1013.0,1,500,Rain,light rain,10d
2025-11-04 18:00:14,2025-11-04 18:00:14,Liberia,Monrovia,Africa,26.48,26.48,26.48,81.0,26.48,10000.0,0.0,52.0,3.65,4.74,203.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-05 00:00:10,2025-11-05 00:00:10,Liberia,Monrovia,Africa,25.42,25.42,25.42,87.0,26.29,10000.0,0.25,32.0,2.13,2.97,212.0,1014.0,0,500,Rain,light rain,10n
2025-11-05 06:00:15,2025-11-05 06:00:15,Liberia,Monrovia,Africa,24.3,24.3,24.3,88.0,25.08,10000.0,0.0,79.0,0.7,0.82,81.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-05 12:00:17,2025-11-05 12:00:17,Liberia,Monrovia,Africa,28.85,28.85,28.85,68.0,32.05,10000.0,0.0,9.0,2.18,1.69,206.0,1014.0,1,800,Clear,clear sky,01d
2025-11-05 18:00:16,2025-11-05 18:00:16,Liberia,Monrovia,Africa,27.01,27.01,27.01,78.0,29.58,10000.0,0.0,49.0,4.26,5.57,213.0,1012.0,1,802,Clouds,scattered clouds,03d
