utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:08,2025-11-01 02:00:08,Libya,Tripoli,Africa,22.94,22.94,22.94,64.0,22.96,7000.0,0.0,40.0,0.0,0.0,0.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-01 06:00:15,2025-11-01 08:00:15,Libya,Tripoli,Africa,22.44,22.44,22.44,68.0,22.52,10000.0,0.0,0.0,1.93,2.45,317.0,1020.0,1,800,Clear,clear sky,01d
2025-11-01 12:00:12,2025-11-01 14:00:12,Libya,Tripoli,Africa,24.13,24.13,24.13,60.0,24.17,10000.0,0.0,0.0,5.36,5.23,322.0,1020.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:18,2025-11-01 20:00:18,Libya,Tripoli,Africa,22.93,22.93,22.93,57.0,22.77,10000.0,0.0,0.0,4.69,5.3,331.0,1020.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:10,2025-11-02 02:00:10,Libya,Tripoli,Africa,22.54,22.54,22.54,72.0,22.73,10000.0,0.11,5.0,2.88,3.59,347.0,1019.0,0,500,Rain,light rain,10n
2025-11-02 06:00:15,2025-11-02 08:00:15,Libya,Tripoli,Africa,20.94,20.94,20.94,68.0,20.87,7000.0,0.0,40.0,3.6,0.0,240.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-11-02 12:00:14,2025-11-02 14:00:14,Libya,Tripoli,Africa,23.25,23.25,23.25,67.0,23.38,10000.0,0.0,20.0,4.26,3.62,355.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-02 18:00:13,2025-11-02 20:00:13,Libya,Tripoli,Africa,23.94,23.94,23.94,60.0,23.96,8000.0,0.0,40.0,4.63,0.0,10.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-03 00:00:08,2025-11-03 02:00:08,Libya,Tripoli,Africa,22.03,22.03,22.03,73.0,22.19,10000.0,0.0,58.0,1.72,1.94,11.0,1018.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:13,2025-11-03 08:00:13,Libya,Tripoli,Africa,22.24,22.24,22.24,73.0,22.43,10000.0,0.22,100.0,3.84,4.37,340.0,1019.0,1,500,Rain,light rain,10d
2025-11-03 12:00:18,2025-11-03 14:00:18,Libya,Tripoli,Africa,23.37,23.37,23.37,64.0,23.43,10000.0,0.0,90.0,4.65,4.18,345.0,1019.0,1,804,Clouds,overcast clouds,04d
2025-11-03 18:00:13,2025-11-03 20:00:13,Libya,Tripoli,Africa,23.94,23.94,23.94,60.0,23.96,8000.0,0.0,40.0,4.63,0.0,10.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-04 00:00:13,2025-11-04 02:00:13,Libya,Tripoli,Africa,21.94,21.94,21.94,60.0,21.76,6000.0,0.65,75.0,0.0,0.0,0.0,1021.0,0,500,Rain,light rain,10n
2025-11-04 06:00:11,2025-11-04 08:00:11,Libya,Tripoli,Africa,17.94,17.94,17.94,72.0,17.67,6000.0,0.0,75.0,2.57,0.0,200.0,1022.0,1,803,Clouds,broken clouds,04d
2025-11-04 12:00:18,2025-11-04 14:00:18,Libya,Tripoli,Africa,24.94,24.94,24.94,47.0,24.72,8000.0,0.0,40.0,5.14,0.0,10.0,1022.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:14,2025-11-04 20:00:14,Libya,Tripoli,Africa,22.94,22.94,22.94,53.0,22.67,8000.0,0.0,75.0,5.14,0.0,340.0,1022.0,0,803,Clouds,broken clouds,04n
2025-11-05 00:00:10,2025-11-05 02:00:10,Libya,Tripoli,Africa,22.94,22.94,22.94,49.0,22.57,8000.0,0.0,40.0,2.57,0.0,350.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-11-05 06:00:15,2025-11-05 08:00:15,Libya,Tripoli,Africa,20.94,20.94,20.94,52.0,20.45,8000.0,0.0,40.0,5.14,0.0,330.0,1022.0,1,802,Clouds,scattered clouds,03d
2025-11-05 12:00:17,2025-11-05 14:00:17,Libya,Tripoli,Africa,22.49,22.49,22.49,59.0,22.34,10000.0,0.0,7.0,5.02,5.32,330.0,1020.0,1,800,Clear,clear sky,01d
2025-11-05 18:00:16,2025-11-05 20:00:16,Libya,Tripoli,Africa,21.94,21.94,21.94,49.0,21.47,7000.0,0.0,40.0,4.63,0.0,360.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-11-06 00:00:25,2025-11-06 02:00:25,Libya,Tripoli,Africa,19.94,19.94,19.94,60.0,19.56,6000.0,0.0,20.0,2.57,0.0,210.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-06 06:00:17,2025-11-06 08:00:17,Libya,Tripoli,Africa,16.94,16.94,16.94,67.0,16.44,6000.0,0.0,20.0,2.57,0.0,230.0,1017.0,1,801,Clouds,few clouds,02d
2025-11-06 12:00:19,2025-11-06 14:00:19,Libya,Tripoli,Africa,23.94,23.94,23.94,43.0,23.51,6000.0,0.0,20.0,4.12,0.0,30.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-06 18:00:10,2025-11-06 20:00:10,Libya,Tripoli,Africa,21.19,21.19,21.19,66.0,21.09,10000.0,0.0,44.0,5.55,6.0,90.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-07 00:00:15,2025-11-07 02:00:15,Libya,Tripoli,Africa,18.94,18.94,18.94,59.0,18.43,6000.0,0.0,40.0,2.57,0.0,200.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-07 06:00:12,2025-11-07 08:00:12,Libya,Tripoli,Africa,20.62,20.62,20.62,53.0,20.12,10000.0,0.0,22.0,4.07,4.73,209.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-07 12:00:17,2025-11-07 14:00:17,Libya,Tripoli,Africa,27.94,27.94,27.94,23.0,26.78,8000.0,0.0,55.0,3.6,0.0,240.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-07 18:00:13,2025-11-07 20:00:13,Libya,Tripoli,Africa,23.94,23.94,23.94,50.0,23.7,8000.0,0.0,0.0,2.06,0.0,70.0,1014.0,0,800,Clear,clear sky,01n
2025-11-08 00:00:08,2025-11-08 02:00:08,Libya,Tripoli,Africa,21.94,21.94,21.94,49.0,21.47,7000.0,0.0,59.0,4.12,0.0,200.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-08 06:00:15,2025-11-08 08:00:15,Libya,Tripoli,Africa,18.94,18.94,18.94,45.0,18.06,7000.0,0.0,81.0,4.12,0.0,240.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-08 12:00:16,2025-11-08 14:00:16,Libya,Tripoli,Africa,24.94,24.94,24.94,22.0,24.06,6000.0,0.0,75.0,7.72,0.0,270.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-08 18:02:03,2025-11-08 20:02:03,Libya,Tripoli,Africa,21.94,21.94,21.94,35.0,21.1,6000.0,0.0,75.0,0.0,0.0,0.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-09 00:00:09,2025-11-09 02:00:09,Libya,Tripoli,Africa,19.94,19.94,19.94,28.0,18.72,7000.0,0.0,20.0,2.57,0.0,210.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-09 06:00:13,2025-11-09 08:00:13,Libya,Tripoli,Africa,17.94,17.94,17.94,36.0,16.73,7000.0,0.0,20.0,3.09,0.0,210.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-09 12:00:15,2025-11-09 14:00:15,Libya,Tripoli,Africa,27.94,27.94,27.94,20.0,26.7,7000.0,0.0,20.0,9.26,0.0,250.0,1013.0,1,801,Clouds,few clouds,02d
