utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:09,2025-11-01 01:00:09,Malta,Valletta,Europe,20.3,20.3,20.3,83.0,20.55,10000.0,0.0,20.0,5.14,0.0,280.0,1017.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:16,2025-11-01 07:00:16,Malta,Valletta,Europe,19.3,19.3,19.3,88.0,19.58,10000.0,0.0,40.0,3.09,0.0,320.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-11-01 12:00:12,2025-11-01 13:00:12,Malta,Valletta,Europe,23.3,23.3,23.3,73.0,23.59,10000.0,0.0,40.0,5.14,0.0,30.0,1018.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:18,2025-11-01 19:00:18,Malta,Valletta,Europe,21.3,21.3,21.3,78.0,21.52,10000.0,0.0,20.0,3.6,0.0,0.0,1019.0,0,801,Clouds,few clouds,02n
2025-11-02 00:00:11,2025-11-02 01:00:11,Malta,Valletta,Europe,20.3,20.3,20.3,88.0,20.68,10000.0,0.0,40.0,4.63,0.0,350.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:16,2025-11-02 07:00:16,Malta,Valletta,Europe,20.3,20.3,20.3,88.0,20.68,10000.0,0.0,40.0,4.63,0.0,30.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-11-02 12:00:15,2025-11-02 13:00:15,Malta,Valletta,Europe,22.3,22.3,22.3,83.0,22.75,10000.0,0.0,40.0,5.14,0.0,10.0,1018.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:13,2025-11-02 19:00:13,Malta,Valletta,Europe,20.3,20.3,20.3,88.0,20.68,10000.0,0.0,20.0,3.6,0.0,10.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-03 00:00:09,2025-11-03 01:00:09,Malta,Valletta,Europe,18.3,18.3,18.3,94.0,18.64,10000.0,0.0,20.0,2.06,0.0,310.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:13,2025-11-03 07:00:13,Malta,Valletta,Europe,18.3,18.3,18.3,88.0,18.48,10000.0,0.0,20.0,3.09,0.0,250.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-03 12:00:19,2025-11-03 13:00:19,Malta,Valletta,Europe,23.3,23.3,23.3,68.0,23.46,10000.0,0.0,40.0,5.14,0.0,270.0,1018.0,1,802,Clouds,scattered clouds,03d
2025-11-03 18:00:13,2025-11-03 19:00:13,Malta,Valletta,Europe,20.3,20.3,20.3,88.0,20.68,10000.0,0.0,20.0,3.6,0.0,10.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-04 00:00:13,2025-11-04 01:00:13,Malta,Valletta,Europe,18.3,18.3,18.3,88.0,18.48,10000.0,0.0,20.0,5.66,0.0,300.0,1019.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:11,2025-11-04 07:00:11,Malta,Valletta,Europe,17.3,17.3,17.3,77.0,17.1,10000.0,0.0,20.0,5.14,0.0,300.0,1020.0,1,801,Clouds,few clouds,02d
2025-11-04 12:00:19,2025-11-04 13:00:19,Malta,Valletta,Europe,23.3,23.3,23.3,56.0,23.15,10000.0,0.0,20.0,6.17,0.0,310.0,1020.0,1,801,Clouds,few clouds,02d
2025-11-04 18:00:15,2025-11-04 19:00:15,Malta,Valletta,Europe,17.3,17.3,17.3,77.0,17.1,10000.0,0.0,20.0,3.09,0.0,300.0,1021.0,0,801,Clouds,few clouds,02n
