utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:10,2025-10-31 20:00:10,Montserrat,Plymouth,North America,27.9,27.9,27.9,80.0,31.85,10000.0,0.24,93.0,10.1,11.09,106.0,1014.0,0,500,Rain,light rain,10n
2025-11-01 06:00:16,2025-11-01 02:00:16,Montserrat,Plymouth,North America,27.49,27.49,27.49,78.0,30.62,9196.0,0.42,92.0,9.9,11.27,110.0,1014.0,0,500,Rain,light rain,10n
2025-11-01 12:00:13,2025-11-01 08:00:13,Montserrat,Plymouth,North America,27.53,27.53,27.53,78.0,30.71,10000.0,0.36,75.0,8.75,0.0,130.0,1016.0,1,500,Rain,light rain,10d
2025-11-01 18:00:19,2025-11-01 14:00:19,Montserrat,Plymouth,North America,29.53,29.53,29.53,70.0,33.92,10000.0,0.0,20.0,8.75,0.0,140.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-02 00:00:12,2025-11-01 20:00:12,Montserrat,Plymouth,North America,28.15,28.15,28.15,74.0,31.54,10000.0,0.0,71.0,10.16,11.01,94.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:17,2025-11-02 02:00:17,Montserrat,Plymouth,North America,28.58,28.58,28.58,68.0,31.51,10000.0,0.0,98.0,9.81,11.35,97.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-02 12:00:15,2025-11-02 08:00:15,Montserrat,Plymouth,North America,27.53,27.53,27.53,78.0,30.71,10000.0,0.0,75.0,6.69,0.0,120.0,1017.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:14,2025-11-02 14:00:14,Montserrat,Plymouth,North America,29.53,29.53,29.53,70.0,33.92,10000.0,0.0,40.0,5.66,0.0,120.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-03 00:00:09,2025-11-02 20:00:09,Montserrat,Plymouth,North America,27.76,27.76,27.76,74.0,30.71,10000.0,0.0,68.0,8.05,9.16,69.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:14,2025-11-03 02:00:14,Montserrat,Plymouth,North America,27.54,27.54,27.54,77.0,30.61,10000.0,0.0,28.0,10.17,11.01,75.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-03 12:00:19,2025-11-03 08:00:19,Montserrat,Plymouth,North America,27.53,27.53,27.53,78.0,30.71,10000.0,0.4,75.0,6.17,0.0,120.0,1016.0,1,500,Rain,light rain,10d
2025-11-03 18:00:14,2025-11-03 14:00:14,Montserrat,Plymouth,North America,29.53,29.53,29.53,70.0,33.92,10000.0,0.0,40.0,5.66,0.0,120.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-04 00:00:14,2025-11-03 20:00:14,Montserrat,Plymouth,North America,27.77,27.77,27.77,75.0,30.86,10000.0,0.0,7.0,7.67,8.4,85.0,1015.0,0,800,Clear,clear sky,01n
2025-11-04 06:00:12,2025-11-04 02:00:12,Montserrat,Plymouth,North America,27.59,27.59,27.59,76.0,30.6,10000.0,0.2,9.0,6.82,7.13,86.0,1013.0,0,500,Rain,light rain,10n
2025-11-04 12:00:19,2025-11-04 08:00:19,Montserrat,Plymouth,North America,26.53,26.53,26.53,78.0,26.53,10000.0,0.15,20.0,4.63,0.0,130.0,1016.0,1,500,Rain,light rain,10d
2025-11-04 18:00:15,2025-11-04 14:00:15,Montserrat,Plymouth,North America,29.53,29.53,29.53,74.0,34.81,10000.0,0.0,40.0,5.14,0.0,140.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-11-05 00:00:12,2025-11-04 20:00:12,Montserrat,Plymouth,North America,27.5,27.5,27.5,76.0,30.4,10000.0,0.33,15.0,6.44,6.82,95.0,1015.0,0,500,Rain,light rain,10n
2025-11-05 06:00:17,2025-11-05 02:00:17,Montserrat,Plymouth,North America,27.65,27.65,27.65,71.0,30.12,10000.0,0.0,30.0,6.94,7.09,98.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-05 12:00:18,2025-11-05 08:00:18,Montserrat,Plymouth,North America,26.53,26.53,26.53,78.0,26.53,10000.0,0.0,20.0,5.14,0.0,130.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-05 18:00:17,2025-11-05 14:00:17,Montserrat,Plymouth,North America,28.53,28.53,28.53,74.0,32.39,10000.0,0.0,20.0,5.66,0.0,130.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-06 00:00:27,2025-11-05 20:00:27,Montserrat,Plymouth,North America,27.81,27.81,27.81,74.0,30.81,10000.0,0.0,45.0,7.89,8.27,89.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-11-06 06:00:19,2025-11-06 02:00:19,Montserrat,Plymouth,North America,27.52,27.52,27.52,77.0,30.56,10000.0,0.0,79.0,7.69,8.49,91.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-06 12:00:20,2025-11-06 08:00:20,Montserrat,Plymouth,North America,26.53,26.53,26.53,83.0,26.53,10000.0,0.0,75.0,5.14,0.0,130.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-06 18:00:11,2025-11-06 14:00:11,Montserrat,Plymouth,North America,28.53,28.53,28.53,74.0,32.39,10000.0,0.0,40.0,5.66,0.0,130.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-07 00:00:16,2025-11-06 20:00:16,Montserrat,Plymouth,North America,27.67,27.67,27.67,76.0,30.77,10000.0,0.0,83.0,7.92,7.68,85.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-07 06:00:14,2025-11-07 02:00:14,Montserrat,Plymouth,North America,27.29,27.29,27.29,78.0,30.18,10000.0,0.0,72.0,7.85,7.92,96.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-07 12:00:18,2025-11-07 08:00:18,Montserrat,Plymouth,North America,24.53,24.53,24.53,94.0,25.49,6000.0,0.0,75.0,4.63,0.0,140.0,1015.0,1,201,Thunderstorm,thunderstorm with rain,11d
