utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:10,2025-11-01 02:00:10,Mozambique,Maputo,Africa,21.91,21.91,21.91,88.0,22.45,10000.0,0.0,20.0,2.57,0.0,30.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:16,2025-11-01 08:00:16,Mozambique,Maputo,Africa,23.91,23.91,23.91,78.0,24.39,10000.0,0.0,20.0,4.63,0.0,20.0,1012.0,1,801,Clouds,few clouds,02d
2025-11-01 12:00:13,2025-11-01 14:00:13,Mozambique,Maputo,Africa,34.91,34.91,34.91,41.0,37.35,10000.0,0.0,40.0,4.12,0.0,330.0,1007.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:19,2025-11-01 20:00:19,Mozambique,Maputo,Africa,25.91,25.91,25.91,78.0,26.59,10000.0,0.0,75.0,7.72,0.0,160.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:12,2025-11-02 02:00:12,Mozambique,Maputo,Africa,21.91,21.91,21.91,94.0,22.61,10000.0,0.0,75.0,3.09,0.0,230.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:17,2025-11-02 08:00:17,Mozambique,Maputo,Africa,19.91,19.91,19.91,94.0,20.41,8000.0,0.56,75.0,7.2,0.0,200.0,1021.0,1,201,Thunderstorm,thunderstorm with rain,11d
2025-11-02 12:00:15,2025-11-02 14:00:15,Mozambique,Maputo,Africa,19.91,19.91,19.91,88.0,20.25,8000.0,0.37,75.0,7.2,0.0,210.0,1023.0,1,201,Thunderstorm,thunderstorm with rain,11d
2025-11-02 18:00:14,2025-11-02 20:00:14,Mozambique,Maputo,Africa,21.91,21.91,21.91,78.0,22.19,10000.0,0.0,100.0,5.14,0.0,190.0,1026.0,0,804,Clouds,overcast clouds,04n
2025-11-03 00:00:10,2025-11-03 02:00:10,Mozambique,Maputo,Africa,19.91,19.91,19.91,83.0,20.12,10000.0,0.0,100.0,5.14,0.0,210.0,1026.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:14,2025-11-03 08:00:14,Mozambique,Maputo,Africa,18.91,18.91,18.91,88.0,19.15,10000.0,0.0,100.0,4.63,0.0,220.0,1027.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:19,2025-11-03 14:00:19,Mozambique,Maputo,Africa,22.91,22.91,24.66,68.0,23.03,10000.0,0.0,75.0,1.03,0.0,0.0,1023.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:14,2025-11-03 20:00:14,Mozambique,Maputo,Africa,21.91,21.91,21.91,78.0,22.19,10000.0,0.0,100.0,5.14,0.0,190.0,1026.0,0,804,Clouds,overcast clouds,04n
