utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:10,2025-11-01 12:00:10,Nauru,Yaren,Oceania,27.29,27.29,27.29,73.0,29.65,10000.0,0.0,7.0,2.0,2.11,37.0,1011.0,1,800,Clear,clear sky,01d
2025-11-01 06:00:17,2025-11-01 18:00:17,Nauru,Yaren,Oceania,27.77,27.77,27.77,72.0,30.47,10000.0,0.0,44.0,1.57,1.56,1.0,1010.0,1,802,Clouds,scattered clouds,03d
2025-11-01 12:00:14,2025-11-02 00:00:14,Nauru,Yaren,Oceania,27.49,27.49,27.49,73.0,30.04,10000.0,0.0,49.0,1.17,1.19,39.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-01 18:00:19,2025-11-02 06:00:19,Nauru,Yaren,Oceania,27.05,27.05,27.05,77.0,29.57,10000.0,0.0,6.0,1.03,1.01,16.0,1009.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:12,2025-11-02 12:00:12,Nauru,Yaren,Oceania,27.55,27.55,27.55,76.0,30.51,10000.0,0.0,27.0,2.23,2.12,13.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-11-02 06:00:17,2025-11-02 18:00:17,Nauru,Yaren,Oceania,28.02,28.02,28.02,71.0,30.84,10000.0,0.0,69.0,1.5,1.53,18.0,1008.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:16,2025-11-03 00:00:16,Nauru,Yaren,Oceania,27.46,27.46,27.46,74.0,30.09,10000.0,0.36,11.0,1.55,1.58,60.0,1009.0,0,500,Rain,light rain,10n
2025-11-02 18:00:14,2025-11-03 06:00:14,Nauru,Yaren,Oceania,27.39,27.39,27.39,75.0,30.06,10000.0,0.0,16.0,3.83,4.01,20.0,1008.0,0,801,Clouds,few clouds,02n
2025-11-03 00:00:10,2025-11-03 12:00:10,Nauru,Yaren,Oceania,27.73,27.73,27.73,76.0,30.9,10000.0,0.0,54.0,4.95,5.08,16.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-03 06:00:14,2025-11-03 18:00:14,Nauru,Yaren,Oceania,27.59,27.59,27.59,76.0,30.6,10000.0,0.17,38.0,4.37,4.52,49.0,1007.0,1,500,Rain,light rain,10d
2025-11-03 12:00:20,2025-11-04 00:00:20,Nauru,Yaren,Oceania,27.58,27.58,27.58,78.0,30.82,10000.0,0.47,82.0,4.49,4.96,54.0,1009.0,0,500,Rain,light rain,10n
2025-11-03 18:00:14,2025-11-04 06:00:14,Nauru,Yaren,Oceania,27.39,27.39,27.39,75.0,30.06,10000.0,0.0,16.0,3.83,4.01,20.0,1008.0,0,801,Clouds,few clouds,02n
2025-11-04 00:00:15,2025-11-04 12:00:15,Nauru,Yaren,Oceania,27.81,27.81,27.81,78.0,31.35,10000.0,0.42,100.0,5.65,6.34,55.0,1009.0,1,500,Rain,light rain,10d
