utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:11,2025-11-01 10:00:11,Northern Mariana Islands,Saipan,Oceania,27.07,27.07,28.63,89.0,30.83,6437.0,0.0,75.0,6.17,0.0,90.0,1013.0,1,701,Mist,mist,50d
2025-11-01 06:00:17,2025-11-01 16:00:17,Northern Mariana Islands,Saipan,Oceania,30.07,28.63,30.07,70.0,35.21,10000.0,0.0,0.0,6.69,10.8,90.0,1010.0,1,800,Clear,clear sky,01d
2025-11-01 12:00:14,2025-11-01 22:00:14,Northern Mariana Islands,Saipan,Oceania,27.07,27.07,28.63,83.0,30.2,10000.0,0.0,40.0,6.69,0.0,80.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-01 18:00:20,2025-11-02 04:00:20,Northern Mariana Islands,Saipan,Oceania,25.07,25.07,28.63,94.0,26.09,10000.0,0.0,75.0,4.12,0.0,70.0,1010.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:13,2025-11-02 10:00:13,Northern Mariana Islands,Saipan,Oceania,28.07,28.07,28.63,79.0,32.12,10000.0,0.0,20.0,9.26,12.35,100.0,1011.0,1,801,Clouds,few clouds,02d
2025-11-02 06:00:18,2025-11-02 16:00:18,Northern Mariana Islands,Saipan,Oceania,27.07,27.07,28.63,89.0,30.83,4828.0,0.0,75.0,5.66,0.0,110.0,1009.0,1,701,Mist,mist,50d
2025-11-02 12:00:16,2025-11-02 22:00:16,Northern Mariana Islands,Saipan,Oceania,26.07,26.07,28.63,94.0,26.07,10000.0,0.0,40.0,7.2,10.29,90.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-02 18:00:15,2025-11-03 04:00:15,Northern Mariana Islands,Saipan,Oceania,26.07,26.07,28.63,83.0,26.07,10000.0,0.0,40.0,5.14,0.0,90.0,1009.0,0,802,Clouds,scattered clouds,03n
2025-11-03 00:00:11,2025-11-03 10:00:11,Northern Mariana Islands,Saipan,Oceania,28.07,28.07,28.63,74.0,31.36,10000.0,0.0,75.0,5.14,0.0,80.0,1011.0,1,803,Clouds,broken clouds,04d
2025-11-03 06:00:15,2025-11-03 16:00:15,Northern Mariana Islands,Saipan,Oceania,30.07,28.63,30.07,74.0,36.23,10000.0,0.0,40.0,7.72,0.0,80.0,1008.0,1,802,Clouds,scattered clouds,03d
2025-11-03 12:00:21,2025-11-03 22:00:21,Northern Mariana Islands,Saipan,Oceania,27.07,27.07,28.63,83.0,30.2,10000.0,0.0,20.0,9.26,12.86,80.0,1010.0,0,801,Clouds,few clouds,02n
2025-11-03 18:00:15,2025-11-04 04:00:15,Northern Mariana Islands,Saipan,Oceania,26.07,26.07,28.63,83.0,26.07,10000.0,0.0,40.0,5.14,0.0,90.0,1009.0,0,802,Clouds,scattered clouds,03n
2025-11-04 00:00:15,2025-11-04 10:00:15,Northern Mariana Islands,Saipan,Oceania,26.07,26.07,28.63,89.0,26.07,10000.0,0.0,20.0,5.14,0.0,110.0,1010.0,1,801,Clouds,few clouds,02d
2025-11-04 06:00:13,2025-11-04 16:00:13,Northern Mariana Islands,Saipan,Oceania,29.07,28.63,29.07,74.0,33.66,10000.0,0.0,40.0,5.14,0.0,60.0,1008.0,1,802,Clouds,scattered clouds,03d
2025-11-04 12:00:20,2025-11-04 22:00:20,Northern Mariana Islands,Saipan,Oceania,26.07,26.07,28.63,89.0,26.07,10000.0,0.0,20.0,6.17,0.0,70.0,1009.0,0,801,Clouds,few clouds,02n
