utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:12,2025-11-01 03:00:12,Palestine,Jerusalem,Asia,27.78,27.78,27.78,31.0,26.98,10000.0,0.0,0.0,3.43,3.44,356.0,1016.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:18,2025-11-01 09:00:18,Palestine,Jerusalem,Asia,30.56,30.56,30.56,26.0,29.0,10000.0,0.0,0.0,2.53,3.21,357.0,1017.0,1,800,Clear,clear sky,01d
2025-11-01 12:00:15,2025-11-01 15:00:15,Palestine,Jerusalem,Asia,33.89,33.89,33.89,13.0,31.42,10000.0,0.0,0.0,2.99,2.42,326.0,1013.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:21,2025-11-01 21:00:21,Palestine,Jerusalem,Asia,31.67,31.67,31.67,21.0,29.72,10000.0,0.0,2.0,2.58,2.64,359.0,1015.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:13,2025-11-02 03:00:13,Palestine,Jerusalem,Asia,28.89,28.89,28.89,31.0,27.84,10000.0,0.0,29.0,2.97,3.0,352.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:18,2025-11-02 09:00:18,Palestine,Jerusalem,Asia,31.67,31.67,31.67,25.0,29.99,10000.0,0.0,95.0,2.49,3.23,351.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-11-02 12:00:17,2025-11-02 15:00:17,Palestine,Jerusalem,Asia,35.0,35.0,35.0,13.0,32.45,10000.0,0.0,66.0,1.04,1.08,171.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:15,2025-11-02 21:00:15,Palestine,Jerusalem,Asia,32.22,32.22,32.22,21.0,30.24,10000.0,0.0,81.0,0.62,1.18,14.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-03 00:00:11,2025-11-03 03:00:11,Palestine,Jerusalem,Asia,28.89,28.89,28.89,30.0,27.78,10000.0,0.0,24.0,3.03,3.08,4.0,1016.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:15,2025-11-03 09:00:15,Palestine,Jerusalem,Asia,30.56,30.56,30.56,27.0,29.06,10000.0,0.0,0.0,2.28,2.98,348.0,1018.0,1,800,Clear,clear sky,01d
2025-11-03 12:00:21,2025-11-03 15:00:21,Palestine,Jerusalem,Asia,35.0,35.0,35.0,13.0,32.45,10000.0,0.0,35.0,1.82,2.65,54.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-03 18:00:15,2025-11-03 21:00:15,Palestine,Jerusalem,Asia,32.22,32.22,32.22,21.0,30.24,10000.0,0.0,81.0,0.62,1.18,14.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-04 00:00:16,2025-11-04 03:00:16,Palestine,Jerusalem,Asia,28.89,28.89,28.89,37.0,28.25,10000.0,0.0,27.0,1.82,2.04,354.0,1017.0,0,802,Clouds,scattered clouds,03n
2025-11-04 06:00:13,2025-11-04 09:00:13,Palestine,Jerusalem,Asia,30.0,30.0,30.0,28.0,28.62,10000.0,0.0,47.0,2.55,3.12,345.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-11-04 12:00:21,2025-11-04 15:00:21,Palestine,Jerusalem,Asia,35.56,35.56,35.56,16.0,33.22,10000.0,0.0,10.0,1.11,2.27,16.0,1013.0,1,800,Clear,clear sky,01d
2025-11-04 18:00:17,2025-11-04 21:00:17,Palestine,Jerusalem,Asia,32.22,32.22,32.22,24.0,30.46,10000.0,0.0,37.0,1.04,1.47,346.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-05 00:00:13,2025-11-05 03:00:13,Palestine,Jerusalem,Asia,30.0,30.0,30.0,26.0,28.5,10000.0,0.0,69.0,1.74,1.8,179.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-05 06:00:18,2025-11-05 09:00:18,Palestine,Jerusalem,Asia,32.22,32.22,32.22,22.0,30.31,10000.0,0.0,36.0,2.25,3.13,347.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-05 12:00:19,2025-11-05 15:00:19,Palestine,Jerusalem,Asia,35.0,35.0,35.0,14.0,32.51,10000.0,0.0,44.0,2.32,2.18,181.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-11-05 18:00:19,2025-11-05 21:00:19,Palestine,Jerusalem,Asia,31.67,31.67,31.67,19.0,29.63,10000.0,0.0,21.0,1.99,1.97,323.0,1011.0,0,801,Clouds,few clouds,02n
2025-11-06 00:00:30,2025-11-06 03:00:30,Palestine,Jerusalem,Asia,29.44,29.44,29.44,26.0,28.02,10000.0,0.0,0.0,0.37,0.19,2.0,1012.0,0,800,Clear,clear sky,01n
2025-11-06 06:00:20,2025-11-06 09:00:20,Palestine,Jerusalem,Asia,31.67,31.67,31.67,18.0,29.59,10000.0,0.0,0.0,1.49,1.76,350.0,1013.0,1,800,Clear,clear sky,01d
2025-11-06 12:00:22,2025-11-06 15:00:22,Palestine,Jerusalem,Asia,33.89,33.89,33.89,11.0,31.38,10000.0,0.0,0.0,0.77,0.88,69.0,1010.0,1,800,Clear,clear sky,01d
2025-11-06 18:00:13,2025-11-06 21:00:13,Palestine,Jerusalem,Asia,27.78,27.78,27.78,57.0,28.83,10000.0,0.0,0.0,3.35,4.61,359.0,1012.0,0,800,Clear,clear sky,01n
2025-11-07 00:00:18,2025-11-07 03:00:18,Palestine,Jerusalem,Asia,25.0,25.0,25.0,48.0,24.81,10000.0,0.0,0.0,2.93,3.31,0.0,1013.0,0,800,Clear,clear sky,01n
2025-11-07 06:00:15,2025-11-07 09:00:15,Palestine,Jerusalem,Asia,26.67,26.67,26.67,34.0,26.37,10000.0,0.0,0.0,1.42,2.0,27.0,1015.0,1,800,Clear,clear sky,01d
2025-11-07 12:00:19,2025-11-07 15:00:19,Palestine,Jerusalem,Asia,30.0,30.0,30.0,34.0,29.08,10000.0,0.0,0.0,0.68,0.97,98.0,1012.0,1,800,Clear,clear sky,01d
2025-11-07 18:00:16,2025-11-07 21:00:16,Palestine,Jerusalem,Asia,26.11,26.11,26.11,50.0,26.11,10000.0,0.0,0.0,2.42,2.93,349.0,1015.0,0,800,Clear,clear sky,01n
2025-11-08 00:00:12,2025-11-08 03:00:12,Palestine,Jerusalem,Asia,25.0,25.0,25.0,68.0,25.33,10000.0,0.0,0.0,3.21,3.88,8.0,1017.0,0,800,Clear,clear sky,01n
2025-11-08 06:00:18,2025-11-08 09:00:18,Palestine,Jerusalem,Asia,26.11,26.11,26.11,68.0,26.11,10000.0,0.0,6.0,3.7,4.88,4.0,1018.0,1,800,Clear,clear sky,01d
