utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:12,2025-10-31 21:00:12,Paraguay,Asuncion,South America,22.1,20.89,22.1,68.0,22.14,10000.0,0.0,24.0,0.45,0.89,262.0,1010.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:18,2025-11-01 03:00:18,Paraguay,Asuncion,South America,21.66,20.86,22.53,70.0,21.71,10000.0,0.0,75.0,2.06,0.0,120.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-01 12:00:15,2025-11-01 09:00:15,Paraguay,Asuncion,South America,23.86,23.86,23.86,69.0,24.1,10000.0,0.0,75.0,3.13,8.16,90.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:21,2025-11-01 15:00:21,Paraguay,Asuncion,South America,27.73,26.86,28.77,74.0,30.64,10000.0,0.0,75.0,3.6,0.0,140.0,1008.0,1,211,Thunderstorm,thunderstorm,11d
2025-11-02 00:00:13,2025-11-01 21:00:13,Paraguay,Asuncion,South America,20.53,19.78,20.87,95.0,21.12,4000.0,0.0,100.0,5.66,0.0,130.0,1009.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:18,2025-11-02 03:00:18,Paraguay,Asuncion,South America,20.72,20.34,20.87,86.0,21.09,10000.0,0.0,75.0,4.12,0.0,120.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-02 12:00:17,2025-11-02 09:00:17,Paraguay,Asuncion,South America,25.93,25.34,25.99,72.0,26.46,10000.0,0.0,90.0,1.79,1.79,231.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-02 18:00:16,2025-11-02 15:00:16,Paraguay,Asuncion,South America,24.64,24.2,24.88,77.0,25.17,10000.0,0.0,100.0,4.63,0.0,210.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-11-03 00:00:11,2025-11-02 21:00:11,Paraguay,Asuncion,South America,21.79,20.34,21.98,87.0,22.3,10000.0,0.0,20.0,2.57,0.0,210.0,1009.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:16,2025-11-03 03:00:16,Paraguay,Asuncion,South America,19.55,18.86,19.75,97.0,20.09,10000.0,0.0,0.0,0.89,0.89,165.0,1010.0,0,800,Clear,clear sky,01n
2025-11-03 12:00:21,2025-11-03 09:00:21,Paraguay,Asuncion,South America,24.75,24.75,25.86,76.0,25.26,10000.0,0.0,0.0,3.6,0.0,160.0,1012.0,1,800,Clear,clear sky,01d
2025-11-03 18:00:16,2025-11-03 15:00:16,Paraguay,Asuncion,South America,24.64,24.2,24.88,77.0,25.17,10000.0,0.0,100.0,4.63,0.0,210.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-11-04 00:00:16,2025-11-03 21:00:16,Paraguay,Asuncion,South America,24.88,24.86,24.88,75.0,25.38,10000.0,0.0,40.0,2.06,0.0,160.0,1008.0,0,802,Clouds,scattered clouds,03n
2025-11-04 06:00:14,2025-11-04 03:00:14,Paraguay,Asuncion,South America,19.88,18.67,19.88,93.0,20.35,10000.0,0.0,0.0,0.89,0.89,254.0,1008.0,0,800,Clear,clear sky,01n
2025-11-04 12:00:21,2025-11-04 09:00:21,Paraguay,Asuncion,South America,28.7,28.09,29.32,63.0,30.97,10000.0,0.0,0.0,1.79,3.58,286.0,1010.0,1,800,Clear,clear sky,01d
2025-11-04 18:00:17,2025-11-04 15:00:17,Paraguay,Asuncion,South America,36.2,35.99,37.0,47.0,42.31,10000.0,0.0,1.0,0.89,1.34,183.0,1007.0,1,800,Clear,clear sky,01d
2025-11-05 00:00:13,2025-11-04 21:00:13,Paraguay,Asuncion,South America,30.44,27.56,30.44,63.0,34.38,10000.0,0.0,64.0,2.83,6.28,107.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-05 06:00:18,2025-11-05 03:00:18,Paraguay,Asuncion,South America,23.24,22.1,25.86,90.0,23.97,1500.0,0.0,100.0,7.72,12.86,320.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-05 12:00:19,2025-11-05 09:00:19,Paraguay,Asuncion,South America,25.91,25.86,25.99,79.0,26.62,10000.0,0.0,75.0,5.66,0.0,150.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-05 18:00:19,2025-11-05 15:00:19,Paraguay,Asuncion,South America,30.86,30.86,30.86,48.0,32.02,10000.0,0.0,20.0,4.63,0.0,150.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-06 00:00:31,2025-11-05 21:00:31,Paraguay,Asuncion,South America,24.45,23.67,24.86,71.0,24.8,10000.0,0.0,0.0,3.6,0.0,180.0,1014.0,0,800,Clear,clear sky,01n
2025-11-06 06:00:21,2025-11-06 03:00:21,Paraguay,Asuncion,South America,20.65,18.67,20.87,80.0,20.86,10000.0,0.0,24.0,0.89,1.34,176.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-06 12:00:22,2025-11-06 09:00:22,Paraguay,Asuncion,South America,25.87,25.87,25.87,56.0,25.97,10000.0,0.0,0.0,1.79,2.68,56.0,1015.0,1,800,Clear,clear sky,01d
2025-11-06 18:00:13,2025-11-06 15:00:13,Paraguay,Asuncion,South America,33.43,32.66,34.2,45.0,35.73,10000.0,0.0,5.0,0.45,0.45,209.0,1008.0,1,800,Clear,clear sky,01d
2025-11-07 00:00:18,2025-11-06 21:00:18,Paraguay,Asuncion,South America,27.66,24.22,27.66,62.0,29.16,10000.0,0.0,79.0,0.45,1.34,181.0,1005.0,0,803,Clouds,broken clouds,04n
2025-11-07 06:00:15,2025-11-07 03:00:15,Paraguay,Asuncion,South America,25.93,25.34,25.99,68.0,26.35,10000.0,0.0,20.0,4.12,0.0,90.0,1002.0,0,801,Clouds,few clouds,02n
2025-11-07 12:00:20,2025-11-07 09:00:20,Paraguay,Asuncion,South America,29.86,29.86,29.86,62.0,32.96,10000.0,0.0,0.0,7.72,0.0,10.0,1003.0,1,800,Clear,clear sky,01d
2025-11-07 18:00:16,2025-11-07 15:00:16,Paraguay,Asuncion,South America,31.86,28.11,31.86,33.0,31.02,10000.0,0.0,75.0,7.72,0.0,330.0,1000.0,1,803,Clouds,broken clouds,04d
2025-11-08 00:00:12,2025-11-07 21:00:12,Paraguay,Asuncion,South America,20.72,20.31,20.99,74.0,20.78,10000.0,0.0,75.0,8.23,13.38,200.0,1007.0,0,803,Clouds,broken clouds,04n
2025-11-08 06:00:18,2025-11-08 03:00:18,Paraguay,Asuncion,South America,16.98,16.86,17.56,84.0,16.93,10000.0,0.0,75.0,9.26,14.4,200.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-08 12:00:19,2025-11-08 09:00:19,Paraguay,Asuncion,South America,18.75,18.64,18.86,74.0,18.61,10000.0,0.0,75.0,7.2,14.92,200.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-08 18:02:07,2025-11-08 15:02:07,Paraguay,Asuncion,South America,20.58,19.86,21.45,65.0,20.39,10000.0,0.0,100.0,5.14,0.0,200.0,1015.0,1,804,Clouds,overcast clouds,04d
