utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:12,2025-10-31 19:00:12,Peru,Lima,South America,18.21,18.21,19.45,72.0,17.97,10000.0,0.0,0.0,7.72,0.0,160.0,1014.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:18,2025-11-01 01:00:18,Peru,Lima,South America,16.21,16.12,16.21,88.0,16.18,10000.0,0.0,0.0,4.12,0.0,160.0,1014.0,0,800,Clear,clear sky,01n
2025-11-01 12:00:15,2025-11-01 07:00:15,Peru,Lima,South America,16.21,15.56,16.21,82.0,16.03,10000.0,0.0,75.0,3.09,0.0,170.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:21,2025-11-01 13:00:21,Peru,Lima,South America,19.21,19.21,19.21,73.0,19.09,10000.0,0.0,40.0,5.14,0.0,170.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-02 00:00:13,2025-11-01 19:00:13,Peru,Lima,South America,18.21,18.21,19.45,77.0,18.1,10000.0,0.0,20.0,6.17,0.0,160.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-02 06:00:18,2025-11-02 01:00:18,Peru,Lima,South America,17.21,16.12,17.21,82.0,17.13,10000.0,0.0,0.0,4.12,0.0,160.0,1014.0,0,800,Clear,clear sky,01n
2025-11-02 12:00:17,2025-11-02 07:00:17,Peru,Lima,South America,16.21,16.21,16.67,88.0,16.18,10000.0,0.0,100.0,2.57,0.0,190.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-11-02 18:00:16,2025-11-02 13:00:16,Peru,Lima,South America,19.21,19.21,19.21,73.0,19.09,10000.0,0.0,20.0,5.14,0.0,280.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-03 00:00:11,2025-11-02 19:00:11,Peru,Lima,South America,17.21,17.21,20.56,82.0,17.13,10000.0,0.0,40.0,4.12,0.0,190.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:16,2025-11-03 01:00:16,Peru,Lima,South America,17.21,17.21,17.23,82.0,17.13,10000.0,0.0,75.0,4.63,0.0,160.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-03 12:00:21,2025-11-03 07:00:21,Peru,Lima,South America,17.21,17.21,17.23,77.0,17.0,10000.0,0.0,100.0,0.51,0.0,0.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-11-03 18:00:16,2025-11-03 13:00:16,Peru,Lima,South America,19.21,19.21,19.21,73.0,19.09,10000.0,0.0,20.0,5.14,0.0,280.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-04 00:00:16,2025-11-03 19:00:16,Peru,Lima,South America,17.21,17.21,19.45,82.0,17.13,10000.0,0.0,75.0,5.14,0.0,170.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-04 06:00:14,2025-11-04 01:00:14,Peru,Lima,South America,17.21,17.21,18.34,82.0,17.13,10000.0,0.0,75.0,5.14,0.0,170.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-04 12:00:21,2025-11-04 07:00:21,Peru,Lima,South America,16.21,16.21,17.78,94.0,16.34,8000.0,0.0,75.0,3.6,0.0,180.0,1017.0,1,803,Clouds,broken clouds,04d
2025-11-04 18:00:17,2025-11-04 13:00:17,Peru,Lima,South America,20.21,20.21,20.21,73.0,20.19,10000.0,0.0,20.0,3.6,0.0,220.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-05 00:00:13,2025-11-04 19:00:13,Peru,Lima,South America,18.21,18.21,21.12,82.0,18.23,10000.0,0.0,0.0,6.69,0.0,170.0,1016.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:18,2025-11-05 01:00:18,Peru,Lima,South America,17.21,17.21,17.78,82.0,17.13,10000.0,0.0,0.0,5.14,0.0,160.0,1016.0,0,800,Clear,clear sky,01n
2025-11-05 12:00:20,2025-11-05 07:00:20,Peru,Lima,South America,16.21,16.21,18.34,94.0,16.34,10000.0,0.0,20.0,2.57,0.0,190.0,1017.0,1,801,Clouds,few clouds,02d
2025-11-05 18:00:19,2025-11-05 13:00:19,Peru,Lima,South America,20.21,20.21,20.21,73.0,20.19,10000.0,0.0,20.0,4.12,0.0,220.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-06 00:00:31,2025-11-05 19:00:31,Peru,Lima,South America,18.21,18.21,21.12,82.0,18.23,10000.0,0.0,20.0,7.2,0.0,170.0,1017.0,0,801,Clouds,few clouds,02n
2025-11-06 06:00:21,2025-11-06 01:00:21,Peru,Lima,South America,17.21,17.21,17.78,88.0,17.28,10000.0,0.0,75.0,5.66,0.0,160.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-06 12:00:22,2025-11-06 07:00:22,Peru,Lima,South America,17.21,17.21,17.23,82.0,17.13,9000.0,0.0,100.0,3.09,0.0,180.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-11-06 18:00:13,2025-11-06 13:00:13,Peru,Lima,South America,19.21,19.21,19.21,77.0,19.2,9000.0,0.0,75.0,3.6,0.0,220.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-07 00:00:18,2025-11-06 19:00:18,Peru,Lima,South America,18.21,18.21,21.12,77.0,18.1,10000.0,0.0,75.0,7.72,0.0,160.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-07 06:00:15,2025-11-07 01:00:15,Peru,Lima,South America,17.21,17.21,17.78,82.0,17.13,10000.0,0.0,100.0,3.09,0.0,190.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-07 12:00:20,2025-11-07 07:00:20,Peru,Lima,South America,16.21,16.21,17.78,88.0,16.18,8000.0,0.0,100.0,1.03,0.0,0.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-07 18:00:16,2025-11-07 13:00:16,Peru,Lima,South America,18.21,18.21,18.21,77.0,18.1,8000.0,0.0,100.0,1.54,0.0,270.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-08 00:00:12,2025-11-07 19:00:12,Peru,Lima,South America,17.21,17.21,21.12,82.0,17.13,7000.0,0.0,40.0,3.6,0.0,190.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-08 06:00:18,2025-11-08 01:00:18,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,10000.0,0.0,0.0,1.54,0.0,200.0,1012.0,0,800,Clear,clear sky,01n
2025-11-08 12:00:19,2025-11-08 07:00:19,Peru,Lima,South America,15.21,15.21,17.23,94.0,15.24,7000.0,0.0,100.0,2.57,0.0,320.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-08 18:02:07,2025-11-08 13:02:07,Peru,Lima,South America,18.21,18.21,23.34,77.0,18.1,10000.0,0.0,75.0,4.12,0.0,330.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-09 00:00:12,2025-11-08 19:00:12,Peru,Lima,South America,17.21,17.21,20.56,82.0,17.13,10000.0,0.0,40.0,3.09,0.0,280.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-11-09 06:00:16,2025-11-09 01:00:16,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,10000.0,0.0,40.0,1.54,0.0,210.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-11-09 12:00:18,2025-11-09 07:00:18,Peru,Lima,South America,16.21,16.21,17.78,88.0,16.18,7000.0,0.0,75.0,2.57,0.0,190.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-09 18:00:13,2025-11-09 13:00:13,Peru,Lima,South America,19.21,19.21,19.21,77.0,19.2,9000.0,0.0,44.0,5.14,0.0,190.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-10 00:00:18,2025-11-09 19:00:18,Peru,Lima,South America,18.21,18.21,22.23,82.0,18.23,10000.0,0.0,0.0,7.2,0.0,160.0,1013.0,0,800,Clear,clear sky,01n
2025-11-10 06:00:18,2025-11-10 01:00:18,Peru,Lima,South America,16.21,16.21,17.78,94.0,16.34,10000.0,0.0,0.0,3.09,0.0,180.0,1012.0,0,800,Clear,clear sky,01n
2025-11-10 12:00:19,2025-11-10 07:00:19,Peru,Lima,South America,15.21,15.21,17.78,94.0,15.24,5000.0,0.0,100.0,3.6,0.0,310.0,1014.0,1,701,Mist,mist,50d
2025-11-10 18:00:17,2025-11-10 13:00:17,Peru,Lima,South America,18.21,18.21,18.21,77.0,18.1,9000.0,0.0,100.0,4.12,0.0,280.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-11-11 00:00:14,2025-11-10 19:00:14,Peru,Lima,South America,17.21,17.21,18.34,82.0,17.13,10000.0,0.0,75.0,4.63,0.0,190.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-11 06:00:20,2025-11-11 01:00:20,Peru,Lima,South America,16.21,16.21,16.67,88.0,16.18,10000.0,0.0,75.0,3.09,0.0,180.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-11 12:00:20,2025-11-11 07:00:20,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,5000.0,0.0,100.0,1.03,0.0,0.0,1015.0,1,701,Mist,mist,50d
2025-11-11 18:00:12,2025-11-11 13:00:12,Peru,Lima,South America,17.21,17.21,17.21,82.0,17.13,9000.0,0.0,100.0,4.12,0.0,270.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-11-12 00:00:17,2025-11-11 19:00:17,Peru,Lima,South America,17.21,17.21,20.56,82.0,17.13,10000.0,0.0,40.0,7.72,0.0,160.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-12 06:00:18,2025-11-12 01:00:18,Peru,Lima,South America,17.21,17.21,17.23,82.0,17.13,8000.0,0.0,73.0,3.09,0.0,180.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-12 12:00:19,2025-11-12 07:00:19,Peru,Lima,South America,16.21,16.21,16.67,88.0,16.18,4000.0,0.0,100.0,1.03,0.0,0.0,1015.0,1,701,Mist,mist,50d
2025-11-12 18:00:19,2025-11-12 13:00:19,Peru,Lima,South America,18.21,18.21,18.21,77.0,18.1,7000.0,0.0,75.0,3.6,0.0,200.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-13 00:00:22,2025-11-12 19:00:22,Peru,Lima,South America,18.21,18.21,22.23,77.0,18.1,10000.0,0.0,20.0,6.17,0.0,170.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-13 06:00:18,2025-11-13 01:00:18,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,10000.0,0.0,20.0,3.6,0.0,180.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-13 12:00:21,2025-11-13 07:00:21,Peru,Lima,South America,15.19,15.19,17.22,94.0,15.22,7000.0,0.0,100.0,2.57,0.0,240.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-11-13 18:00:19,2025-11-13 13:00:19,Peru,Lima,South America,18.21,18.21,18.21,77.0,18.1,7000.0,0.0,75.0,3.6,0.0,200.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-14 00:00:15,2025-11-13 19:00:15,Peru,Lima,South America,17.21,17.21,20.56,82.0,17.13,10000.0,0.0,0.0,6.17,0.0,170.0,1014.0,0,800,Clear,clear sky,01n
2025-11-14 06:00:13,2025-11-14 01:00:13,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,10000.0,0.0,0.0,3.6,0.0,170.0,1015.0,0,800,Clear,clear sky,01n
2025-11-14 12:00:22,2025-11-14 07:00:22,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,7000.0,0.0,100.0,1.54,0.0,220.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-11-14 18:00:17,2025-11-14 13:00:17,Peru,Lima,South America,18.21,18.21,18.21,77.0,18.1,10000.0,0.0,40.0,3.09,0.0,230.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-15 00:00:14,2025-11-14 19:00:14,Peru,Lima,South America,18.21,18.21,20.0,77.0,18.1,10000.0,0.0,20.0,7.2,0.0,160.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-15 06:00:19,2025-11-15 01:00:19,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,10000.0,0.0,0.0,4.63,0.0,160.0,1014.0,0,800,Clear,clear sky,01n
2025-11-15 12:00:18,2025-11-15 07:00:18,Peru,Lima,South America,16.21,16.21,17.23,88.0,16.18,10000.0,0.0,100.0,2.06,0.0,210.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-11-15 18:00:17,2025-11-15 13:00:17,Peru,Lima,South America,18.21,18.21,18.21,77.0,18.1,10000.0,0.0,40.0,3.09,0.0,230.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-16 00:00:16,2025-11-15 19:00:16,Peru,Lima,South America,17.21,17.21,20.56,88.0,17.28,10000.0,0.0,0.0,6.69,0.0,170.0,1014.0,0,800,Clear,clear sky,01n
2025-11-16 06:00:13,2025-11-16 01:00:13,Peru,Lima,South America,17.21,17.21,17.78,82.0,17.13,10000.0,0.0,20.0,5.66,0.0,160.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-16 12:00:17,2025-11-16 07:00:17,Peru,Lima,South America,16.21,16.21,17.78,88.0,16.18,10000.0,0.0,40.0,2.57,0.0,190.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-11-16 18:00:15,2025-11-16 13:00:15,Peru,Lima,South America,19.21,19.21,19.21,73.0,19.09,6000.0,0.0,75.0,3.09,0.0,240.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-17 00:00:11,2025-11-16 19:00:11,Peru,Lima,South America,18.21,18.21,20.56,77.0,18.1,10000.0,0.0,0.0,5.66,0.0,180.0,1015.0,0,800,Clear,clear sky,01n
2025-11-17 06:00:17,2025-11-17 01:00:17,Peru,Lima,South America,17.21,17.21,17.21,82.0,17.13,10000.0,0.0,0.0,3.09,0.0,160.0,1013.0,0,800,Clear,clear sky,01n
2025-11-17 12:00:20,2025-11-17 07:00:20,Peru,Lima,South America,16.21,16.21,18.34,88.0,16.18,6000.0,0.0,40.0,2.57,0.0,310.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-11-17 18:00:16,2025-11-17 13:00:16,Peru,Lima,South America,17.21,17.21,17.21,82.0,17.13,8000.0,0.0,75.0,3.6,0.0,300.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-18 00:00:13,2025-11-17 19:00:13,Peru,Lima,South America,18.21,18.21,20.0,77.0,18.1,10000.0,0.0,0.0,5.66,0.0,170.0,1016.0,0,800,Clear,clear sky,01n
2025-11-18 06:00:21,2025-11-18 01:00:21,Peru,Lima,South America,17.21,17.21,17.78,82.0,17.13,10000.0,0.0,0.0,4.12,0.0,170.0,1015.0,0,800,Clear,clear sky,01n
