utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:12,2025-10-31 16:00:12,Pitcairn Islands,Adamstown,Unknown,21.54,21.54,21.54,81.0,21.86,10000.0,0.87,88.0,3.31,3.68,27.0,1018.0,1,500,Rain,light rain,10d
2025-11-01 06:00:18,2025-10-31 22:00:18,Pitcairn Islands,Adamstown,Unknown,21.59,21.59,21.59,83.0,21.97,10000.0,0.19,87.0,2.49,3.04,19.0,1019.0,0,500,Rain,light rain,10n
2025-11-01 12:00:15,2025-11-01 04:00:15,Pitcairn Islands,Adamstown,Unknown,21.12,21.12,21.12,82.0,21.43,10000.0,0.11,52.0,2.08,2.18,13.0,1017.0,0,500,Rain,light rain,10n
2025-11-01 18:00:21,2025-11-01 10:00:21,Pitcairn Islands,Adamstown,Unknown,21.54,21.54,21.54,77.0,21.76,10000.0,0.0,22.0,2.22,2.41,354.0,1019.0,1,801,Clouds,few clouds,02d
2025-11-02 00:00:13,2025-11-01 16:00:13,Pitcairn Islands,Adamstown,Unknown,22.13,22.13,22.13,73.0,22.3,10000.0,0.0,33.0,2.55,2.59,262.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-11-02 06:00:18,2025-11-01 22:00:18,Pitcairn Islands,Adamstown,Unknown,21.5,21.5,21.5,79.0,21.77,10000.0,0.0,9.0,2.11,1.81,201.0,1020.0,0,800,Clear,clear sky,01n
2025-11-02 12:00:17,2025-11-02 04:00:17,Pitcairn Islands,Adamstown,Unknown,20.8,20.8,20.8,82.0,21.08,10000.0,0.0,48.0,2.25,1.98,171.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-02 18:00:16,2025-11-02 10:00:16,Pitcairn Islands,Adamstown,Unknown,21.03,21.03,21.03,80.0,21.28,10000.0,0.0,65.0,1.76,1.64,121.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-03 00:00:11,2025-11-02 16:00:11,Pitcairn Islands,Adamstown,Unknown,21.55,21.55,21.55,77.0,21.77,10000.0,0.0,100.0,1.49,1.23,169.0,1019.0,1,804,Clouds,overcast clouds,04d
2025-11-03 06:00:16,2025-11-02 22:00:16,Pitcairn Islands,Adamstown,Unknown,21.68,21.68,21.68,79.0,21.97,10000.0,0.0,37.0,2.67,2.81,104.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-11-03 12:00:21,2025-11-03 04:00:21,Pitcairn Islands,Adamstown,Unknown,21.42,21.42,21.42,81.0,21.73,10000.0,0.0,66.0,2.36,2.63,57.0,1019.0,0,803,Clouds,broken clouds,04n
2025-11-03 18:00:16,2025-11-03 10:00:16,Pitcairn Islands,Adamstown,Unknown,21.03,21.03,21.03,80.0,21.28,10000.0,0.0,65.0,1.76,1.64,121.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-04 00:00:16,2025-11-03 16:00:16,Pitcairn Islands,Adamstown,Unknown,23.19,23.19,23.19,74.0,23.5,10000.0,0.44,48.0,3.28,3.34,25.0,1020.0,1,500,Rain,light rain,10d
2025-11-04 06:00:14,2025-11-03 22:00:14,Pitcairn Islands,Adamstown,Unknown,22.9,22.9,22.9,80.0,23.33,10000.0,0.22,75.0,2.66,3.1,42.0,1022.0,0,500,Rain,light rain,10n
2025-11-04 12:00:21,2025-11-04 04:00:21,Pitcairn Islands,Adamstown,Unknown,22.15,22.15,22.15,81.0,22.54,10000.0,0.75,18.0,3.54,3.93,22.0,1020.0,0,500,Rain,light rain,10n
2025-11-04 18:00:17,2025-11-04 10:00:17,Pitcairn Islands,Adamstown,Unknown,22.81,22.81,22.81,77.0,23.16,10000.0,0.11,100.0,4.59,4.82,27.0,1023.0,1,500,Rain,light rain,10d
2025-11-05 00:00:13,2025-11-04 16:00:13,Pitcairn Islands,Adamstown,Unknown,23.06,23.06,23.06,75.0,23.38,10000.0,0.0,68.0,3.34,3.36,28.0,1021.0,1,803,Clouds,broken clouds,04d
2025-11-05 06:00:18,2025-11-04 22:00:18,Pitcairn Islands,Adamstown,Unknown,22.79,22.79,22.79,78.0,23.16,10000.0,0.0,22.0,3.22,3.41,61.0,1023.0,0,801,Clouds,few clouds,02n
2025-11-05 12:00:20,2025-11-05 04:00:20,Pitcairn Islands,Adamstown,Unknown,22.21,22.21,22.21,80.0,22.58,10000.0,0.0,28.0,2.85,2.92,72.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-11-05 18:00:19,2025-11-05 10:00:19,Pitcairn Islands,Adamstown,Unknown,22.59,22.59,22.59,78.0,22.94,10000.0,0.0,13.0,4.51,4.8,45.0,1023.0,1,801,Clouds,few clouds,02d
2025-11-06 00:00:31,2025-11-05 16:00:31,Pitcairn Islands,Adamstown,Unknown,22.75,22.75,22.75,78.0,23.12,10000.0,0.33,47.0,3.64,3.87,42.0,1020.0,1,500,Rain,light rain,10d
2025-11-06 06:00:21,2025-11-05 22:00:21,Pitcairn Islands,Adamstown,Unknown,22.76,22.76,22.76,80.0,23.18,10000.0,0.0,100.0,5.47,6.29,41.0,1022.0,0,804,Clouds,overcast clouds,04n
