utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:12,2025-11-01 01:00:12,Poland,Warsaw,Europe,4.41,3.79,4.8,98.0,2.76,10000.0,0.0,70.0,1.93,2.55,158.0,1021.0,0,803,Clouds,broken clouds,04n
2025-11-01 06:00:18,2025-11-01 07:00:18,Poland,Warsaw,Europe,3.92,2.66,4.95,94.0,0.81,10000.0,0.0,89.0,3.56,8.19,141.0,1020.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:15,2025-11-01 13:00:15,Poland,Warsaw,Europe,12.68,11.88,13.87,69.0,11.81,10000.0,0.0,0.0,4.63,0.0,140.0,1018.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:21,2025-11-01 19:00:21,Poland,Warsaw,Europe,10.33,9.32,11.01,79.0,9.48,10000.0,0.0,0.0,4.12,0.0,130.0,1017.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:13,2025-11-02 01:00:13,Poland,Warsaw,Europe,9.95,9.38,11.02,84.0,8.72,10000.0,0.0,75.0,2.57,0.0,150.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:18,2025-11-02 07:00:18,Poland,Warsaw,Europe,10.45,9.8,11.62,87.0,9.82,10000.0,0.0,0.0,1.54,0.0,150.0,1013.0,1,800,Clear,clear sky,01d
2025-11-02 12:00:17,2025-11-02 13:00:17,Poland,Warsaw,Europe,16.64,15.46,17.66,69.0,16.16,10000.0,0.0,40.0,1.03,0.0,0.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:16,2025-11-02 19:00:16,Poland,Warsaw,Europe,11.74,11.06,13.28,91.0,11.35,6000.0,0.0,75.0,1.03,0.0,250.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-03 00:00:11,2025-11-03 01:00:11,Poland,Warsaw,Europe,11.21,10.53,12.17,94.0,10.84,4500.0,0.0,75.0,1.54,0.0,340.0,1011.0,0,701,Mist,mist,50n
2025-11-03 06:00:16,2025-11-03 07:00:16,Poland,Warsaw,Europe,10.52,9.97,11.62,95.0,10.11,7000.0,3.16,75.0,2.06,0.0,350.0,1011.0,1,501,Rain,moderate rain,10d
2025-11-03 12:00:21,2025-11-03 13:00:21,Poland,Warsaw,Europe,10.63,9.8,11.55,94.0,10.2,10000.0,0.0,75.0,6.17,0.0,310.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:16,2025-11-03 19:00:16,Poland,Warsaw,Europe,11.74,11.06,13.28,91.0,11.35,6000.0,0.0,75.0,1.03,0.0,250.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-04 00:00:16,2025-11-04 01:00:16,Poland,Warsaw,Europe,8.8,8.13,9.95,98.0,6.47,8000.0,0.0,75.0,4.12,0.0,280.0,1021.0,0,803,Clouds,broken clouds,04n
2025-11-04 06:00:14,2025-11-04 07:00:14,Poland,Warsaw,Europe,5.37,4.8,7.17,97.0,4.32,5000.0,0.0,20.0,1.54,0.0,260.0,1024.0,1,741,Fog,fog,50d
2025-11-04 12:00:21,2025-11-04 13:00:21,Poland,Warsaw,Europe,12.9,12.02,13.84,69.0,12.05,10000.0,0.0,40.0,4.12,0.0,250.0,1024.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:17,2025-11-04 19:00:17,Poland,Warsaw,Europe,8.45,7.2,9.95,86.0,8.45,10000.0,0.0,0.0,1.03,0.0,210.0,1025.0,0,800,Clear,clear sky,01n
2025-11-05 00:00:13,2025-11-05 01:00:13,Poland,Warsaw,Europe,5.3,3.88,7.17,93.0,4.24,10000.0,0.0,0.0,1.54,0.0,130.0,1026.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:18,2025-11-05 07:00:18,Poland,Warsaw,Europe,3.92,2.88,5.51,95.0,2.05,7000.0,0.0,38.0,2.06,0.0,140.0,1026.0,1,741,Fog,fog,50d
2025-11-05 12:00:20,2025-11-05 13:00:20,Poland,Warsaw,Europe,13.3,12.34,13.77,63.0,12.33,10000.0,0.0,0.0,3.6,0.0,180.0,1025.0,1,800,Clear,clear sky,01d
2025-11-05 18:00:19,2025-11-05 19:00:19,Poland,Warsaw,Europe,9.53,8.83,9.91,76.0,7.37,10000.0,0.0,0.0,4.12,0.0,150.0,1023.0,0,800,Clear,clear sky,01n
2025-11-06 00:00:31,2025-11-06 01:00:31,Poland,Warsaw,Europe,6.75,5.54,8.28,85.0,4.9,10000.0,0.0,17.0,2.59,6.67,159.0,1023.0,0,801,Clouds,few clouds,02n
2025-11-06 06:00:21,2025-11-06 07:00:21,Poland,Warsaw,Europe,4.25,2.88,5.46,91.0,1.54,10000.0,0.0,0.0,3.09,0.0,130.0,1022.0,1,800,Clear,clear sky,01d
2025-11-06 12:00:22,2025-11-06 13:00:22,Poland,Warsaw,Europe,13.69,12.66,14.39,67.0,12.86,10000.0,0.0,0.0,3.6,0.0,140.0,1020.0,1,800,Clear,clear sky,01d
