utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:12,2025-11-01 03:00:12,Russia,Moscow,Europe,5.31,4.65,5.37,55.0,3.03,10000.0,0.13,100.0,2.8,6.19,32.0,1012.0,0,500,Rain,light rain,10n
2025-11-01 06:00:18,2025-11-01 09:00:18,Russia,Moscow,Europe,5.81,5.21,5.93,74.0,3.46,10000.0,0.0,100.0,3.03,5.6,36.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:15,2025-11-01 15:00:15,Russia,Moscow,Europe,7.53,6.88,7.59,52.0,6.6,10000.0,0.0,100.0,1.71,2.13,42.0,1019.0,1,804,Clouds,overcast clouds,04d
2025-11-01 18:00:22,2025-11-01 21:00:22,Russia,Moscow,Europe,5.99,5.24,6.88,65.0,5.99,10000.0,0.0,100.0,0.79,1.22,64.0,1022.0,0,804,Clouds,overcast clouds,04n
2025-11-02 00:00:14,2025-11-02 03:00:14,Russia,Moscow,Europe,5.4,4.29,5.77,66.0,5.4,10000.0,0.0,100.0,0.81,0.85,260.0,1025.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:19,2025-11-02 09:00:19,Russia,Moscow,Europe,6.07,4.29,6.48,73.0,5.06,10000.0,0.0,67.0,1.59,2.74,203.0,1026.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:17,2025-11-02 15:00:17,Russia,Moscow,Europe,8.09,6.29,8.15,58.0,6.28,10000.0,0.0,66.0,2.9,3.87,201.0,1025.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:16,2025-11-02 21:00:16,Russia,Moscow,Europe,5.21,4.29,5.24,82.0,2.82,10000.0,0.0,100.0,2.92,7.67,172.0,1026.0,0,804,Clouds,overcast clouds,04n
2025-11-03 00:00:12,2025-11-03 03:00:12,Russia,Moscow,Europe,4.15,3.29,5.24,73.0,0.82,10000.0,0.0,100.0,3.99,11.03,178.0,1025.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:16,2025-11-03 09:00:16,Russia,Moscow,Europe,4.73,4.29,5.24,72.0,1.3,10000.0,0.0,100.0,4.41,11.53,168.0,1023.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:22,2025-11-03 15:00:22,Russia,Moscow,Europe,7.03,6.29,7.24,64.0,3.56,10000.0,0.0,100.0,5.78,12.6,176.0,1020.0,1,804,Clouds,overcast clouds,04d
2025-11-03 18:00:16,2025-11-03 21:00:16,Russia,Moscow,Europe,5.21,4.29,5.24,82.0,2.82,10000.0,0.0,100.0,2.92,7.67,172.0,1026.0,0,804,Clouds,overcast clouds,04n
2025-11-04 00:00:16,2025-11-04 03:00:16,Russia,Moscow,Europe,8.64,7.99,8.7,74.0,6.02,10000.0,0.0,100.0,4.69,11.99,196.0,1017.0,0,804,Clouds,overcast clouds,04n
2025-11-04 06:00:14,2025-11-04 09:00:14,Russia,Moscow,Europe,8.14,7.99,8.29,72.0,5.02,10000.0,0.0,100.0,5.61,14.26,214.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-11-04 12:00:21,2025-11-04 15:00:21,Russia,Moscow,Europe,9.12,9.1,9.29,87.0,7.2,10000.0,0.0,100.0,3.44,7.09,301.0,1019.0,1,804,Clouds,overcast clouds,04d
2025-11-04 18:00:17,2025-11-04 21:00:17,Russia,Moscow,Europe,8.68,8.24,8.7,62.0,7.1,10000.0,0.0,95.0,2.73,7.31,307.0,1023.0,0,804,Clouds,overcast clouds,04n
2025-11-05 00:00:14,2025-11-05 03:00:14,Russia,Moscow,Europe,7.49,5.29,7.59,69.0,7.49,10000.0,0.0,12.0,1.18,1.14,242.0,1026.0,0,801,Clouds,few clouds,02n
