utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:13,2025-11-01 02:00:13,Rwanda,Kigali,Africa,17.23,17.23,17.88,93.0,17.44,10000.0,0.0,20.0,2.57,0.0,280.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:18,2025-11-01 08:00:18,Rwanda,Kigali,Africa,17.23,17.23,17.88,93.0,17.44,6000.0,0.0,40.0,0.0,0.0,0.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-11-01 12:00:15,2025-11-01 14:00:15,Rwanda,Kigali,Africa,19.45,19.45,19.88,82.0,19.59,3000.0,1.02,75.0,5.66,0.0,100.0,1012.0,1,201,Thunderstorm,thunderstorm with rain,11d
2025-11-01 18:00:22,2025-11-01 20:00:22,Rwanda,Kigali,Africa,20.88,20.88,20.88,73.0,20.93,10000.0,0.0,40.0,2.57,0.0,10.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-11-02 00:00:14,2025-11-02 02:00:14,Rwanda,Kigali,Africa,17.23,17.23,17.88,88.0,17.31,10000.0,0.0,40.0,1.54,0.0,320.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:19,2025-11-02 08:00:19,Rwanda,Kigali,Africa,18.34,18.34,18.88,88.0,18.53,10000.0,0.17,40.0,1.54,0.0,190.0,1016.0,1,500,Rain,light rain,10d
2025-11-02 12:00:18,2025-11-02 14:00:18,Rwanda,Kigali,Africa,26.12,26.12,26.88,47.0,26.12,10000.0,0.0,75.0,3.6,0.0,140.0,1010.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:16,2025-11-02 20:00:16,Rwanda,Kigali,Africa,21.88,21.88,21.88,73.0,22.03,10000.0,0.93,40.0,2.57,0.0,350.0,1015.0,0,500,Rain,light rain,10n
2025-11-03 00:00:12,2025-11-03 02:00:12,Rwanda,Kigali,Africa,19.88,19.88,19.88,77.0,19.93,10000.0,0.0,40.0,1.03,0.0,0.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:16,2025-11-03 08:00:16,Rwanda,Kigali,Africa,20.01,20.01,20.88,77.0,20.08,10000.0,0.0,20.0,1.54,0.0,330.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-03 12:00:22,2025-11-03 14:00:22,Rwanda,Kigali,Africa,25.01,25.01,25.88,50.0,24.87,10000.0,0.12,40.0,4.12,0.0,90.0,1012.0,1,500,Rain,light rain,10d
2025-11-03 18:00:16,2025-11-03 20:00:16,Rwanda,Kigali,Africa,21.88,21.88,21.88,73.0,22.03,10000.0,0.93,40.0,2.57,0.0,350.0,1015.0,0,500,Rain,light rain,10n
2025-11-04 00:00:16,2025-11-04 02:00:16,Rwanda,Kigali,Africa,18.88,18.88,18.88,72.0,18.7,10000.0,0.0,20.0,2.06,0.0,320.0,1015.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:14,2025-11-04 08:00:14,Rwanda,Kigali,Africa,20.01,20.01,20.88,73.0,19.97,10000.0,0.0,20.0,1.54,0.0,160.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-04 12:00:21,2025-11-04 14:00:21,Rwanda,Kigali,Africa,24.45,24.45,24.88,57.0,24.44,10000.0,0.0,75.0,2.06,0.0,200.0,1011.0,1,803,Clouds,broken clouds,04d
2025-11-04 18:00:17,2025-11-04 20:00:17,Rwanda,Kigali,Africa,19.45,19.45,19.88,72.0,19.33,10000.0,0.0,40.0,1.54,0.0,320.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-05 00:00:14,2025-11-05 02:00:14,Rwanda,Kigali,Africa,18.88,18.88,18.88,77.0,18.83,10000.0,0.0,40.0,3.09,0.0,330.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-05 06:00:19,2025-11-05 08:00:19,Rwanda,Kigali,Africa,19.45,19.45,19.88,77.0,19.46,8000.0,0.0,20.0,2.57,0.0,250.0,1017.0,1,801,Clouds,few clouds,02d
2025-11-05 12:00:20,2025-11-05 14:00:20,Rwanda,Kigali,Africa,26.88,26.88,26.88,47.0,27.14,10000.0,0.58,40.0,2.06,0.0,0.0,1013.0,1,500,Rain,light rain,10d
2025-11-05 18:00:20,2025-11-05 20:00:20,Rwanda,Kigali,Africa,18.34,18.34,18.88,72.0,18.11,10000.0,0.0,75.0,2.57,0.0,310.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-06 00:00:32,2025-11-06 02:00:32,Rwanda,Kigali,Africa,16.12,16.12,16.88,88.0,16.09,10000.0,0.0,40.0,2.57,0.0,350.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-06 06:00:21,2025-11-06 08:00:21,Rwanda,Kigali,Africa,18.88,18.88,18.88,77.0,18.83,10000.0,0.0,40.0,2.57,0.0,30.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-06 12:00:23,2025-11-06 14:00:23,Rwanda,Kigali,Africa,27.23,27.23,28.88,45.0,27.32,10000.0,0.17,75.0,3.58,0.0,140.0,1008.0,1,500,Rain,light rain,10d
2025-11-06 18:00:13,2025-11-06 20:00:13,Rwanda,Kigali,Africa,23.88,23.88,23.88,53.0,23.71,10000.0,0.39,40.0,3.09,0.0,30.0,1013.0,0,500,Rain,light rain,10n
2025-11-07 00:00:18,2025-11-07 02:00:18,Rwanda,Kigali,Africa,19.88,19.88,19.88,73.0,19.83,10000.0,0.0,40.0,1.54,0.0,210.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-07 06:00:16,2025-11-07 08:00:16,Rwanda,Kigali,Africa,18.34,18.34,18.88,88.0,18.53,8000.0,0.0,40.0,1.54,0.0,0.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-07 12:00:20,2025-11-07 14:00:20,Rwanda,Kigali,Africa,24.45,24.45,24.45,61.0,24.54,10000.0,0.0,98.0,2.68,0.0,250.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-11-07 18:00:17,2025-11-07 20:00:17,Rwanda,Kigali,Africa,17.23,17.23,17.88,100.0,17.62,10000.0,0.43,40.0,2.06,0.0,280.0,1013.0,0,500,Rain,light rain,10n
2025-11-08 00:00:13,2025-11-08 02:00:13,Rwanda,Kigali,Africa,16.12,16.12,16.88,100.0,16.4,3000.0,0.0,75.0,0.0,0.0,0.0,1013.0,0,701,Mist,mist,50n
2025-11-08 06:00:18,2025-11-08 08:00:18,Rwanda,Kigali,Africa,16.88,16.88,16.88,100.0,17.23,600.0,0.0,75.0,0.0,0.0,0.0,1016.0,1,741,Fog,fog,50d
2025-11-08 12:00:19,2025-11-08 14:00:19,Rwanda,Kigali,Africa,18.88,18.88,18.88,88.0,19.12,10000.0,0.0,75.0,4.12,0.0,80.0,1010.0,1,211,Thunderstorm,thunderstorm,11d
2025-11-08 18:02:07,2025-11-08 20:02:07,Rwanda,Kigali,Africa,15.9,15.9,15.9,98.0,16.1,5705.0,2.65,100.0,0.43,2.31,304.0,1016.0,0,501,Rain,moderate rain,10n
2025-11-09 00:00:12,2025-11-09 02:00:12,Rwanda,Kigali,Africa,16.12,16.12,16.88,93.0,16.22,10000.0,0.0,75.0,0.0,0.0,0.0,1014.0,0,803,Clouds,broken clouds,04n
2025-11-09 06:00:17,2025-11-09 08:00:17,Rwanda,Kigali,Africa,16.12,16.12,16.88,100.0,16.4,6000.0,0.0,75.0,1.03,0.0,0.0,1017.0,1,803,Clouds,broken clouds,04d
2025-11-09 12:00:19,2025-11-09 14:00:19,Rwanda,Kigali,Africa,19.45,19.45,19.88,82.0,19.59,4000.0,1.39,75.0,6.17,11.83,50.0,1012.0,1,201,Thunderstorm,thunderstorm with rain,11d
2025-11-09 18:00:13,2025-11-09 20:00:13,Rwanda,Kigali,Africa,20.88,20.88,20.88,73.0,20.93,10000.0,0.16,20.0,1.54,0.0,30.0,1015.0,0,500,Rain,light rain,10n
2025-11-10 00:00:19,2025-11-10 02:00:19,Rwanda,Kigali,Africa,18.88,18.88,18.88,88.0,19.12,10000.0,0.0,40.0,0.0,0.0,0.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-10 06:00:18,2025-11-10 08:00:18,Rwanda,Kigali,Africa,19.45,19.45,19.88,88.0,19.75,10000.0,0.0,40.0,0.0,0.0,0.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-11-10 12:00:20,2025-11-10 14:00:20,Rwanda,Kigali,Africa,25.01,25.01,25.88,54.0,24.98,10000.0,0.12,40.0,4.12,0.0,130.0,1011.0,1,500,Rain,light rain,10d
2025-11-10 18:00:18,2025-11-10 20:00:18,Rwanda,Kigali,Africa,19.88,19.88,19.88,77.0,19.93,10000.0,0.48,40.0,3.09,0.0,320.0,1014.0,0,500,Rain,light rain,10n
2025-11-11 00:00:15,2025-11-11 02:00:15,Rwanda,Kigali,Africa,17.23,17.23,17.88,93.0,17.44,10000.0,0.0,40.0,1.03,0.0,350.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-11 06:00:20,2025-11-11 08:00:20,Rwanda,Kigali,Africa,19.45,19.45,19.88,77.0,19.46,7000.0,0.0,20.0,1.03,0.0,0.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-11 12:00:21,2025-11-11 14:00:21,Rwanda,Kigali,Africa,24.45,24.45,24.88,53.0,24.33,10000.0,0.11,75.0,2.57,0.0,170.0,1009.0,1,500,Rain,light rain,10d
2025-11-11 18:00:13,2025-11-11 20:00:13,Rwanda,Kigali,Africa,18.34,18.34,18.88,82.0,18.37,10000.0,0.78,40.0,3.09,0.0,330.0,1014.0,0,500,Rain,light rain,10n
2025-11-12 00:00:18,2025-11-12 02:00:18,Rwanda,Kigali,Africa,16.12,16.12,16.88,93.0,16.22,10000.0,0.0,20.0,2.57,0.0,350.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-12 06:00:19,2025-11-12 08:00:19,Rwanda,Kigali,Africa,18.34,18.34,18.88,77.0,18.24,10000.0,0.0,40.0,0.0,0.0,0.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-11-12 12:00:19,2025-11-12 14:00:19,Rwanda,Kigali,Africa,26.12,26.12,26.88,47.0,26.12,10000.0,0.0,75.0,4.12,0.0,70.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-12 18:00:20,2025-11-12 20:00:20,Rwanda,Kigali,Africa,21.88,21.88,21.88,60.0,21.69,10000.0,0.13,40.0,1.54,0.0,340.0,1014.0,0,500,Rain,light rain,10n
2025-11-13 00:00:22,2025-11-13 02:00:22,Rwanda,Kigali,Africa,18.88,18.88,18.88,82.0,18.96,10000.0,0.0,20.0,1.03,0.0,250.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-13 06:00:19,2025-11-13 08:00:19,Rwanda,Kigali,Africa,18.34,18.34,18.88,93.0,18.66,7000.0,0.0,75.0,0.0,0.0,0.0,1016.0,1,803,Clouds,broken clouds,04d
