utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:13,2025-11-01 03:00:13,Saudi Arabia,Riyadh,Asia,17.63,17.63,17.63,47.0,16.68,10000.0,0.0,0.0,1.13,1.2,305.0,1016.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:19,2025-11-01 09:00:19,Saudi Arabia,Riyadh,Asia,22.92,22.92,22.92,25.0,21.92,10000.0,0.0,0.0,2.25,2.8,349.0,1019.0,1,800,Clear,clear sky,01d
2025-11-01 12:00:16,2025-11-01 15:00:16,Saudi Arabia,Riyadh,Asia,29.95,29.95,29.95,12.0,28.09,10000.0,0.0,0.0,5.96,6.39,41.0,1014.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:22,2025-11-01 21:00:22,Saudi Arabia,Riyadh,Asia,23.08,23.08,23.08,20.0,21.97,10000.0,0.0,0.0,4.39,5.05,50.0,1018.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:14,2025-11-02 03:00:14,Saudi Arabia,Riyadh,Asia,18.74,18.74,18.74,23.0,17.27,10000.0,0.0,0.0,2.92,3.06,343.0,1018.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:19,2025-11-02 09:00:19,Saudi Arabia,Riyadh,Asia,22.88,22.88,22.88,18.0,21.69,10000.0,0.0,0.0,2.92,3.5,348.0,1020.0,1,800,Clear,clear sky,01d
2025-11-02 12:00:18,2025-11-02 15:00:18,Saudi Arabia,Riyadh,Asia,29.91,29.91,29.91,9.0,28.09,10000.0,0.0,0.0,4.24,4.72,12.0,1016.0,1,800,Clear,clear sky,01d
2025-11-02 18:00:17,2025-11-02 21:00:17,Saudi Arabia,Riyadh,Asia,22.82,22.82,22.82,10.0,21.42,10000.0,0.0,0.0,4.61,6.36,25.0,1019.0,0,800,Clear,clear sky,01n
2025-11-03 00:00:12,2025-11-03 03:00:12,Saudi Arabia,Riyadh,Asia,19.06,19.06,19.06,13.0,17.36,10000.0,0.0,0.0,3.57,3.64,340.0,1019.0,0,800,Clear,clear sky,01n
2025-11-03 06:00:17,2025-11-03 09:00:17,Saudi Arabia,Riyadh,Asia,22.44,22.44,22.44,11.0,21.03,10000.0,0.0,2.0,3.17,4.15,341.0,1021.0,1,800,Clear,clear sky,01d
2025-11-03 12:00:22,2025-11-03 15:00:22,Saudi Arabia,Riyadh,Asia,29.76,29.76,29.76,5.0,28.06,10000.0,0.0,9.0,6.05,6.07,357.0,1016.0,1,800,Clear,clear sky,01d
2025-11-03 18:00:17,2025-11-03 21:00:17,Saudi Arabia,Riyadh,Asia,22.82,22.82,22.82,10.0,21.42,10000.0,0.0,0.0,4.61,6.36,25.0,1019.0,0,800,Clear,clear sky,01n
2025-11-04 00:00:17,2025-11-04 03:00:17,Saudi Arabia,Riyadh,Asia,14.61,14.61,14.61,13.0,12.47,10000.0,0.0,29.0,4.3,4.35,333.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-04 06:00:15,2025-11-04 09:00:15,Saudi Arabia,Riyadh,Asia,21.19,21.19,21.19,14.0,19.73,10000.0,0.0,70.0,3.87,4.66,334.0,1021.0,1,803,Clouds,broken clouds,04d
2025-11-04 12:00:22,2025-11-04 15:00:22,Saudi Arabia,Riyadh,Asia,29.44,29.44,29.44,6.0,27.78,10000.0,0.0,27.0,5.32,5.7,13.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:18,2025-11-04 21:00:18,Saudi Arabia,Riyadh,Asia,21.27,21.27,21.27,12.0,19.77,10000.0,0.0,71.0,4.85,6.15,43.0,1019.0,0,803,Clouds,broken clouds,04n
2025-11-05 00:00:14,2025-11-05 03:00:14,Saudi Arabia,Riyadh,Asia,17.79,17.79,17.79,17.0,16.07,10000.0,0.0,94.0,3.13,3.19,354.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-05 06:00:19,2025-11-05 09:00:19,Saudi Arabia,Riyadh,Asia,22.28,22.28,22.28,13.0,20.9,10000.0,0.0,76.0,2.95,3.58,355.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-05 12:00:20,2025-11-05 15:00:20,Saudi Arabia,Riyadh,Asia,28.55,28.55,28.55,6.0,27.06,10000.0,0.0,22.0,3.72,3.7,40.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-05 18:00:20,2025-11-05 21:00:20,Saudi Arabia,Riyadh,Asia,21.39,21.39,21.39,10.0,19.85,10000.0,0.0,1.0,4.1,4.18,60.0,1017.0,0,800,Clear,clear sky,01n
2025-11-06 00:00:33,2025-11-06 03:00:33,Saudi Arabia,Riyadh,Asia,14.43,14.43,14.43,15.0,12.32,10000.0,0.0,1.0,0.9,0.82,359.0,1017.0,0,800,Clear,clear sky,01n
2025-11-06 06:00:22,2025-11-06 09:00:22,Saudi Arabia,Riyadh,Asia,22.03,22.03,22.03,11.0,20.58,10000.0,0.0,3.0,0.5,0.39,261.0,1019.0,1,800,Clear,clear sky,01d
2025-11-06 12:00:23,2025-11-06 15:00:23,Saudi Arabia,Riyadh,Asia,27.65,27.65,27.65,8.0,26.33,10000.0,0.0,1.0,0.9,0.98,228.0,1015.0,1,800,Clear,clear sky,01d
2025-11-06 18:00:14,2025-11-06 21:00:14,Saudi Arabia,Riyadh,Asia,21.37,21.37,21.37,16.0,19.98,10000.0,0.0,0.0,1.3,1.47,102.0,1017.0,0,800,Clear,clear sky,01n
2025-11-07 00:00:19,2025-11-07 03:00:19,Saudi Arabia,Riyadh,Asia,17.52,17.52,17.52,17.0,15.77,10000.0,0.0,3.0,0.41,0.65,37.0,1017.0,0,800,Clear,clear sky,01n
2025-11-07 06:00:16,2025-11-07 09:00:16,Saudi Arabia,Riyadh,Asia,21.93,21.93,21.93,13.0,20.52,10000.0,0.0,3.0,1.42,1.51,264.0,1019.0,1,800,Clear,clear sky,01d
2025-11-07 12:00:21,2025-11-07 15:00:21,Saudi Arabia,Riyadh,Asia,27.93,27.93,27.93,11.0,26.56,10000.0,0.0,0.0,0.57,1.05,222.0,1015.0,1,800,Clear,clear sky,01d
2025-11-07 18:00:17,2025-11-07 21:00:17,Saudi Arabia,Riyadh,Asia,21.42,21.42,21.42,12.0,19.93,10000.0,0.0,0.0,2.13,2.18,68.0,1019.0,0,800,Clear,clear sky,01n
2025-11-08 00:00:13,2025-11-08 03:00:13,Saudi Arabia,Riyadh,Asia,15.3,15.3,15.3,13.0,13.23,10000.0,0.0,0.0,0.53,0.83,57.0,1019.0,0,800,Clear,clear sky,01n
2025-11-08 06:00:19,2025-11-08 09:00:19,Saudi Arabia,Riyadh,Asia,22.22,22.22,22.22,14.0,20.86,10000.0,0.0,5.0,0.73,0.88,212.0,1021.0,1,800,Clear,clear sky,01d
2025-11-08 12:00:20,2025-11-08 15:00:20,Saudi Arabia,Riyadh,Asia,28.06,28.06,28.06,9.0,26.65,10000.0,0.0,2.0,0.43,1.36,267.0,1017.0,1,800,Clear,clear sky,01d
2025-11-08 18:02:08,2025-11-08 21:02:08,Saudi Arabia,Riyadh,Asia,21.16,21.16,21.16,12.0,19.64,10000.0,0.0,2.0,1.93,1.96,59.0,1020.0,0,800,Clear,clear sky,01n
2025-11-09 00:00:13,2025-11-09 03:00:13,Saudi Arabia,Riyadh,Asia,15.77,15.77,15.77,16.0,13.82,10000.0,0.0,45.0,1.08,1.2,43.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-09 06:00:17,2025-11-09 09:00:17,Saudi Arabia,Riyadh,Asia,21.74,21.74,21.74,14.0,20.34,10000.0,0.0,17.0,1.72,1.75,328.0,1021.0,1,801,Clouds,few clouds,02d
2025-11-09 12:00:19,2025-11-09 15:00:19,Saudi Arabia,Riyadh,Asia,28.31,28.31,28.31,8.0,26.85,10000.0,0.0,1.0,2.62,2.95,338.0,1017.0,1,800,Clear,clear sky,01d
2025-11-09 18:00:14,2025-11-09 21:00:14,Saudi Arabia,Riyadh,Asia,19.58,19.58,19.58,16.0,18.01,10000.0,0.0,35.0,3.57,3.71,32.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-10 00:00:19,2025-11-10 03:00:19,Saudi Arabia,Riyadh,Asia,17.44,17.44,17.44,21.0,15.79,10000.0,0.0,97.0,2.6,2.68,351.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-11-10 06:00:18,2025-11-10 09:00:18,Saudi Arabia,Riyadh,Asia,20.21,20.21,20.21,18.0,18.76,10000.0,0.0,69.0,3.22,3.73,334.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-10 12:00:20,2025-11-10 15:00:20,Saudi Arabia,Riyadh,Asia,27.95,27.95,27.95,10.0,26.57,10000.0,0.0,65.0,3.63,3.69,340.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-10 18:00:18,2025-11-10 21:00:18,Saudi Arabia,Riyadh,Asia,20.04,20.04,20.04,15.0,18.49,10000.0,0.0,10.0,3.13,3.27,39.0,1019.0,0,800,Clear,clear sky,01n
2025-11-11 00:00:15,2025-11-11 03:00:15,Saudi Arabia,Riyadh,Asia,14.83,14.83,14.83,19.0,12.86,10000.0,0.0,2.0,2.52,2.63,352.0,1018.0,0,800,Clear,clear sky,01n
2025-11-11 06:00:21,2025-11-11 09:00:21,Saudi Arabia,Riyadh,Asia,20.19,20.19,20.19,16.0,18.68,10000.0,0.0,0.0,2.72,3.09,332.0,1020.0,1,800,Clear,clear sky,01d
2025-11-11 12:00:21,2025-11-11 15:00:21,Saudi Arabia,Riyadh,Asia,26.86,26.86,26.86,10.0,25.76,10000.0,0.0,21.0,2.2,2.51,6.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-11 18:00:13,2025-11-11 21:00:13,Saudi Arabia,Riyadh,Asia,20.04,20.04,20.04,16.0,18.52,10000.0,0.0,99.0,3.42,3.55,67.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-12 00:00:18,2025-11-12 03:00:18,Saudi Arabia,Riyadh,Asia,14.97,14.97,14.97,22.0,13.1,10000.0,0.0,100.0,0.47,0.43,83.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-12 06:00:19,2025-11-12 09:00:19,Saudi Arabia,Riyadh,Asia,20.42,20.42,20.42,16.0,18.94,10000.0,0.0,100.0,1.04,0.95,219.0,1020.0,1,804,Clouds,overcast clouds,04d
2025-11-12 12:00:20,2025-11-12 15:00:20,Saudi Arabia,Riyadh,Asia,26.93,26.93,26.93,10.0,25.81,10000.0,0.0,30.0,0.84,1.49,314.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-11-12 18:00:20,2025-11-12 21:00:20,Saudi Arabia,Riyadh,Asia,19.34,19.34,19.34,18.0,17.8,10000.0,0.0,0.0,4.04,4.42,77.0,1020.0,0,800,Clear,clear sky,01n
2025-11-13 00:00:23,2025-11-13 03:00:23,Saudi Arabia,Riyadh,Asia,13.76,13.76,13.76,30.0,11.97,10000.0,0.0,0.0,1.85,1.9,127.0,1020.0,0,800,Clear,clear sky,01n
2025-11-13 06:00:19,2025-11-13 09:00:19,Saudi Arabia,Riyadh,Asia,19.04,19.04,19.04,25.0,17.65,10000.0,0.0,0.0,1.65,1.86,136.0,1022.0,1,800,Clear,clear sky,01d
2025-11-13 12:00:22,2025-11-13 15:00:22,Saudi Arabia,Riyadh,Asia,27.3,27.3,27.3,12.0,26.11,10000.0,0.0,0.0,1.86,0.86,171.0,1018.0,1,800,Clear,clear sky,01d
