utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:13,2025-11-01 00:00:13,Senegal,Dakar,Africa,27.93,27.93,28.08,86.0,32.86,10000.0,0.0,20.0,1.03,0.0,0.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:19,2025-11-01 06:00:19,Senegal,Dakar,Africa,27.37,27.08,27.37,88.0,31.55,10000.0,0.0,20.0,2.06,0.0,220.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-01 12:00:16,2025-11-01 12:00:16,Senegal,Dakar,Africa,30.15,30.08,30.15,78.0,37.15,10000.0,0.0,20.0,4.12,0.0,300.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-01 18:00:22,2025-11-01 18:00:22,Senegal,Dakar,Africa,30.71,30.08,30.71,75.0,37.71,10000.0,0.0,20.0,3.09,0.0,280.0,1012.0,1,801,Clouds,few clouds,02d
2025-11-02 00:00:14,2025-11-02 00:00:14,Senegal,Dakar,Africa,28.48,28.08,28.48,85.0,34.29,10000.0,0.0,0.0,2.06,0.0,240.0,1013.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:19,2025-11-02 06:00:19,Senegal,Dakar,Africa,27.37,27.37,28.08,86.0,31.3,10000.0,0.0,40.0,2.06,0.0,210.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-11-02 12:00:18,2025-11-02 12:00:18,Senegal,Dakar,Africa,31.26,30.08,31.26,76.0,38.26,10000.0,0.0,20.0,3.09,0.0,270.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-02 18:00:17,2025-11-02 18:00:17,Senegal,Dakar,Africa,30.71,30.08,30.71,79.0,37.71,10000.0,0.0,20.0,3.09,0.0,280.0,1011.0,1,801,Clouds,few clouds,02d
2025-11-03 00:00:12,2025-11-03 00:00:12,Senegal,Dakar,Africa,28.48,28.08,28.48,89.0,35.1,10000.0,0.0,0.0,2.06,0.0,290.0,1012.0,0,800,Clear,clear sky,01n
2025-11-03 06:00:17,2025-11-03 06:00:17,Senegal,Dakar,Africa,27.37,27.37,27.37,91.0,31.94,10000.0,0.0,3.0,4.6,5.07,304.0,1011.0,0,800,Clear,clear sky,01n
2025-11-03 12:00:22,2025-11-03 12:00:22,Senegal,Dakar,Africa,31.82,31.82,32.08,72.0,38.82,10000.0,0.0,0.0,4.12,0.0,340.0,1012.0,1,800,Clear,clear sky,01d
2025-11-03 18:00:17,2025-11-03 18:00:17,Senegal,Dakar,Africa,30.71,30.08,30.71,79.0,37.71,10000.0,0.0,20.0,3.09,0.0,280.0,1011.0,1,801,Clouds,few clouds,02d
2025-11-04 00:00:17,2025-11-04 00:00:17,Senegal,Dakar,Africa,29.59,28.08,29.59,86.0,36.59,10000.0,0.0,0.0,0.0,0.0,0.0,1012.0,0,800,Clear,clear sky,01n
2025-11-04 06:00:15,2025-11-04 06:00:15,Senegal,Dakar,Africa,28.48,28.08,28.48,89.0,35.1,10000.0,0.0,40.0,2.06,0.0,230.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-04 12:00:22,2025-11-04 12:00:22,Senegal,Dakar,Africa,32.08,32.08,32.08,70.0,39.08,10000.0,0.0,0.0,3.09,0.0,280.0,1013.0,1,800,Clear,clear sky,01d
2025-11-04 18:00:18,2025-11-04 18:00:18,Senegal,Dakar,Africa,31.26,31.26,32.08,72.0,38.26,10000.0,0.0,0.0,3.09,0.0,230.0,1012.0,1,800,Clear,clear sky,01d
2025-11-05 00:00:14,2025-11-05 00:00:14,Senegal,Dakar,Africa,29.04,29.04,29.08,84.0,35.76,10000.0,0.0,40.0,4.12,0.0,180.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-05 06:00:19,2025-11-05 06:00:19,Senegal,Dakar,Africa,27.37,27.37,28.08,88.0,31.55,10000.0,0.0,0.0,1.03,0.0,0.0,1013.0,0,800,Clear,clear sky,01n
2025-11-05 12:00:20,2025-11-05 12:00:20,Senegal,Dakar,Africa,31.82,31.08,31.82,72.0,38.82,10000.0,0.0,20.0,3.09,0.0,280.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-05 18:00:20,2025-11-05 18:00:20,Senegal,Dakar,Africa,31.82,31.08,31.82,71.0,38.82,10000.0,0.0,20.0,3.09,0.0,260.0,1011.0,1,801,Clouds,few clouds,02d
2025-11-06 00:00:33,2025-11-06 00:00:33,Senegal,Dakar,Africa,28.48,28.08,28.48,81.0,33.52,10000.0,0.0,0.0,1.03,0.0,0.0,1013.0,0,800,Clear,clear sky,01n
2025-11-06 06:00:22,2025-11-06 06:00:22,Senegal,Dakar,Africa,26.82,25.08,26.82,83.0,29.6,10000.0,0.0,20.0,1.03,0.0,0.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-06 12:00:23,2025-11-06 12:00:23,Senegal,Dakar,Africa,32.37,31.08,32.37,63.0,38.95,10000.0,0.0,0.0,2.06,0.0,260.0,1012.0,1,800,Clear,clear sky,01d
2025-11-06 18:00:14,2025-11-06 18:00:14,Senegal,Dakar,Africa,30.15,30.15,31.08,75.0,36.71,10000.0,0.0,20.0,5.14,0.0,320.0,1009.0,1,801,Clouds,few clouds,02d
2025-11-07 00:00:19,2025-11-07 00:00:19,Senegal,Dakar,Africa,28.48,28.08,28.48,86.0,34.48,10000.0,0.0,20.0,1.03,0.0,0.0,1011.0,0,801,Clouds,few clouds,02n
2025-11-07 06:00:16,2025-11-07 06:00:16,Senegal,Dakar,Africa,27.37,27.08,27.37,88.0,31.55,10000.0,0.0,75.0,3.09,0.0,310.0,1010.0,0,803,Clouds,broken clouds,04n
2025-11-07 12:00:21,2025-11-07 12:00:21,Senegal,Dakar,Africa,30.71,30.08,30.71,75.0,37.71,10000.0,0.0,40.0,2.06,0.0,320.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-11-07 18:00:17,2025-11-07 18:00:17,Senegal,Dakar,Africa,30.15,30.15,31.08,77.0,37.15,10000.0,0.0,20.0,3.09,0.0,200.0,1010.0,1,801,Clouds,few clouds,02d
2025-11-08 00:00:13,2025-11-08 00:00:13,Senegal,Dakar,Africa,29.04,29.04,29.08,81.0,35.07,10000.0,0.0,0.0,1.03,0.0,0.0,1013.0,0,800,Clear,clear sky,01n
2025-11-08 06:00:19,2025-11-08 06:00:19,Senegal,Dakar,Africa,27.93,27.93,28.08,86.0,32.86,10000.0,0.0,20.0,2.06,0.0,260.0,1011.0,0,801,Clouds,few clouds,02n
2025-11-08 12:00:20,2025-11-08 12:00:20,Senegal,Dakar,Africa,29.59,29.59,30.08,78.0,35.93,10000.0,0.0,0.0,4.12,0.0,330.0,1013.0,1,800,Clear,clear sky,01d
2025-11-08 18:02:08,2025-11-08 18:02:08,Senegal,Dakar,Africa,29.59,29.08,29.59,75.0,35.2,10000.0,0.0,0.0,2.06,0.0,340.0,1011.0,1,800,Clear,clear sky,01d
2025-11-09 00:00:13,2025-11-09 00:00:13,Senegal,Dakar,Africa,27.93,27.93,28.08,84.0,32.54,10000.0,0.0,20.0,3.09,0.0,220.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-09 06:00:17,2025-11-09 06:00:17,Senegal,Dakar,Africa,27.37,27.37,27.37,81.0,30.7,10000.0,0.0,92.0,5.54,5.5,352.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-09 12:00:19,2025-11-09 12:00:19,Senegal,Dakar,Africa,29.59,29.08,29.59,76.0,35.44,10000.0,0.0,40.0,4.12,0.0,320.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-11-09 18:00:14,2025-11-09 18:00:14,Senegal,Dakar,Africa,29.04,29.04,29.08,75.0,33.79,10000.0,0.0,40.0,5.14,0.0,320.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-10 00:00:19,2025-11-10 00:00:19,Senegal,Dakar,Africa,28.48,28.08,28.48,79.0,33.15,10000.0,0.0,0.0,4.12,0.0,340.0,1013.0,0,800,Clear,clear sky,01n
2025-11-10 06:00:19,2025-11-10 06:00:19,Senegal,Dakar,Africa,27.93,27.93,28.08,78.0,31.63,10000.0,0.0,0.0,4.12,0.0,340.0,1012.0,0,800,Clear,clear sky,01n
2025-11-10 12:00:20,2025-11-10 12:00:20,Senegal,Dakar,Africa,29.59,29.59,30.08,78.0,35.93,10000.0,0.0,0.0,4.12,0.0,350.0,1013.0,1,800,Clear,clear sky,01d
