utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:13,2025-11-01 01:00:13,Slovakia,Bratislava,Europe,10.34,9.26,11.46,81.0,9.54,10000.0,0.0,20.0,4.12,0.0,20.0,1019.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:19,2025-11-01 07:00:19,Slovakia,Bratislava,Europe,9.56,7.6,9.84,89.0,7.93,10000.0,0.0,40.0,3.09,0.0,40.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-11-01 12:00:16,2025-11-01 13:00:16,Slovakia,Bratislava,Europe,19.33,18.84,20.38,66.0,19.04,10000.0,0.0,20.0,6.17,0.0,140.0,1017.0,1,801,Clouds,few clouds,02d
2025-11-01 18:00:22,2025-11-01 19:00:22,Slovakia,Bratislava,Europe,17.15,16.49,17.67,72.0,16.8,10000.0,0.0,75.0,5.14,0.0,110.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:15,2025-11-02 01:00:15,Slovakia,Bratislava,Europe,10.93,9.82,11.54,91.0,10.45,10000.0,0.0,0.0,2.06,0.0,20.0,1016.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:20,2025-11-02 07:00:20,Slovakia,Bratislava,Europe,10.64,7.84,11.0,88.0,10.06,8000.0,0.0,96.0,1.54,0.0,10.0,1015.0,1,741,Fog,fog,50d
2025-11-02 12:00:18,2025-11-02 13:00:18,Slovakia,Bratislava,Europe,15.39,14.84,17.01,81.0,15.1,10000.0,0.0,40.0,4.12,0.0,40.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:17,2025-11-02 19:00:17,Slovakia,Bratislava,Europe,14.19,13.12,14.86,84.0,13.86,10000.0,0.0,75.0,3.6,0.0,10.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-03 00:00:12,2025-11-03 01:00:12,Slovakia,Bratislava,Europe,11.76,11.56,12.04,83.0,11.16,10000.0,0.0,75.0,8.75,0.0,270.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:17,2025-11-03 07:00:17,Slovakia,Bratislava,Europe,9.53,8.76,9.89,92.0,7.62,10000.0,7.49,75.0,3.6,0.0,280.0,1016.0,1,502,Rain,heavy intensity rain,10d
2025-11-03 12:00:22,2025-11-03 13:00:22,Slovakia,Bratislava,Europe,11.08,10.43,12.01,76.0,10.23,10000.0,0.0,75.0,5.66,0.0,300.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:17,2025-11-03 19:00:17,Slovakia,Bratislava,Europe,14.19,13.12,14.86,84.0,13.86,10000.0,0.0,75.0,3.6,0.0,10.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-04 00:00:17,2025-11-04 01:00:17,Slovakia,Bratislava,Europe,4.97,4.32,5.9,85.0,2.81,10000.0,0.0,0.0,2.57,0.0,210.0,1026.0,0,800,Clear,clear sky,01n
2025-11-04 06:00:15,2025-11-04 07:00:15,Slovakia,Bratislava,Europe,4.4,3.71,4.87,93.0,4.4,10000.0,0.0,20.0,1.03,0.0,0.0,1027.0,1,801,Clouds,few clouds,02d
2025-11-04 12:00:22,2025-11-04 13:00:22,Slovakia,Bratislava,Europe,13.62,12.65,14.33,61.0,12.63,10000.0,0.0,20.0,3.6,0.0,270.0,1026.0,1,801,Clouds,few clouds,02d
2025-11-04 18:00:18,2025-11-04 19:00:18,Slovakia,Bratislava,Europe,8.87,8.12,9.84,81.0,8.32,10000.0,0.0,0.0,1.54,0.0,340.0,1026.0,0,800,Clear,clear sky,01n
2025-11-05 00:00:14,2025-11-05 01:00:14,Slovakia,Bratislava,Europe,7.58,4.84,7.67,84.0,5.55,10000.0,0.0,0.0,3.09,0.0,20.0,1027.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:19,2025-11-05 07:00:19,Slovakia,Bratislava,Europe,6.56,5.99,6.56,84.0,4.71,10000.0,0.0,8.0,2.55,3.18,99.0,1026.0,1,800,Clear,clear sky,01d
2025-11-05 12:00:21,2025-11-05 13:00:21,Slovakia,Bratislava,Europe,13.4,12.65,14.33,65.0,12.49,10000.0,0.0,0.0,3.6,0.0,100.0,1025.0,1,800,Clear,clear sky,01d
2025-11-05 18:00:21,2025-11-05 19:00:21,Slovakia,Bratislava,Europe,7.31,6.84,9.23,82.0,5.58,10000.0,0.0,0.0,2.57,0.0,80.0,1023.0,0,800,Clear,clear sky,01n
2025-11-06 00:00:33,2025-11-06 01:00:33,Slovakia,Bratislava,Europe,5.65,3.71,7.11,88.0,4.07,10000.0,0.0,0.0,2.06,0.0,10.0,1022.0,0,800,Clear,clear sky,01n
2025-11-06 06:00:22,2025-11-06 07:00:22,Slovakia,Bratislava,Europe,4.98,1.84,6.54,87.0,2.42,7000.0,0.0,20.0,3.09,0.0,20.0,1021.0,1,741,Fog,fog,50d
2025-11-06 12:00:24,2025-11-06 13:00:24,Slovakia,Bratislava,Europe,13.46,12.65,14.33,66.0,12.58,10000.0,0.0,20.0,5.14,0.0,130.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-06 18:00:14,2025-11-06 19:00:14,Slovakia,Bratislava,Europe,9.23,8.15,9.87,81.0,6.95,10000.0,0.0,0.0,4.22,11.62,133.0,1018.0,0,800,Clear,clear sky,01n
2025-11-07 00:00:19,2025-11-07 01:00:19,Slovakia,Bratislava,Europe,5.42,3.81,7.08,87.0,3.8,10000.0,0.0,0.0,2.06,0.0,30.0,1018.0,0,800,Clear,clear sky,01n
2025-11-07 06:00:16,2025-11-07 07:00:16,Slovakia,Bratislava,Europe,4.81,3.15,4.89,87.0,1.81,10000.0,0.0,0.0,3.7,10.4,129.0,1018.0,1,800,Clear,clear sky,01d
2025-11-07 12:00:21,2025-11-07 13:00:21,Slovakia,Bratislava,Europe,12.81,11.84,13.78,67.0,11.9,10000.0,0.0,20.0,6.69,0.0,150.0,1017.0,1,801,Clouds,few clouds,02d
2025-11-07 18:00:17,2025-11-07 19:00:17,Slovakia,Bratislava,Europe,7.42,5.38,8.76,86.0,6.13,10000.0,0.0,20.0,2.06,0.0,130.0,1017.0,0,801,Clouds,few clouds,02n
2025-11-08 00:00:14,2025-11-08 01:00:14,Slovakia,Bratislava,Europe,6.57,4.2,7.08,85.0,4.99,10000.0,0.0,4.0,2.23,2.39,111.0,1016.0,0,800,Clear,clear sky,01n
2025-11-08 06:00:19,2025-11-08 07:00:19,Slovakia,Bratislava,Europe,7.11,7.11,7.65,81.0,5.67,10000.0,0.0,54.0,2.17,3.5,86.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-08 12:00:20,2025-11-08 13:00:20,Slovakia,Bratislava,Europe,9.01,8.68,9.32,87.0,6.73,10000.0,4.86,75.0,4.12,0.0,40.0,1015.0,1,502,Rain,heavy intensity rain,10d
2025-11-08 18:02:08,2025-11-08 19:02:08,Slovakia,Bratislava,Europe,7.94,6.46,8.21,96.0,7.25,6000.0,0.0,75.0,1.54,0.0,30.0,1015.0,0,803,Clouds,broken clouds,04n
2025-11-09 00:00:13,2025-11-09 01:00:13,Slovakia,Bratislava,Europe,7.57,7.01,7.84,94.0,7.57,6000.0,0.0,40.0,0.51,0.0,0.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-11-09 06:00:17,2025-11-09 07:00:17,Slovakia,Bratislava,Europe,6.62,5.93,6.84,89.0,6.62,10000.0,0.0,75.0,1.03,0.0,0.0,1017.0,1,741,Fog,fog,50d
2025-11-09 12:00:19,2025-11-09 13:00:19,Slovakia,Bratislava,Europe,10.26,9.79,10.97,76.0,9.33,10000.0,0.0,40.0,4.12,0.0,250.0,1017.0,1,802,Clouds,scattered clouds,03d
