utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:14,2025-11-01 11:00:14,Solomon Islands,Honiara,Oceania,31.13,31.13,31.13,60.0,35.12,10000.0,0.0,61.0,3.36,3.9,45.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-01 06:00:19,2025-11-01 17:00:19,Solomon Islands,Honiara,Oceania,29.18,29.18,29.18,70.0,33.12,10000.0,0.0,85.0,1.64,2.44,20.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:16,2025-11-01 23:00:16,Solomon Islands,Honiara,Oceania,25.41,25.41,25.41,89.0,26.33,10000.0,0.0,23.0,1.81,2.21,123.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-01 18:00:23,2025-11-02 05:00:23,Solomon Islands,Honiara,Oceania,24.56,24.56,24.56,88.0,25.37,10000.0,0.0,19.0,1.72,2.05,159.0,1011.0,0,801,Clouds,few clouds,02n
2025-11-02 00:00:15,2025-11-02 11:00:15,Solomon Islands,Honiara,Oceania,31.48,31.48,31.48,60.0,35.89,10000.0,0.0,7.0,3.7,4.55,49.0,1011.0,1,800,Clear,clear sky,01d
2025-11-02 06:00:20,2025-11-02 17:00:20,Solomon Islands,Honiara,Oceania,27.47,27.47,27.47,83.0,31.19,10000.0,0.0,62.0,0.7,1.71,65.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:18,2025-11-02 23:00:18,Solomon Islands,Honiara,Oceania,25.12,25.12,25.12,90.0,26.04,10000.0,0.0,6.0,1.6,1.98,142.0,1011.0,0,800,Clear,clear sky,01n
2025-11-02 18:00:17,2025-11-03 05:00:17,Solomon Islands,Honiara,Oceania,24.46,24.46,24.46,89.0,25.29,10000.0,0.0,19.0,2.09,2.29,140.0,1009.0,0,801,Clouds,few clouds,02n
2025-11-03 00:00:12,2025-11-03 11:00:12,Solomon Islands,Honiara,Oceania,31.52,31.52,31.52,55.0,34.67,10000.0,0.0,10.0,2.79,3.15,23.0,1010.0,1,800,Clear,clear sky,01d
2025-11-03 06:00:17,2025-11-03 17:00:17,Solomon Islands,Honiara,Oceania,28.23,28.23,28.23,77.0,32.19,10000.0,0.0,69.0,0.82,1.91,36.0,1008.0,1,803,Clouds,broken clouds,04d
2025-11-03 12:00:23,2025-11-03 23:00:23,Solomon Islands,Honiara,Oceania,25.76,25.76,25.76,88.0,26.69,10000.0,0.0,100.0,1.45,1.77,156.0,1010.0,0,804,Clouds,overcast clouds,04n
2025-11-03 18:00:17,2025-11-04 05:00:17,Solomon Islands,Honiara,Oceania,24.46,24.46,24.46,89.0,25.29,10000.0,0.0,19.0,2.09,2.29,140.0,1009.0,0,801,Clouds,few clouds,02n
2025-11-04 00:00:17,2025-11-04 11:00:17,Solomon Islands,Honiara,Oceania,29.81,29.81,29.81,68.0,34.13,10000.0,0.0,98.0,2.42,2.59,23.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-04 06:00:15,2025-11-04 17:00:15,Solomon Islands,Honiara,Oceania,27.83,27.83,27.83,82.0,31.97,10000.0,0.0,100.0,0.77,1.09,8.0,1008.0,1,804,Clouds,overcast clouds,04d
2025-11-04 12:00:22,2025-11-04 23:00:22,Solomon Islands,Honiara,Oceania,25.19,25.19,25.19,90.0,26.11,10000.0,0.0,100.0,1.66,1.77,186.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-04 18:00:18,2025-11-05 05:00:18,Solomon Islands,Honiara,Oceania,24.8,24.8,24.8,89.0,25.66,10000.0,0.0,89.0,0.72,0.59,186.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-11-05 00:00:15,2025-11-05 11:00:15,Solomon Islands,Honiara,Oceania,30.55,30.55,30.55,66.0,35.36,10000.0,0.0,75.0,2.37,1.25,340.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-05 06:00:19,2025-11-05 17:00:19,Solomon Islands,Honiara,Oceania,27.74,27.74,27.74,82.0,31.74,10000.0,0.0,99.0,1.02,0.61,360.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-11-05 12:00:21,2025-11-05 23:00:21,Solomon Islands,Honiara,Oceania,25.42,25.42,25.42,89.0,26.34,10000.0,0.0,100.0,0.93,0.83,154.0,1010.0,0,804,Clouds,overcast clouds,04n
2025-11-05 18:00:21,2025-11-06 05:00:21,Solomon Islands,Honiara,Oceania,24.32,24.32,24.32,89.0,25.13,10000.0,0.0,100.0,0.99,0.77,181.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-11-06 00:00:33,2025-11-06 11:00:33,Solomon Islands,Honiara,Oceania,30.59,30.59,30.59,64.0,34.95,10000.0,0.0,74.0,2.44,1.7,6.0,1009.0,1,803,Clouds,broken clouds,04d
