utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:14,2025-11-01 02:00:14,South Sudan,Juba,Africa,21.41,21.41,21.41,95.0,22.09,10000.0,0.74,100.0,1.46,4.81,233.0,1012.0,0,500,Rain,light rain,10n
2025-11-01 06:00:20,2025-11-01 08:00:20,South Sudan,Juba,Africa,24.51,24.51,24.51,78.0,25.05,10000.0,0.0,100.0,2.49,3.55,188.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:16,2025-11-01 14:00:16,South Sudan,Juba,Africa,30.33,30.33,30.33,55.0,32.45,10000.0,0.13,100.0,2.17,2.75,18.0,1009.0,1,500,Rain,light rain,10d
2025-11-01 18:00:23,2025-11-01 20:00:23,South Sudan,Juba,Africa,23.69,23.69,23.69,85.0,24.33,10000.0,0.11,98.0,2.03,4.99,161.0,1012.0,0,500,Rain,light rain,10n
2025-11-02 00:00:15,2025-11-02 02:00:15,South Sudan,Juba,Africa,22.52,22.52,22.52,90.0,23.18,10000.0,0.0,100.0,1.63,3.7,206.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:20,2025-11-02 08:00:20,South Sudan,Juba,Africa,23.03,23.03,23.03,86.0,23.63,10000.0,0.21,100.0,1.65,3.44,156.0,1014.0,1,500,Rain,light rain,10d
2025-11-02 12:00:19,2025-11-02 14:00:19,South Sudan,Juba,Africa,31.79,31.79,31.79,49.0,33.75,10000.0,0.0,99.0,1.06,2.49,70.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-11-02 18:00:17,2025-11-02 20:00:17,South Sudan,Juba,Africa,24.83,24.83,24.83,75.0,25.33,10000.0,0.19,91.0,0.38,1.15,18.0,1012.0,0,500,Rain,light rain,10n
2025-11-03 00:00:13,2025-11-03 02:00:13,South Sudan,Juba,Africa,22.33,22.33,22.33,88.0,22.92,10000.0,0.0,100.0,1.25,2.48,222.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:17,2025-11-03 08:00:17,South Sudan,Juba,Africa,25.73,25.73,25.73,71.0,26.21,10000.0,0.0,90.0,1.14,1.6,159.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:23,2025-11-03 14:00:23,South Sudan,Juba,Africa,30.37,30.37,30.37,54.0,32.33,10000.0,0.0,91.0,1.85,2.91,83.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-03 18:00:17,2025-11-03 20:00:17,South Sudan,Juba,Africa,24.83,24.83,24.83,75.0,25.33,10000.0,0.19,91.0,0.38,1.15,18.0,1012.0,0,500,Rain,light rain,10n
2025-11-04 00:00:18,2025-11-04 02:00:18,South Sudan,Juba,Africa,23.05,23.05,23.05,85.0,23.63,10000.0,0.0,13.0,1.0,1.21,303.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:15,2025-11-04 08:00:15,South Sudan,Juba,Africa,26.58,26.58,26.58,68.0,26.58,10000.0,0.0,41.0,2.1,4.59,50.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-04 12:00:23,2025-11-04 14:00:23,South Sudan,Juba,Africa,34.47,34.47,34.47,34.0,34.75,10000.0,0.0,56.0,2.95,5.58,102.0,1008.0,1,803,Clouds,broken clouds,04d
2025-11-04 18:00:19,2025-11-04 20:00:19,South Sudan,Juba,Africa,27.66,27.66,27.66,55.0,28.5,10000.0,0.0,42.0,0.59,1.02,98.0,1010.0,0,802,Clouds,scattered clouds,03n
2025-11-05 00:00:15,2025-11-05 02:00:15,South Sudan,Juba,Africa,23.81,23.81,23.81,71.0,24.1,10000.0,0.0,18.0,0.28,0.59,316.0,1010.0,0,801,Clouds,few clouds,02n
2025-11-05 06:00:20,2025-11-05 08:00:20,South Sudan,Juba,Africa,27.96,27.96,27.96,58.0,29.18,10000.0,0.0,29.0,0.85,2.11,133.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-05 12:00:21,2025-11-05 14:00:21,South Sudan,Juba,Africa,35.88,35.88,35.88,32.0,36.48,10000.0,0.0,48.0,0.98,2.75,150.0,1008.0,1,802,Clouds,scattered clouds,03d
2025-11-05 18:00:21,2025-11-05 20:00:21,South Sudan,Juba,Africa,27.32,27.32,27.32,52.0,27.87,10000.0,0.0,55.0,0.59,1.08,154.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-06 00:00:34,2025-11-06 02:00:34,South Sudan,Juba,Africa,23.23,23.23,23.23,79.0,23.67,10000.0,0.11,41.0,0.99,1.19,273.0,1010.0,0,500,Rain,light rain,10n
2025-11-06 06:00:23,2025-11-06 08:00:23,South Sudan,Juba,Africa,26.49,26.49,26.49,68.0,26.49,10000.0,0.0,59.0,1.09,1.2,174.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-06 12:00:24,2025-11-06 14:00:24,South Sudan,Juba,Africa,35.04,35.04,35.04,34.0,35.64,10000.0,0.0,64.0,2.24,3.14,52.0,1006.0,1,803,Clouds,broken clouds,04d
2025-11-06 18:00:15,2025-11-06 20:00:15,South Sudan,Juba,Africa,26.3,26.3,26.3,63.0,26.3,10000.0,0.0,85.0,0.94,1.31,246.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-11-07 00:00:20,2025-11-07 02:00:20,South Sudan,Juba,Africa,23.44,23.44,23.44,76.0,23.82,10000.0,0.0,91.0,1.12,1.15,163.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-11-07 06:00:17,2025-11-07 08:00:17,South Sudan,Juba,Africa,27.67,27.67,27.67,58.0,28.78,10000.0,0.0,33.0,1.32,1.95,158.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-11-07 12:00:21,2025-11-07 14:00:21,South Sudan,Juba,Africa,35.65,35.65,35.65,29.0,35.4,10000.0,0.0,17.0,3.79,4.89,56.0,1005.0,1,801,Clouds,few clouds,02d
2025-11-07 18:00:18,2025-11-07 20:00:18,South Sudan,Juba,Africa,27.23,27.23,27.23,57.0,28.14,10000.0,0.0,73.0,1.32,1.41,88.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-08 00:00:14,2025-11-08 02:00:14,South Sudan,Juba,Africa,23.45,23.45,23.45,78.0,23.89,10000.0,0.0,51.0,1.09,1.25,150.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-08 06:00:20,2025-11-08 08:00:20,South Sudan,Juba,Africa,26.2,26.2,26.2,68.0,26.2,10000.0,0.0,44.0,2.66,3.89,168.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-08 12:00:20,2025-11-08 14:00:20,South Sudan,Juba,Africa,32.55,32.55,32.55,42.0,33.5,10000.0,0.0,75.0,1.78,3.06,117.0,1006.0,1,803,Clouds,broken clouds,04d
2025-11-08 18:02:09,2025-11-08 20:02:09,South Sudan,Juba,Africa,23.55,23.55,23.55,83.0,24.13,10000.0,0.16,100.0,2.06,4.85,265.0,1011.0,0,500,Rain,light rain,10n
2025-11-09 00:00:13,2025-11-09 02:00:13,South Sudan,Juba,Africa,23.01,23.01,23.01,82.0,23.51,10000.0,0.0,98.0,0.67,0.9,288.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-09 06:00:18,2025-11-09 08:00:18,South Sudan,Juba,Africa,26.63,26.63,26.63,66.0,26.63,10000.0,0.0,82.0,1.98,3.0,159.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-09 12:00:20,2025-11-09 14:00:20,South Sudan,Juba,Africa,34.52,34.52,34.52,33.0,34.61,10000.0,0.0,82.0,2.78,4.93,92.0,1007.0,1,803,Clouds,broken clouds,04d
2025-11-09 18:00:14,2025-11-09 20:00:14,South Sudan,Juba,Africa,27.0,27.0,27.0,59.0,28.01,10000.0,0.0,94.0,1.63,3.32,250.0,1010.0,0,804,Clouds,overcast clouds,04n
