utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:14,2025-11-01 05:30:14,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.58,25.58,25.58,83.0,26.36,10000.0,0.0,98.0,1.2,1.17,144.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-01 06:00:20,2025-11-01 11:30:20,Sri Lanka,Sri Jayawardenepura Kotte,Asia,29.92,29.92,29.92,65.0,33.71,10000.0,0.0,81.0,3.35,2.6,246.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-01 12:00:17,2025-11-01 17:30:17,Sri Lanka,Sri Jayawardenepura Kotte,Asia,27.77,27.77,27.77,78.0,31.26,10000.0,0.0,49.0,4.05,5.64,253.0,1010.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:23,2025-11-01 23:30:23,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.23,26.23,26.23,81.0,26.23,10000.0,0.0,65.0,1.75,1.99,252.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:15,2025-11-02 05:30:15,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.62,25.62,25.62,85.0,26.46,10000.0,0.0,96.0,1.48,2.51,239.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:20,2025-11-02 11:30:20,Sri Lanka,Sri Jayawardenepura Kotte,Asia,28.55,28.55,28.55,70.0,31.77,10000.0,0.0,59.0,4.54,4.3,254.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:19,2025-11-02 17:30:19,Sri Lanka,Sri Jayawardenepura Kotte,Asia,27.52,27.52,27.52,77.0,30.56,10000.0,0.0,50.0,5.34,6.93,271.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:17,2025-11-02 23:30:17,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.35,26.35,26.35,75.0,26.35,10000.0,0.0,62.0,2.68,3.05,255.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-03 00:00:13,2025-11-03 05:30:13,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.43,26.43,26.43,77.0,26.43,10000.0,0.0,100.0,2.45,2.93,233.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:17,2025-11-03 11:30:17,Sri Lanka,Sri Jayawardenepura Kotte,Asia,28.34,28.34,28.34,71.0,31.49,10000.0,0.0,100.0,3.2,3.61,245.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:23,2025-11-03 17:30:23,Sri Lanka,Sri Jayawardenepura Kotte,Asia,27.44,27.44,27.44,79.0,30.62,10000.0,0.0,84.0,4.9,6.68,265.0,1011.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:17,2025-11-03 23:30:17,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.35,26.35,26.35,75.0,26.35,10000.0,0.0,62.0,2.68,3.05,255.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-04 00:00:18,2025-11-04 05:30:18,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.79,26.79,26.79,79.0,29.2,10000.0,0.0,100.0,2.65,3.16,265.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-04 06:00:15,2025-11-04 11:30:15,Sri Lanka,Sri Jayawardenepura Kotte,Asia,28.98,28.98,28.98,70.0,32.68,10000.0,0.0,96.0,6.66,6.54,266.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-04 12:00:23,2025-11-04 17:30:23,Sri Lanka,Sri Jayawardenepura Kotte,Asia,27.43,27.43,27.43,74.0,30.03,10000.0,0.0,91.0,5.46,8.0,266.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-11-04 18:00:19,2025-11-04 23:30:19,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.44,26.44,26.44,76.0,26.44,10000.0,0.0,93.0,4.71,5.86,241.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-05 00:00:15,2025-11-05 05:30:15,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.14,26.14,26.14,77.0,26.14,10000.0,0.0,81.0,4.64,5.66,244.0,1010.0,0,803,Clouds,broken clouds,04n
2025-11-05 06:00:20,2025-11-05 11:30:20,Sri Lanka,Sri Jayawardenepura Kotte,Asia,28.67,28.67,28.67,67.0,31.53,10000.0,0.0,73.0,6.09,6.51,253.0,1011.0,1,803,Clouds,broken clouds,04d
2025-11-05 12:00:21,2025-11-05 17:30:21,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.86,26.86,26.86,77.0,29.18,10000.0,0.0,87.0,6.39,9.3,259.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-11-05 18:00:21,2025-11-05 23:30:21,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.81,25.81,25.81,84.0,26.64,7840.0,0.0,88.0,5.53,6.89,255.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-06 00:00:34,2025-11-06 05:30:34,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.4,25.4,25.4,86.0,26.24,4707.0,0.13,80.0,4.87,6.01,256.0,1011.0,0,500,Rain,light rain,10n
2025-11-06 06:00:23,2025-11-06 11:30:23,Sri Lanka,Sri Jayawardenepura Kotte,Asia,27.72,27.72,27.72,78.0,31.14,10000.0,0.0,74.0,5.79,7.15,267.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-06 12:00:25,2025-11-06 17:30:25,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.55,26.55,26.55,81.0,26.55,8906.0,0.0,88.0,5.62,8.33,270.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-06 18:00:15,2025-11-06 23:30:15,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.79,25.79,25.79,86.0,26.67,3002.0,0.0,100.0,2.56,2.98,272.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-07 00:00:20,2025-11-07 05:30:20,Sri Lanka,Sri Jayawardenepura Kotte,Asia,24.77,24.77,24.77,91.0,25.68,6931.0,0.13,95.0,2.8,4.04,249.0,1011.0,0,500,Rain,light rain,10n
2025-11-07 06:00:17,2025-11-07 11:30:17,Sri Lanka,Sri Jayawardenepura Kotte,Asia,28.22,28.22,28.22,70.0,31.1,10000.0,0.0,78.0,4.7,5.18,281.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-07 12:00:22,2025-11-07 17:30:22,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.35,26.35,26.35,84.0,26.35,8317.0,0.0,89.0,3.86,5.72,285.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-07 18:00:18,2025-11-07 23:30:18,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.32,25.32,25.32,88.0,26.21,10000.0,0.0,71.0,1.64,2.09,290.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-08 00:00:14,2025-11-08 05:30:14,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.13,25.13,25.13,85.0,25.92,10000.0,0.0,91.0,1.56,2.25,297.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-08 06:00:20,2025-11-08 11:30:20,Sri Lanka,Sri Jayawardenepura Kotte,Asia,28.24,28.24,28.24,74.0,31.74,10000.0,0.0,98.0,2.91,3.12,259.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-08 12:00:21,2025-11-08 17:30:21,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.83,26.83,26.83,79.0,29.28,10000.0,0.32,92.0,2.43,2.74,287.0,1010.0,1,500,Rain,light rain,10d
2025-11-08 18:02:09,2025-11-08 23:32:09,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.07,25.07,25.07,87.0,25.9,10000.0,0.0,91.0,2.53,2.95,1.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-09 00:00:14,2025-11-09 05:30:14,Sri Lanka,Sri Jayawardenepura Kotte,Asia,24.51,24.51,24.51,86.0,25.26,10000.0,0.0,30.0,1.25,1.5,43.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-09 06:00:18,2025-11-09 11:30:18,Sri Lanka,Sri Jayawardenepura Kotte,Asia,29.42,29.42,29.42,63.0,32.3,10000.0,0.0,21.0,3.89,4.28,318.0,1012.0,1,801,Clouds,few clouds,02d
2025-11-09 12:00:20,2025-11-09 17:30:20,Sri Lanka,Sri Jayawardenepura Kotte,Asia,27.04,27.04,27.04,76.0,29.45,10000.0,0.0,60.0,4.03,6.25,297.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-09 18:00:15,2025-11-09 23:30:15,Sri Lanka,Sri Jayawardenepura Kotte,Asia,25.51,25.51,25.51,79.0,26.18,10000.0,0.0,94.0,0.78,1.36,357.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-10 00:00:20,2025-11-10 05:30:20,Sri Lanka,Sri Jayawardenepura Kotte,Asia,24.85,24.85,24.85,82.0,25.53,10000.0,0.0,89.0,1.11,1.53,132.0,1010.0,0,804,Clouds,overcast clouds,04n
2025-11-10 06:00:19,2025-11-10 11:30:19,Sri Lanka,Sri Jayawardenepura Kotte,Asia,29.41,29.41,29.41,63.0,32.28,10000.0,0.0,58.0,3.34,2.93,254.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-10 12:00:21,2025-11-10 17:30:21,Sri Lanka,Sri Jayawardenepura Kotte,Asia,26.5,26.5,26.5,79.0,26.5,10000.0,0.0,88.0,4.2,6.12,256.0,1011.0,1,804,Clouds,overcast clouds,04d
