utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:15,2025-10-31 21:00:15,Suriname,Paramaribo,South America,27.99,27.99,27.99,83.0,32.54,10000.0,0.0,20.0,0.0,0.0,0.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:20,2025-11-01 03:00:20,Suriname,Paramaribo,South America,25.99,25.99,25.99,86.0,25.99,10000.0,0.0,60.0,4.44,7.68,67.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-01 12:00:17,2025-11-01 09:00:17,Suriname,Paramaribo,South America,26.94,26.94,26.94,86.0,30.17,10000.0,0.0,45.0,4.64,8.38,74.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:24,2025-11-01 15:00:24,Suriname,Paramaribo,South America,30.99,30.99,30.99,66.0,36.41,10000.0,0.0,40.0,3.6,0.0,120.0,1010.0,1,802,Clouds,scattered clouds,03d
2025-11-02 00:00:15,2025-11-01 21:00:15,Suriname,Paramaribo,South America,25.85,25.85,25.85,84.0,26.68,10000.0,0.0,83.0,4.48,10.13,74.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:21,2025-11-02 03:00:21,Suriname,Paramaribo,South America,24.46,24.46,24.46,91.0,25.34,10000.0,0.0,58.0,4.01,6.38,80.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-02 12:00:19,2025-11-02 09:00:19,Suriname,Paramaribo,South America,25.25,25.25,25.25,89.0,26.15,10000.0,0.0,69.0,3.58,7.8,92.0,1014.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:18,2025-11-02 15:00:18,Suriname,Paramaribo,South America,27.69,27.69,27.69,84.0,31.89,10000.0,0.0,94.0,4.09,5.43,47.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-03 00:00:13,2025-11-02 21:00:13,Suriname,Paramaribo,South America,26.99,26.99,26.99,83.0,30.0,10000.0,0.0,20.0,4.12,0.0,100.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:18,2025-11-03 03:00:18,Suriname,Paramaribo,South America,24.41,24.41,24.41,94.0,25.36,10000.0,0.0,84.0,3.81,8.98,83.0,1010.0,0,803,Clouds,broken clouds,04n
2025-11-03 12:00:23,2025-11-03 09:00:23,Suriname,Paramaribo,South America,25.99,25.99,25.99,83.0,25.99,10000.0,0.0,20.0,2.57,0.0,120.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-03 18:00:18,2025-11-03 15:00:18,Suriname,Paramaribo,South America,27.69,27.69,27.69,84.0,31.89,10000.0,0.0,94.0,4.09,5.43,47.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-11-04 00:00:18,2025-11-03 21:00:18,Suriname,Paramaribo,South America,27.99,27.99,27.99,74.0,31.19,10000.0,0.0,20.0,0.0,0.0,0.0,1012.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:16,2025-11-04 03:00:16,Suriname,Paramaribo,South America,24.0,24.0,24.0,93.0,24.88,10000.0,0.0,100.0,3.48,4.54,83.0,1010.0,0,804,Clouds,overcast clouds,04n
2025-11-04 12:00:23,2025-11-04 09:00:23,Suriname,Paramaribo,South America,25.99,25.99,25.99,89.0,25.99,10000.0,0.0,20.0,0.0,0.0,0.0,1014.0,1,801,Clouds,few clouds,02d
