utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:15,2025-11-01 01:00:15,Switzerland,Bern,Europe,8.77,7.95,10.2,91.0,8.77,10000.0,0.0,40.0,1.03,0.0,0.0,1017.0,0,802,Clouds,scattered clouds,03n
2025-11-01 06:00:20,2025-11-01 07:00:20,Switzerland,Bern,Europe,6.63,5.95,8.58,72.0,6.01,10000.0,0.0,0.0,1.34,2.24,186.0,1016.0,0,800,Clear,clear sky,01n
2025-11-01 12:00:17,2025-11-01 13:00:17,Switzerland,Bern,Europe,12.22,11.25,14.52,67.0,11.25,10000.0,0.0,40.0,1.03,0.0,320.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:24,2025-11-01 19:00:24,Switzerland,Bern,Europe,12.08,11.42,13.05,68.0,11.12,10000.0,2.73,75.0,1.54,0.0,0.0,1016.0,0,501,Rain,moderate rain,10n
2025-11-02 00:00:16,2025-11-02 01:00:16,Switzerland,Bern,Europe,11.17,10.7,12.98,75.0,10.3,10000.0,6.48,75.0,1.03,0.0,110.0,1016.0,0,502,Rain,heavy intensity rain,10n
2025-11-02 06:00:21,2025-11-02 07:00:21,Switzerland,Bern,Europe,10.45,10.14,11.87,77.0,9.56,10000.0,4.21,75.0,1.79,2.68,159.0,1016.0,0,502,Rain,heavy intensity rain,10n
2025-11-02 12:00:20,2025-11-02 13:00:20,Switzerland,Bern,Europe,9.59,9.03,11.19,70.0,8.67,10000.0,0.27,75.0,2.06,0.0,180.0,1016.0,1,500,Rain,light rain,10d
2025-11-02 18:00:18,2025-11-02 19:00:18,Switzerland,Bern,Europe,9.46,7.92,10.95,64.0,7.28,10000.0,0.0,75.0,4.12,9.77,240.0,1018.0,0,803,Clouds,broken clouds,04n
2025-11-03 00:00:14,2025-11-03 01:00:14,Switzerland,Bern,Europe,5.38,4.58,6.94,74.0,5.38,10000.0,0.0,20.0,1.03,0.0,0.0,1022.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:18,2025-11-03 07:00:18,Switzerland,Bern,Europe,3.83,2.86,5.2,90.0,3.83,10000.0,0.0,100.0,0.51,0.0,190.0,1025.0,0,804,Clouds,overcast clouds,04n
2025-11-03 12:00:24,2025-11-03 13:00:24,Switzerland,Bern,Europe,11.25,10.42,13.72,66.0,10.15,10000.0,0.0,0.0,3.13,4.92,182.0,1025.0,1,800,Clear,clear sky,01d
2025-11-03 18:00:18,2025-11-03 19:00:18,Switzerland,Bern,Europe,9.46,7.92,10.95,64.0,7.28,10000.0,0.0,75.0,4.12,9.77,240.0,1018.0,0,803,Clouds,broken clouds,04n
2025-11-04 00:00:18,2025-11-04 01:00:18,Switzerland,Bern,Europe,3.76,2.42,4.72,86.0,1.37,10000.0,0.0,0.0,2.57,0.0,130.0,1027.0,0,800,Clear,clear sky,01n
2025-11-04 06:00:16,2025-11-04 07:00:16,Switzerland,Bern,Europe,1.58,0.7,3.61,78.0,1.58,10000.0,0.0,1.0,1.03,0.0,0.0,1026.0,0,800,Clear,clear sky,01n
2025-11-04 12:00:23,2025-11-04 13:00:23,Switzerland,Bern,Europe,11.56,10.08,14.13,63.0,10.42,10000.0,0.0,0.0,1.03,0.0,0.0,1023.0,1,800,Clear,clear sky,01d
2025-11-04 18:00:19,2025-11-04 19:00:19,Switzerland,Bern,Europe,7.17,5.95,8.61,85.0,7.17,10000.0,0.0,0.0,0.51,0.0,0.0,1023.0,0,800,Clear,clear sky,01n
2025-11-05 00:00:16,2025-11-05 01:00:16,Switzerland,Bern,Europe,5.25,2.42,5.27,79.0,4.3,10000.0,0.0,10.0,1.45,1.2,183.0,1024.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:20,2025-11-05 07:00:20,Switzerland,Bern,Europe,3.6,2.42,4.13,80.0,3.6,10000.0,0.0,42.0,0.65,0.68,198.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-11-05 12:00:22,2025-11-05 13:00:22,Switzerland,Bern,Europe,11.92,10.69,13.62,64.0,10.84,10000.0,0.0,0.0,2.57,0.0,150.0,1019.0,1,800,Clear,clear sky,01d
2025-11-05 18:00:22,2025-11-05 19:00:22,Switzerland,Bern,Europe,7.38,5.99,9.21,85.0,7.38,10000.0,0.0,0.0,0.0,0.0,0.0,1018.0,0,800,Clear,clear sky,01n
2025-11-06 00:00:35,2025-11-06 01:00:35,Switzerland,Bern,Europe,2.0,1.24,4.17,100.0,2.0,9000.0,0.0,80.0,0.51,0.0,0.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-06 06:00:24,2025-11-06 07:00:24,Switzerland,Bern,Europe,0.71,0.64,2.43,100.0,-0.79,10000.0,0.0,90.0,1.4,1.23,167.0,1015.0,0,804,Clouds,overcast clouds,04n
2025-11-06 12:00:26,2025-11-06 13:00:26,Switzerland,Bern,Europe,11.69,10.95,14.32,58.0,10.43,10000.0,0.0,0.0,1.03,0.0,0.0,1012.0,1,800,Clear,clear sky,01d
2025-11-06 18:00:15,2025-11-06 19:00:15,Switzerland,Bern,Europe,7.75,6.95,8.61,83.0,7.04,10000.0,0.0,100.0,1.54,0.0,290.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-07 00:00:20,2025-11-07 01:00:20,Switzerland,Bern,Europe,4.92,3.95,5.83,94.0,3.21,10000.0,0.0,0.0,2.06,0.0,90.0,1011.0,0,800,Clear,clear sky,01n
2025-11-07 06:00:17,2025-11-07 07:00:17,Switzerland,Bern,Europe,4.0,2.95,5.27,91.0,4.0,5000.0,0.0,41.0,0.45,1.34,217.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-07 12:00:22,2025-11-07 13:00:22,Switzerland,Bern,Europe,10.85,9.72,13.77,63.0,9.64,10000.0,0.0,0.0,1.54,0.0,0.0,1011.0,1,800,Clear,clear sky,01d
2025-11-07 18:00:19,2025-11-07 19:00:19,Switzerland,Bern,Europe,5.81,4.42,6.94,91.0,5.81,10000.0,0.0,0.0,0.0,0.0,0.0,1012.0,0,800,Clear,clear sky,01n
2025-11-08 00:00:15,2025-11-08 01:00:15,Switzerland,Bern,Europe,2.53,1.75,4.16,95.0,2.53,100.0,0.0,100.0,0.51,0.0,0.0,1014.0,0,741,Fog,fog,50n
2025-11-08 06:00:20,2025-11-08 07:00:20,Switzerland,Bern,Europe,0.68,-0.05,1.87,95.0,0.68,150.0,0.0,100.0,1.03,0.0,300.0,1014.0,0,741,Fog,fog,50n
2025-11-08 12:00:21,2025-11-08 13:00:21,Switzerland,Bern,Europe,8.89,7.95,12.47,68.0,6.84,10000.0,0.0,0.0,3.6,0.0,310.0,1013.0,1,800,Clear,clear sky,01d
2025-11-08 18:02:09,2025-11-08 19:02:09,Switzerland,Bern,Europe,5.28,3.97,6.38,87.0,3.17,10000.0,0.0,20.0,2.57,0.0,340.0,1017.0,0,801,Clouds,few clouds,02n
2025-11-09 00:00:14,2025-11-09 01:00:14,Switzerland,Bern,Europe,3.04,1.95,5.76,95.0,3.04,200.0,0.0,100.0,1.03,0.0,200.0,1019.0,0,741,Fog,fog,50n
2025-11-09 06:00:19,2025-11-09 07:00:19,Switzerland,Bern,Europe,3.98,3.47,5.94,58.0,3.98,10000.0,0.0,61.0,0.45,1.34,302.0,1019.0,0,803,Clouds,broken clouds,04n
2025-11-09 12:00:20,2025-11-09 13:00:20,Switzerland,Bern,Europe,10.11,9.13,10.87,72.0,9.06,10000.0,0.0,75.0,1.03,0.0,0.0,1019.0,1,803,Clouds,broken clouds,04d
2025-11-09 18:00:15,2025-11-09 19:00:15,Switzerland,Bern,Europe,7.23,5.95,8.61,86.0,6.44,10000.0,0.0,75.0,1.54,0.0,130.0,1019.0,0,803,Clouds,broken clouds,04n
2025-11-10 00:00:21,2025-11-10 01:00:21,Switzerland,Bern,Europe,5.22,3.95,7.47,95.0,3.56,10000.0,0.0,100.0,2.06,0.0,130.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-11-10 06:00:20,2025-11-10 07:00:20,Switzerland,Bern,Europe,2.48,2.3,4.83,84.0,1.15,10000.0,0.0,11.0,1.45,1.46,148.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-10 12:00:22,2025-11-10 13:00:22,Switzerland,Bern,Europe,8.13,7.36,10.27,62.0,5.91,10000.0,0.0,20.0,3.6,0.0,310.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-10 18:00:20,2025-11-10 19:00:20,Switzerland,Bern,Europe,6.61,5.95,7.86,92.0,6.61,10000.0,0.65,40.0,1.03,0.0,0.0,1016.0,0,500,Rain,light rain,10n
2025-11-11 00:00:17,2025-11-11 01:00:17,Switzerland,Bern,Europe,5.09,3.95,6.87,91.0,2.95,10000.0,0.0,75.0,2.57,0.0,110.0,1018.0,0,803,Clouds,broken clouds,04n
2025-11-11 06:00:22,2025-11-11 07:00:22,Switzerland,Bern,Europe,4.49,2.86,6.91,77.0,4.49,10000.0,0.0,92.0,1.25,1.2,164.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-11 12:00:24,2025-11-11 13:00:24,Switzerland,Bern,Europe,11.63,10.64,14.13,60.0,10.42,10000.0,0.0,0.0,1.03,0.0,0.0,1017.0,1,800,Clear,clear sky,01d
2025-11-11 18:00:15,2025-11-11 19:00:15,Switzerland,Bern,Europe,7.32,6.47,8.65,86.0,7.32,10000.0,0.0,0.0,0.89,1.34,69.0,1018.0,0,800,Clear,clear sky,01n
2025-11-12 00:00:19,2025-11-12 01:00:19,Switzerland,Bern,Europe,3.33,2.36,4.72,90.0,3.33,10000.0,0.0,12.0,1.24,1.14,172.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-12 06:00:20,2025-11-12 07:00:20,Switzerland,Bern,Europe,4.16,0.42,4.16,79.0,4.16,10000.0,0.0,45.0,0.89,0.79,205.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-11-12 12:00:21,2025-11-12 13:00:21,Switzerland,Bern,Europe,10.88,9.95,13.58,68.0,9.8,10000.0,0.0,0.0,1.34,3.13,309.0,1017.0,1,800,Clear,clear sky,01d
2025-11-12 18:00:22,2025-11-12 19:00:22,Switzerland,Bern,Europe,7.92,6.95,9.16,79.0,5.96,10000.0,0.0,0.0,3.09,0.0,100.0,1018.0,0,800,Clear,clear sky,01n
2025-11-13 00:00:24,2025-11-13 01:00:24,Switzerland,Bern,Europe,5.06,2.42,7.5,89.0,5.06,10000.0,0.0,0.0,0.89,1.34,135.0,1019.0,0,800,Clear,clear sky,01n
2025-11-13 06:00:20,2025-11-13 07:00:20,Switzerland,Bern,Europe,0.95,0.95,1.42,100.0,0.95,10000.0,0.0,0.0,0.51,0.0,0.0,1019.0,0,800,Clear,clear sky,01n
2025-11-13 12:00:23,2025-11-13 13:00:23,Switzerland,Bern,Europe,14.81,13.95,16.55,47.0,13.57,10000.0,0.0,0.0,1.54,0.0,160.0,1018.0,1,800,Clear,clear sky,01d
2025-11-13 18:00:22,2025-11-13 19:00:22,Switzerland,Bern,Europe,7.92,6.95,9.16,79.0,5.96,10000.0,0.0,0.0,3.09,0.0,100.0,1018.0,0,800,Clear,clear sky,01n
2025-11-14 00:00:17,2025-11-14 01:00:17,Switzerland,Bern,Europe,9.13,3.42,10.8,61.0,9.13,10000.0,0.0,50.0,1.22,1.15,193.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-11-14 06:00:16,2025-11-14 07:00:16,Switzerland,Bern,Europe,0.95,0.95,1.42,100.0,0.95,10000.0,0.0,0.0,1.03,0.0,0.0,1014.0,0,800,Clear,clear sky,01n
2025-11-14 12:00:24,2025-11-14 13:00:24,Switzerland,Bern,Europe,12.94,11.81,15.83,70.0,12.12,10000.0,0.0,0.0,0.0,0.0,0.0,1011.0,1,800,Clear,clear sky,01d
2025-11-14 18:00:20,2025-11-14 19:00:20,Switzerland,Bern,Europe,10.14,9.95,11.75,94.0,9.66,10000.0,0.52,75.0,0.51,0.0,0.0,1011.0,0,500,Rain,light rain,10n
2025-11-15 00:00:16,2025-11-15 01:00:16,Switzerland,Bern,Europe,9.96,8.95,12.5,83.0,9.78,10000.0,0.87,75.0,1.34,2.68,208.0,1011.0,0,500,Rain,light rain,10n
2025-11-15 06:00:21,2025-11-15 07:00:21,Switzerland,Bern,Europe,7.24,6.95,9.65,97.0,7.24,10000.0,0.0,75.0,1.03,0.0,0.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-15 12:00:21,2025-11-15 13:00:21,Switzerland,Bern,Europe,13.78,12.92,16.36,73.0,13.12,10000.0,0.0,75.0,2.57,0.0,310.0,1010.0,1,803,Clouds,broken clouds,04d
2025-11-15 18:00:20,2025-11-15 19:00:20,Switzerland,Bern,Europe,10.14,9.95,11.75,94.0,9.66,10000.0,0.52,75.0,0.51,0.0,0.0,1011.0,0,500,Rain,light rain,10n
2025-11-16 00:00:19,2025-11-16 01:00:19,Switzerland,Bern,Europe,7.13,6.24,9.79,93.0,7.13,10000.0,0.0,57.0,0.91,0.91,161.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-16 06:00:15,2025-11-16 07:00:15,Switzerland,Bern,Europe,5.83,4.95,7.43,73.0,4.84,10000.0,0.42,75.0,1.54,0.0,340.0,1010.0,0,301,Drizzle,drizzle,09n
2025-11-16 12:00:20,2025-11-16 13:00:20,Switzerland,Bern,Europe,8.8,8.42,10.2,89.0,7.6,10000.0,2.05,75.0,2.24,3.58,250.0,1007.0,1,501,Rain,moderate rain,10d
2025-11-16 18:00:18,2025-11-16 19:00:18,Switzerland,Bern,Europe,8.27,7.42,10.27,92.0,8.27,10000.0,0.0,40.0,1.03,0.0,0.0,1008.0,0,802,Clouds,scattered clouds,03n
2025-11-17 00:00:13,2025-11-17 01:00:13,Switzerland,Bern,Europe,6.64,5.95,9.09,93.0,6.64,2800.0,0.0,100.0,0.51,0.0,0.0,1008.0,0,701,Mist,mist,50n
2025-11-17 06:00:19,2025-11-17 07:00:19,Switzerland,Bern,Europe,6.68,5.95,8.05,93.0,6.68,5000.0,1.78,75.0,1.03,0.0,0.0,1007.0,0,300,Drizzle,light intensity drizzle,09n
2025-11-17 12:00:23,2025-11-17 13:00:23,Switzerland,Bern,Europe,7.8,6.94,9.28,73.0,4.78,7000.0,1.33,75.0,5.14,0.0,260.0,1011.0,1,501,Rain,moderate rain,10d
2025-11-17 18:00:18,2025-11-17 19:00:18,Switzerland,Bern,Europe,4.07,3.95,5.2,87.0,2.83,10000.0,0.0,75.0,1.54,0.0,150.0,1018.0,0,803,Clouds,broken clouds,04n
