utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:15,2025-11-01 07:00:15,Thailand,Bangkok,Asia,26.9,25.95,27.2,77.0,29.26,10000.0,0.0,97.0,2.04,3.04,86.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-11-01 06:00:20,2025-11-01 13:00:20,Thailand,Bangkok,Asia,31.92,29.95,32.74,69.0,38.92,10000.0,0.0,88.0,3.17,3.5,170.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:17,2025-11-01 19:00:17,Thailand,Bangkok,Asia,28.68,25.95,29.42,81.0,34.06,10000.0,0.0,82.0,3.02,5.14,159.0,1009.0,0,803,Clouds,broken clouds,04n
2025-11-01 18:00:24,2025-11-02 01:00:24,Thailand,Bangkok,Asia,25.9,24.4,26.65,82.0,26.69,10000.0,0.51,98.0,1.84,3.46,118.0,1010.0,0,500,Rain,light rain,10n
2025-11-02 00:00:16,2025-11-02 07:00:16,Thailand,Bangkok,Asia,25.67,23.85,26.65,85.0,26.51,10000.0,0.0,94.0,2.18,3.65,75.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-11-02 06:00:21,2025-11-02 13:00:21,Thailand,Bangkok,Asia,30.31,29.4,30.95,75.0,37.16,6197.0,0.0,67.0,2.19,2.09,119.0,1010.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:20,2025-11-02 19:00:20,Thailand,Bangkok,Asia,27.67,26.95,28.29,84.0,31.84,6461.0,0.0,96.0,2.5,4.52,206.0,1010.0,0,804,Clouds,overcast clouds,04n
2025-11-02 18:00:18,2025-11-03 01:00:18,Thailand,Bangkok,Asia,24.44,23.85,24.95,94.0,25.39,10000.0,0.0,100.0,1.99,3.27,329.0,1010.0,0,804,Clouds,overcast clouds,04n
2025-11-03 00:00:14,2025-11-03 07:00:14,Thailand,Bangkok,Asia,25.75,24.4,26.65,84.0,26.57,10000.0,0.0,100.0,1.72,3.1,15.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-11-03 06:00:18,2025-11-03 13:00:18,Thailand,Bangkok,Asia,30.09,29.95,31.08,75.0,36.55,10000.0,0.0,94.0,2.13,2.35,343.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:24,2025-11-03 19:00:24,Thailand,Bangkok,Asia,27.32,25.95,27.95,64.0,28.84,5956.0,0.18,97.0,1.91,3.06,122.0,1009.0,0,500,Rain,light rain,10n
