utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:16,2025-11-01 00:00:16,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,13.98,13.98,13.98,76.0,13.42,10000.0,0.0,100.0,4.95,6.2,323.0,1026.0,0,804,Clouds,overcast clouds,04n
2025-11-01 06:00:21,2025-11-01 06:00:21,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,14.11,14.11,14.11,79.0,13.64,10000.0,0.0,88.0,6.0,7.39,328.0,1024.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:18,2025-11-01 12:00:18,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,14.34,14.34,14.34,84.0,14.02,10000.0,0.0,66.0,8.71,10.93,341.0,1024.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:25,2025-11-01 18:00:25,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,14.77,14.77,14.77,88.0,14.6,10000.0,0.0,100.0,10.29,14.23,335.0,1021.0,1,804,Clouds,overcast clouds,04d
2025-11-02 00:00:17,2025-11-02 00:00:17,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.09,15.09,15.09,92.0,15.06,10000.0,0.0,100.0,11.99,17.49,337.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:22,2025-11-02 06:00:22,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.58,15.58,15.58,90.0,15.54,10000.0,0.3,100.0,12.86,18.93,318.0,1014.0,1,500,Rain,light rain,10d
2025-11-02 12:00:20,2025-11-02 12:00:20,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,14.29,14.29,14.29,85.0,13.99,10000.0,0.0,75.0,8.93,12.78,276.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:19,2025-11-02 18:00:19,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,13.95,13.95,13.95,85.0,13.62,10000.0,0.0,8.0,9.21,12.01,265.0,1018.0,1,800,Clear,clear sky,01d
2025-11-03 00:00:14,2025-11-03 00:00:14,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,13.62,13.62,13.62,83.0,13.2,10000.0,0.0,9.0,8.25,9.76,259.0,1020.0,0,800,Clear,clear sky,01n
2025-11-03 06:00:19,2025-11-03 06:00:19,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,13.25,13.25,13.25,79.0,12.69,10000.0,0.0,11.0,6.33,7.2,258.0,1021.0,1,801,Clouds,few clouds,02d
2025-11-03 12:00:25,2025-11-03 12:00:25,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,13.75,13.75,13.75,77.0,13.19,10000.0,0.0,16.0,5.27,6.27,286.0,1023.0,1,801,Clouds,few clouds,02d
2025-11-03 18:00:19,2025-11-03 18:00:19,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,13.95,13.95,13.95,85.0,13.62,10000.0,0.0,8.0,9.21,12.01,265.0,1018.0,1,800,Clear,clear sky,01d
2025-11-04 00:00:19,2025-11-04 00:00:19,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,14.09,14.09,14.09,83.0,13.72,10000.0,0.0,40.0,5.17,6.83,308.0,1024.0,0,802,Clouds,scattered clouds,03n
2025-11-04 06:00:17,2025-11-04 06:00:17,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,14.07,14.07,14.07,85.0,13.75,10000.0,0.0,100.0,4.67,6.15,312.0,1023.0,1,804,Clouds,overcast clouds,04d
2025-11-04 12:00:24,2025-11-04 12:00:24,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,14.58,14.58,14.58,86.0,14.34,10000.0,0.0,57.0,5.04,6.39,334.0,1025.0,1,803,Clouds,broken clouds,04d
2025-11-04 18:00:20,2025-11-04 18:00:20,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.19,15.19,15.19,87.0,15.04,10000.0,0.0,2.0,4.67,6.01,344.0,1024.0,1,800,Clear,clear sky,01d
2025-11-05 00:00:16,2025-11-05 00:00:16,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.13,15.13,15.13,93.0,15.13,10000.0,0.0,43.0,3.31,3.49,355.0,1025.0,0,802,Clouds,scattered clouds,03n
2025-11-05 06:00:21,2025-11-05 06:00:21,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.3,15.3,15.3,97.0,15.42,10000.0,0.0,100.0,5.91,9.67,313.0,1023.0,1,804,Clouds,overcast clouds,04d
2025-11-05 12:00:23,2025-11-05 12:00:23,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.47,15.47,15.47,96.0,15.58,10000.0,0.1,100.0,6.49,10.24,339.0,1024.0,1,500,Rain,light rain,10d
2025-11-05 18:00:22,2025-11-05 18:00:22,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.8,15.8,15.8,93.0,15.86,10000.0,0.0,92.0,8.56,13.78,341.0,1022.0,1,804,Clouds,overcast clouds,04d
2025-11-06 00:00:36,2025-11-06 00:00:36,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.67,15.67,15.67,93.0,15.72,10000.0,0.0,100.0,10.73,16.1,352.0,1021.0,0,804,Clouds,overcast clouds,04n
2025-11-06 06:00:25,2025-11-06 06:00:25,Tristan da Cunha,Edinburgh of the Seven Seas,Unknown,15.73,15.73,15.73,91.0,15.73,10000.0,0.0,100.0,12.02,17.28,350.0,1017.0,1,804,Clouds,overcast clouds,04d
