utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:16,2025-11-01 01:00:16,Tunisia,Tunis,Africa,18.99,18.99,18.99,82.0,19.09,10000.0,0.0,20.0,3.09,0.0,280.0,1020.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:21,2025-11-01 07:00:21,Tunisia,Tunis,Africa,16.99,16.99,16.99,94.0,17.2,10000.0,0.0,20.0,2.06,0.0,200.0,1020.0,1,801,Clouds,few clouds,02d
2025-11-01 12:00:18,2025-11-01 13:00:18,Tunisia,Tunis,Africa,24.99,24.99,24.99,53.0,24.93,10000.0,0.0,20.0,3.6,0.0,350.0,1020.0,1,801,Clouds,few clouds,02d
2025-11-01 18:00:25,2025-11-01 19:00:25,Tunisia,Tunis,Africa,19.99,19.99,19.99,83.0,20.21,10000.0,0.0,20.0,2.06,0.0,10.0,1021.0,0,801,Clouds,few clouds,02n
2025-11-02 00:00:17,2025-11-02 01:00:17,Tunisia,Tunis,Africa,17.99,17.99,17.99,100.0,18.46,8000.0,0.0,20.0,1.03,0.0,0.0,1021.0,0,801,Clouds,few clouds,02n
2025-11-02 06:00:22,2025-11-02 07:00:22,Tunisia,Tunis,Africa,15.99,15.99,15.99,100.0,16.26,7000.0,0.0,20.0,2.06,0.0,180.0,1020.0,1,801,Clouds,few clouds,02d
2025-11-02 12:00:20,2025-11-02 13:00:20,Tunisia,Tunis,Africa,25.99,25.99,25.99,41.0,25.99,10000.0,0.0,20.0,2.06,0.0,220.0,1018.0,1,801,Clouds,few clouds,02d
2025-11-02 18:00:19,2025-11-02 19:00:19,Tunisia,Tunis,Africa,19.99,19.99,19.99,73.0,19.95,10000.0,0.0,20.0,0.51,0.0,350.0,1019.0,0,801,Clouds,few clouds,02n
2025-11-03 00:00:14,2025-11-03 01:00:14,Tunisia,Tunis,Africa,20.99,20.99,20.99,78.0,21.18,10000.0,0.0,20.0,3.09,0.0,250.0,1019.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:19,2025-11-03 07:00:19,Tunisia,Tunis,Africa,19.99,19.99,19.99,77.0,20.06,10000.0,0.0,20.0,3.09,0.0,230.0,1019.0,1,801,Clouds,few clouds,02d
2025-11-03 12:00:25,2025-11-03 13:00:25,Tunisia,Tunis,Africa,22.99,22.99,22.99,53.0,22.73,10000.0,0.0,40.0,7.72,0.0,290.0,1020.0,1,802,Clouds,scattered clouds,03d
