utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:16,2025-10-31 20:00:16,Turks and Caicos Islands,Cockburn Town,North America,28.13,28.13,28.13,75.0,31.64,10000.0,0.0,99.0,4.19,4.07,57.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-01 06:00:21,2025-11-01 02:00:21,Turks and Caicos Islands,Cockburn Town,North America,27.87,27.87,27.87,78.0,31.49,10000.0,0.69,29.0,5.76,6.4,130.0,1014.0,0,500,Rain,light rain,10n
2025-11-01 12:00:18,2025-11-01 08:00:18,Turks and Caicos Islands,Cockburn Town,North America,27.99,27.99,27.99,77.0,31.62,10000.0,0.29,26.0,6.05,6.55,120.0,1015.0,1,500,Rain,light rain,10d
2025-11-01 18:00:25,2025-11-01 14:00:25,Turks and Caicos Islands,Cockburn Town,North America,28.44,28.44,28.44,77.0,32.69,10000.0,0.0,16.0,7.28,7.84,111.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-02 00:00:17,2025-11-01 20:00:17,Turks and Caicos Islands,Cockburn Town,North America,28.26,28.26,28.26,80.0,32.76,10000.0,0.0,36.0,7.21,8.82,97.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:22,2025-11-02 01:00:22,Turks and Caicos Islands,Cockburn Town,North America,28.15,28.15,28.15,83.0,32.98,10000.0,0.15,74.0,8.83,11.14,108.0,1013.0,0,500,Rain,light rain,10n
2025-11-02 12:00:21,2025-11-02 07:00:21,Turks and Caicos Islands,Cockburn Town,North America,27.8,27.8,27.8,79.0,31.46,10000.0,0.18,99.0,10.27,12.13,113.0,1015.0,1,500,Rain,light rain,10d
2025-11-02 18:00:19,2025-11-02 13:00:19,Turks and Caicos Islands,Cockburn Town,North America,28.07,28.07,28.07,83.0,32.76,10000.0,0.27,74.0,11.78,14.77,126.0,1014.0,1,500,Rain,light rain,10d
2025-11-03 00:00:14,2025-11-02 19:00:14,Turks and Caicos Islands,Cockburn Town,North America,27.92,27.92,27.92,83.0,32.36,10000.0,0.16,75.0,6.17,0.0,150.0,1015.0,0,500,Rain,light rain,10n
2025-11-03 06:00:19,2025-11-03 01:00:19,Turks and Caicos Islands,Cockburn Town,North America,28.03,28.03,28.03,84.0,32.82,10000.0,0.0,97.0,9.62,10.29,128.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-11-03 12:00:25,2025-11-03 07:00:25,Turks and Caicos Islands,Cockburn Town,North America,27.73,27.73,27.73,78.0,31.16,10000.0,0.0,88.0,8.42,9.83,127.0,1018.0,1,804,Clouds,overcast clouds,04d
2025-11-03 18:00:19,2025-11-03 13:00:19,Turks and Caicos Islands,Cockburn Town,North America,28.07,28.07,28.07,83.0,32.76,10000.0,0.27,74.0,11.78,14.77,126.0,1014.0,1,500,Rain,light rain,10d
2025-11-04 00:00:19,2025-11-03 19:00:19,Turks and Caicos Islands,Cockburn Town,North America,28.0,28.0,28.0,80.0,32.1,10000.0,0.0,3.0,6.5,7.48,93.0,1016.0,0,800,Clear,clear sky,01n
2025-11-04 06:00:17,2025-11-04 01:00:17,Turks and Caicos Islands,Cockburn Town,North America,27.73,27.73,27.73,77.0,31.03,10000.0,0.0,7.0,5.26,5.65,94.0,1016.0,0,800,Clear,clear sky,01n
2025-11-04 12:00:24,2025-11-04 07:00:24,Turks and Caicos Islands,Cockburn Town,North America,27.48,27.48,27.48,78.0,30.6,10000.0,0.0,9.0,5.82,6.04,53.0,1018.0,1,800,Clear,clear sky,01d
2025-11-04 18:00:20,2025-11-04 13:00:20,Turks and Caicos Islands,Cockburn Town,North America,28.31,28.31,28.31,75.0,32.05,10000.0,0.0,5.0,6.32,6.53,59.0,1017.0,1,800,Clear,clear sky,01d
2025-11-05 00:00:16,2025-11-04 19:00:16,Turks and Caicos Islands,Cockburn Town,North America,27.79,27.79,27.79,71.0,30.39,10000.0,0.0,23.0,7.26,7.37,47.0,1017.0,0,801,Clouds,few clouds,02n
2025-11-05 06:00:21,2025-11-05 01:00:21,Turks and Caicos Islands,Cockburn Town,North America,27.43,27.43,27.43,74.0,30.03,10000.0,0.0,37.0,6.89,7.24,63.0,1017.0,0,802,Clouds,scattered clouds,03n
2025-11-05 12:00:23,2025-11-05 07:00:23,Turks and Caicos Islands,Cockburn Town,North America,27.22,27.22,27.22,77.0,29.92,10000.0,0.0,86.0,6.63,7.15,66.0,1018.0,1,804,Clouds,overcast clouds,04d
2025-11-05 18:00:23,2025-11-05 13:00:23,Turks and Caicos Islands,Cockburn Town,North America,28.39,28.39,28.39,70.0,31.44,10000.0,0.0,52.0,5.88,6.07,79.0,1016.0,1,803,Clouds,broken clouds,04d
2025-11-06 00:00:36,2025-11-05 19:00:36,Turks and Caicos Islands,Cockburn Town,North America,27.57,27.57,27.57,77.0,30.67,10000.0,0.35,19.0,7.47,7.89,91.0,1016.0,0,500,Rain,light rain,10n
2025-11-06 06:00:25,2025-11-06 01:00:25,Turks and Caicos Islands,Cockburn Town,North America,27.64,27.64,27.64,72.0,30.22,10000.0,0.0,16.0,7.58,7.97,108.0,1015.0,0,801,Clouds,few clouds,02n
2025-11-06 12:00:27,2025-11-06 07:00:27,Turks and Caicos Islands,Cockburn Town,North America,27.36,27.36,27.36,74.0,29.89,10000.0,0.0,6.0,6.19,6.54,105.0,1016.0,1,800,Clear,clear sky,01d
2025-11-06 18:00:16,2025-11-06 13:00:16,Turks and Caicos Islands,Cockburn Town,North America,28.33,28.33,28.33,74.0,31.94,10000.0,0.0,0.0,4.98,5.47,117.0,1014.0,1,800,Clear,clear sky,01d
2025-11-07 00:00:21,2025-11-06 19:00:21,Turks and Caicos Islands,Cockburn Town,North America,27.53,27.53,27.53,77.0,30.59,10000.0,0.33,7.0,6.07,6.7,98.0,1015.0,0,500,Rain,light rain,10n
2025-11-07 06:00:18,2025-11-07 01:00:18,Turks and Caicos Islands,Cockburn Town,North America,27.63,27.63,27.63,75.0,30.56,10000.0,0.0,5.0,7.27,7.51,113.0,1014.0,0,800,Clear,clear sky,01n
2025-11-07 12:00:23,2025-11-07 07:00:23,Turks and Caicos Islands,Cockburn Town,North America,27.78,27.78,27.78,72.0,30.49,10000.0,0.0,21.0,7.76,8.03,115.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-07 18:00:20,2025-11-07 13:00:20,Turks and Caicos Islands,Cockburn Town,North America,28.54,28.54,28.54,68.0,31.43,10000.0,0.0,17.0,6.93,7.25,122.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-08 00:00:16,2025-11-07 19:00:16,Turks and Caicos Islands,Cockburn Town,North America,27.76,27.76,27.76,76.0,30.96,10000.0,0.0,1.0,7.6,8.1,103.0,1013.0,0,800,Clear,clear sky,01n
2025-11-08 06:00:21,2025-11-08 01:00:21,Turks and Caicos Islands,Cockburn Town,North America,27.54,27.54,27.54,79.0,30.85,10000.0,0.14,3.0,8.36,8.96,122.0,1013.0,0,500,Rain,light rain,10n
2025-11-08 12:00:22,2025-11-08 07:00:22,Turks and Caicos Islands,Cockburn Town,North America,27.55,27.55,27.55,79.0,30.88,10000.0,0.0,22.0,7.8,8.37,128.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-08 18:02:10,2025-11-08 13:02:10,Turks and Caicos Islands,Cockburn Town,North America,28.44,28.44,28.44,77.0,32.69,10000.0,0.0,7.0,6.76,7.26,122.0,1013.0,1,800,Clear,clear sky,01d
2025-11-09 00:00:15,2025-11-08 19:00:15,Turks and Caicos Islands,Cockburn Town,North America,27.82,27.82,27.82,76.0,31.1,10000.0,0.0,3.0,6.79,7.26,108.0,1014.0,0,800,Clear,clear sky,01n
2025-11-09 06:00:19,2025-11-09 01:00:19,Turks and Caicos Islands,Cockburn Town,North America,27.85,27.85,27.85,78.0,31.44,10000.0,0.18,2.0,9.2,9.93,118.0,1014.0,0,500,Rain,light rain,10n
2025-11-09 12:00:21,2025-11-09 07:00:21,Turks and Caicos Islands,Cockburn Town,North America,28.0,28.0,28.0,77.0,31.65,10000.0,0.0,6.0,8.26,9.0,118.0,1016.0,1,800,Clear,clear sky,01d
