utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:16,2025-10-31 20:00:16,United States,Washington,North America,12.81,11.66,13.69,50.0,11.45,10000.0,0.0,3.0,1.79,1.79,290.0,1009.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:21,2025-11-01 02:00:21,United States,Washington,North America,10.93,7.76,12.22,63.0,9.72,10000.0,0.0,75.0,4.63,0.0,240.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-01 12:00:18,2025-11-01 08:00:18,United States,Washington,North America,6.62,4.59,7.89,75.0,4.07,10000.0,0.0,20.0,3.6,0.0,230.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-01 18:00:25,2025-11-01 14:00:25,United States,Washington,North America,17.18,15.79,18.45,44.0,16.1,10000.0,0.0,20.0,6.17,9.77,300.0,1017.0,1,711,Smoke,smoke,50d
2025-11-02 00:00:17,2025-11-01 20:00:17,United States,Washington,North America,11.17,9.37,12.8,66.0,10.07,10000.0,0.0,0.0,0.0,0.0,0.0,1019.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:22,2025-11-02 01:00:22,United States,Washington,North America,8.86,7.34,10.36,77.0,8.86,10000.0,0.0,100.0,0.45,0.45,302.0,1022.0,0,804,Clouds,overcast clouds,04n
2025-11-02 12:00:21,2025-11-02 07:00:21,United States,Washington,North America,6.99,5.37,7.85,83.0,6.99,10000.0,0.0,75.0,0.0,0.0,0.0,1025.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:19,2025-11-02 13:00:19,United States,Washington,North America,18.68,17.18,19.8,41.0,17.67,10000.0,0.0,40.0,1.54,0.0,40.0,1024.0,1,802,Clouds,scattered clouds,03d
2025-11-03 00:00:15,2025-11-02 19:00:15,United States,Washington,North America,12.42,10.67,14.0,60.0,11.28,10000.0,0.0,0.0,2.06,0.0,100.0,1024.0,0,800,Clear,clear sky,01n
2025-11-03 06:00:19,2025-11-03 01:00:19,United States,Washington,North America,10.27,8.45,11.7,80.0,9.44,10000.0,0.0,0.0,2.57,0.0,120.0,1023.0,0,800,Clear,clear sky,01n
2025-11-03 12:00:25,2025-11-03 07:00:25,United States,Washington,North America,10.43,9.14,11.47,87.0,9.8,10000.0,0.14,75.0,2.06,0.0,70.0,1021.0,1,500,Rain,light rain,10d
2025-11-03 18:00:19,2025-11-03 13:00:19,United States,Washington,North America,18.68,17.18,19.8,41.0,17.67,10000.0,0.0,40.0,1.54,0.0,40.0,1024.0,1,802,Clouds,scattered clouds,03d
2025-11-04 00:00:20,2025-11-03 19:00:20,United States,Washington,North America,15.3,13.92,16.28,50.0,14.19,10000.0,0.0,0.0,4.63,0.0,280.0,1016.0,0,800,Clear,clear sky,01n
2025-11-04 06:00:17,2025-11-04 01:00:17,United States,Washington,North America,11.37,9.84,12.7,63.0,10.21,10000.0,0.0,0.0,4.12,0.0,290.0,1019.0,0,800,Clear,clear sky,01n
2025-11-04 12:00:24,2025-11-04 07:00:24,United States,Washington,North America,7.45,5.33,9.37,67.0,5.08,10000.0,0.0,0.0,3.6,0.0,250.0,1023.0,1,800,Clear,clear sky,01d
2025-11-04 18:00:21,2025-11-04 13:00:21,United States,Washington,North America,16.69,14.99,17.81,35.0,15.33,10000.0,0.0,0.0,5.14,0.0,290.0,1023.0,1,800,Clear,clear sky,01d
2025-11-05 00:00:17,2025-11-04 19:00:17,United States,Washington,North America,11.58,9.56,13.45,45.0,9.97,10000.0,0.0,0.0,2.57,0.0,210.0,1024.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:22,2025-11-05 01:00:22,United States,Washington,North America,8.32,6.64,9.85,61.0,7.18,10000.0,0.0,20.0,2.06,0.0,150.0,1023.0,0,801,Clouds,few clouds,02n
2025-11-05 12:00:23,2025-11-05 07:00:23,United States,Washington,North America,6.26,4.89,7.72,82.0,3.96,10000.0,0.0,40.0,3.09,0.0,220.0,1021.0,1,802,Clouds,scattered clouds,03d
2025-11-05 18:00:23,2025-11-05 13:00:23,United States,Washington,North America,20.05,18.88,21.42,41.0,19.18,10000.0,0.0,0.0,6.69,0.0,200.0,1012.0,1,800,Clear,clear sky,01d
2025-11-06 00:00:36,2025-11-05 19:00:36,United States,Washington,North America,19.68,17.7,20.85,45.0,18.88,10000.0,0.0,40.0,6.17,0.0,210.0,1008.0,0,802,Clouds,scattered clouds,03n
2025-11-06 06:00:25,2025-11-06 01:00:25,United States,Washington,North America,14.21,13.04,15.54,48.0,12.94,10000.0,0.0,25.0,1.79,2.68,358.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-06 12:00:28,2025-11-06 07:00:28,United States,Washington,North America,8.48,7.07,9.38,53.0,8.48,10000.0,0.0,3.0,0.89,0.89,312.0,1021.0,1,800,Clear,clear sky,01d
2025-11-06 18:00:16,2025-11-06 13:00:16,United States,Washington,North America,14.53,13.26,15.73,33.0,12.9,10000.0,0.0,20.0,7.72,12.35,340.0,1021.0,1,801,Clouds,few clouds,02d
2025-11-07 00:00:22,2025-11-06 19:00:22,United States,Washington,North America,8.78,6.88,10.58,53.0,8.78,10000.0,0.0,0.0,0.45,0.45,306.0,1022.0,0,800,Clear,clear sky,01n
2025-11-07 06:00:19,2025-11-07 01:00:19,United States,Washington,North America,4.67,4.02,6.2,72.0,4.67,10000.0,0.0,0.0,0.0,0.0,0.0,1021.0,0,800,Clear,clear sky,01n
2025-11-07 12:00:24,2025-11-07 07:00:24,United States,Washington,North America,5.42,3.34,6.84,77.0,2.61,10000.0,0.0,0.0,3.6,0.0,180.0,1018.0,1,800,Clear,clear sky,01d
2025-11-07 18:00:20,2025-11-07 13:00:20,United States,Washington,North America,16.04,14.9,17.33,45.0,14.87,10000.0,0.0,75.0,7.72,12.35,190.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-08 00:00:16,2025-11-07 19:00:16,United States,Washington,North America,16.27,14.99,17.15,59.0,15.49,10000.0,0.0,0.0,6.17,0.0,200.0,1007.0,0,800,Clear,clear sky,01n
2025-11-08 06:00:22,2025-11-08 01:00:22,United States,Washington,North America,13.94,13.03,15.21,85.0,13.61,10000.0,1.19,100.0,2.06,0.0,210.0,1006.0,0,501,Rain,moderate rain,10n
2025-11-08 12:00:22,2025-11-08 07:00:22,United States,Washington,North America,12.37,10.9,13.54,87.0,11.93,10000.0,0.0,40.0,2.57,0.0,220.0,1008.0,1,802,Clouds,scattered clouds,03d
2025-11-08 18:02:10,2025-11-08 13:02:10,United States,Washington,North America,20.84,19.37,22.03,48.0,20.23,10000.0,0.0,0.0,2.24,2.24,312.0,1009.0,1,800,Clear,clear sky,01d
2025-11-09 00:00:15,2025-11-08 19:00:15,United States,Washington,North America,14.52,12.62,16.2,70.0,13.86,10000.0,0.0,0.0,2.06,0.0,130.0,1011.0,0,800,Clear,clear sky,01n
2025-11-09 06:00:20,2025-11-09 01:00:20,United States,Washington,North America,12.58,10.33,13.83,80.0,11.98,10000.0,0.0,40.0,4.12,0.0,170.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-09 12:00:22,2025-11-09 07:00:22,United States,Washington,North America,10.48,8.82,11.84,90.0,9.93,10000.0,0.0,40.0,0.0,0.0,0.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-11-09 18:00:16,2025-11-09 13:00:16,United States,Washington,North America,16.46,15.41,18.42,86.0,16.41,10000.0,0.0,100.0,3.6,0.0,180.0,1005.0,1,804,Clouds,overcast clouds,04d
2025-11-10 00:00:22,2025-11-09 19:00:22,United States,Washington,North America,15.71,14.65,16.82,86.0,15.58,10000.0,0.0,75.0,2.06,0.0,170.0,1006.0,0,803,Clouds,broken clouds,04n
2025-11-10 06:00:21,2025-11-10 01:00:21,United States,Washington,North America,11.06,10.23,12.15,80.0,10.31,10000.0,0.0,100.0,0.45,2.68,332.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-11-10 12:00:23,2025-11-10 07:00:23,United States,Washington,North America,6.7,5.47,7.73,67.0,6.7,10000.0,0.0,67.0,0.89,4.92,54.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-10 18:00:21,2025-11-10 13:00:21,United States,Washington,North America,10.1,8.6,11.06,47.0,8.39,10000.0,0.0,40.0,8.75,12.86,330.0,1007.0,1,802,Clouds,scattered clouds,03d
2025-11-11 00:00:18,2025-11-10 19:00:18,United States,Washington,North America,4.7,3.6,5.51,52.0,2.39,10000.0,0.0,48.0,2.68,3.58,349.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-11 06:00:24,2025-11-11 01:00:24,United States,Washington,North America,2.09,0.82,2.85,57.0,-2.1,10000.0,0.0,75.0,4.63,7.72,300.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-11 12:00:25,2025-11-11 07:00:25,United States,Washington,North America,-0.49,-1.26,-0.03,56.0,-5.61,10000.0,0.0,20.0,5.14,11.32,270.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-11 18:00:16,2025-11-11 13:00:16,United States,Washington,North America,6.43,5.26,7.49,38.0,2.12,10000.0,0.0,0.0,7.72,14.4,270.0,1015.0,1,800,Clear,clear sky,01d
2025-11-12 00:00:21,2025-11-11 19:00:21,United States,Washington,North America,3.42,2.15,4.42,52.0,3.42,10000.0,0.0,13.0,0.89,1.34,291.0,1018.0,0,801,Clouds,few clouds,02n
2025-11-12 06:00:22,2025-11-12 01:00:22,United States,Washington,North America,4.75,3.45,5.5,49.0,0.96,10000.0,0.0,100.0,5.14,0.0,220.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-11-12 12:00:23,2025-11-12 07:00:23,United States,Washington,North America,4.0,2.14,4.95,54.0,0.56,10000.0,0.0,20.0,4.12,0.0,190.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-12 18:00:24,2025-11-12 13:00:24,United States,Washington,North America,14.0,12.74,14.92,39.0,12.47,10000.0,0.0,20.0,6.69,10.8,220.0,1009.0,1,801,Clouds,few clouds,02d
2025-11-13 00:00:25,2025-11-12 19:00:25,United States,Washington,North America,11.99,9.39,13.37,48.0,10.5,10000.0,0.0,40.0,2.06,0.0,290.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-11-13 06:00:22,2025-11-13 01:00:22,United States,Washington,North America,9.35,8.19,10.21,54.0,7.26,10000.0,0.0,16.0,3.89,10.11,280.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-13 12:00:25,2025-11-13 07:00:25,United States,Washington,North America,4.3,2.47,6.59,68.0,1.84,10000.0,0.0,11.0,2.78,8.72,259.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-13 18:00:24,2025-11-13 13:00:24,United States,Washington,North America,14.0,12.74,14.92,39.0,12.47,10000.0,0.0,20.0,6.69,10.8,220.0,1009.0,1,801,Clouds,few clouds,02d
2025-11-14 00:00:19,2025-11-13 19:00:19,United States,Washington,North America,8.85,6.99,10.73,43.0,7.31,10000.0,0.0,3.0,2.72,7.95,290.0,1019.0,0,800,Clear,clear sky,01n
2025-11-14 06:00:17,2025-11-14 01:00:17,United States,Washington,North America,4.76,2.49,6.8,62.0,3.15,10000.0,0.0,0.0,1.94,4.86,293.0,1020.0,0,800,Clear,clear sky,01n
2025-11-14 12:00:26,2025-11-14 07:00:26,United States,Washington,North America,2.68,1.15,4.43,75.0,1.24,10000.0,0.0,20.0,1.54,0.0,360.0,1023.0,1,801,Clouds,few clouds,02d
2025-11-14 18:00:21,2025-11-14 13:00:21,United States,Washington,North America,12.18,10.97,13.37,44.0,10.6,10000.0,0.0,75.0,4.63,0.0,270.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-15 00:00:18,2025-11-14 19:00:18,United States,Washington,North America,10.11,8.6,11.61,57.0,8.66,10000.0,0.0,100.0,1.54,0.0,110.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-11-15 06:00:22,2025-11-15 01:00:22,United States,Washington,North America,9.72,8.44,10.73,62.0,9.29,10000.0,0.0,100.0,1.54,0.0,90.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-15 12:00:22,2025-11-15 07:00:22,United States,Washington,North America,9.08,7.62,10.51,72.0,9.08,10000.0,0.0,100.0,0.0,0.0,0.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-15 18:00:21,2025-11-15 13:00:21,United States,Washington,North America,12.18,10.97,13.37,44.0,10.6,10000.0,0.0,75.0,4.63,0.0,270.0,1020.0,1,803,Clouds,broken clouds,04d
2025-11-16 00:00:20,2025-11-15 19:00:20,United States,Washington,North America,14.91,13.85,16.42,66.0,14.18,10000.0,0.77,100.0,4.63,0.0,200.0,1000.0,0,500,Rain,light rain,10n
2025-11-16 06:00:16,2025-11-16 01:00:16,United States,Washington,North America,17.88,16.62,18.88,67.0,17.47,10000.0,0.0,100.0,4.63,0.0,230.0,994.0,0,804,Clouds,overcast clouds,04n
2025-11-16 12:00:21,2025-11-16 07:00:21,United States,Washington,North America,15.39,13.28,16.91,70.0,14.81,10000.0,0.0,40.0,5.66,10.8,300.0,996.0,1,802,Clouds,scattered clouds,03d
2025-11-16 18:00:19,2025-11-16 13:00:19,United States,Washington,North America,15.38,14.12,16.42,34.0,13.86,10000.0,0.0,20.0,11.32,17.49,300.0,999.0,1,801,Clouds,few clouds,02d
