utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:17,2025-10-31 20:00:17,Venezuela,Caracas,South America,21.77,20.52,22.18,89.0,22.33,10000.0,0.45,40.0,3.09,0.0,230.0,1015.0,0,500,Rain,light rain,10n
2025-11-01 06:00:22,2025-11-01 02:00:22,Venezuela,Caracas,South America,21.22,18.52,21.62,87.0,21.67,10000.0,0.61,20.0,0.45,0.89,8.0,1014.0,0,500,Rain,light rain,10n
2025-11-01 12:00:19,2025-11-01 08:00:19,Venezuela,Caracas,South America,23.85,22.46,23.85,89.0,24.61,10000.0,0.0,100.0,0.45,1.34,67.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-11-01 18:00:26,2025-11-01 14:00:26,Venezuela,Caracas,South America,27.33,25.52,28.29,65.0,28.95,10000.0,0.69,40.0,4.12,0.0,50.0,1012.0,1,500,Rain,light rain,10d
2025-11-02 00:00:17,2025-11-01 20:00:17,Venezuela,Caracas,South America,22.52,22.52,22.52,78.0,22.86,10000.0,0.0,40.0,0.0,0.0,0.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-02 06:00:22,2025-11-02 02:00:22,Venezuela,Caracas,South America,21.52,21.52,21.52,83.0,21.89,9000.0,0.0,75.0,1.54,0.0,180.0,1014.0,0,300,Drizzle,light intensity drizzle,09n
2025-11-02 12:00:21,2025-11-02 08:00:21,Venezuela,Caracas,South America,22.33,21.91,22.74,91.0,22.99,10000.0,0.51,40.0,1.03,0.0,200.0,1016.0,1,500,Rain,light rain,10d
2025-11-02 18:00:19,2025-11-02 14:00:19,Venezuela,Caracas,South America,28.29,27.46,28.29,50.0,28.78,10000.0,0.0,63.0,2.68,6.71,163.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-03 00:00:15,2025-11-02 20:00:15,Venezuela,Caracas,South America,22.52,22.52,22.52,78.0,22.86,10000.0,0.0,40.0,3.09,0.0,90.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:19,2025-11-03 02:00:19,Venezuela,Caracas,South America,21.52,21.52,21.52,78.0,21.76,10000.0,0.0,20.0,0.0,0.0,0.0,1015.0,0,801,Clouds,few clouds,02n
2025-11-03 12:00:26,2025-11-03 08:00:26,Venezuela,Caracas,South America,22.89,20.52,23.85,77.0,23.25,10000.0,0.0,20.0,2.06,0.0,110.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-03 18:00:19,2025-11-03 14:00:19,Venezuela,Caracas,South America,28.29,27.46,28.29,50.0,28.78,10000.0,0.0,63.0,2.68,6.71,163.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-04 00:00:20,2025-11-03 20:00:20,Venezuela,Caracas,South America,21.52,21.52,21.52,78.0,21.76,10000.0,0.0,20.0,3.6,0.0,70.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-04 06:00:18,2025-11-04 02:00:18,Venezuela,Caracas,South America,20.94,20.52,21.07,75.0,21.05,10000.0,0.0,0.0,0.0,0.0,0.0,1014.0,0,800,Clear,clear sky,01n
2025-11-04 12:00:25,2025-11-04 08:00:25,Venezuela,Caracas,South America,22.33,20.52,23.29,74.0,22.55,10000.0,0.0,20.0,0.45,1.34,19.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-04 18:00:21,2025-11-04 14:00:21,Venezuela,Caracas,South America,28.02,27.52,28.02,60.0,29.48,10000.0,0.44,20.0,4.63,8.75,70.0,1014.0,1,500,Rain,light rain,10d
2025-11-05 00:00:17,2025-11-04 20:00:17,Venezuela,Caracas,South America,21.52,21.52,21.52,94.0,22.18,10000.0,0.0,40.0,4.12,0.0,70.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-05 06:00:22,2025-11-05 02:00:22,Venezuela,Caracas,South America,21.77,20.52,22.18,85.0,22.22,10000.0,0.0,20.0,0.45,1.34,18.0,1015.0,0,801,Clouds,few clouds,02n
2025-11-05 12:00:24,2025-11-05 08:00:24,Venezuela,Caracas,South America,24.4,23.57,24.4,83.0,25.06,10000.0,0.0,100.0,0.74,0.74,181.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-11-05 18:00:23,2025-11-05 14:00:23,Venezuela,Caracas,South America,25.52,25.52,25.52,70.0,25.96,10000.0,1.83,75.0,4.12,0.0,70.0,1015.0,1,501,Rain,moderate rain,10d
2025-11-06 00:00:37,2025-11-05 20:00:37,Venezuela,Caracas,South America,21.52,21.52,21.52,89.0,22.05,10000.0,0.0,75.0,3.09,0.0,70.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-06 06:00:26,2025-11-06 02:00:26,Venezuela,Caracas,South America,21.35,20.52,21.35,81.0,21.66,10000.0,0.0,20.0,1.34,1.79,5.0,1015.0,0,801,Clouds,few clouds,02n
2025-11-06 12:00:29,2025-11-06 08:00:29,Venezuela,Caracas,South America,22.89,21.52,23.85,84.0,23.43,10000.0,0.0,20.0,0.89,1.79,76.0,1016.0,1,801,Clouds,few clouds,02d
2025-11-06 18:00:17,2025-11-06 14:00:17,Venezuela,Caracas,South America,26.52,26.52,26.52,58.0,26.52,10000.0,1.03,20.0,2.57,0.0,70.0,1013.0,1,501,Rain,moderate rain,10d
2025-11-07 00:00:22,2025-11-06 20:00:22,Venezuela,Caracas,South America,22.52,22.52,22.52,78.0,22.86,10000.0,0.1,40.0,3.09,0.0,90.0,1014.0,0,500,Rain,light rain,10n
2025-11-07 06:00:19,2025-11-07 02:00:19,Venezuela,Caracas,South America,21.52,21.52,21.52,78.0,21.76,10000.0,0.0,0.0,0.0,0.0,0.0,1014.0,0,800,Clear,clear sky,01n
2025-11-07 12:00:24,2025-11-07 08:00:24,Venezuela,Caracas,South America,22.33,20.52,23.29,81.0,22.73,10000.0,0.0,20.0,0.45,1.79,312.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-07 18:00:20,2025-11-07 14:00:20,Venezuela,Caracas,South America,25.94,25.24,26.62,76.0,26.57,10000.0,0.0,40.0,5.14,0.0,70.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-08 00:00:16,2025-11-07 20:00:16,Venezuela,Caracas,South America,22.52,22.52,22.52,78.0,22.86,10000.0,0.23,40.0,4.12,0.0,90.0,1013.0,0,500,Rain,light rain,10n
2025-11-08 06:00:22,2025-11-08 02:00:22,Venezuela,Caracas,South America,22.05,21.52,22.18,83.0,22.48,10000.0,0.0,0.0,0.89,1.34,8.0,1012.0,0,800,Clear,clear sky,01n
2025-11-08 12:00:23,2025-11-08 08:00:23,Venezuela,Caracas,South America,22.89,20.52,23.85,86.0,23.48,10000.0,0.0,20.0,0.45,1.34,120.0,1013.0,1,801,Clouds,few clouds,02d
2025-11-08 18:02:11,2025-11-08 14:02:11,Venezuela,Caracas,South America,26.35,26.35,26.35,66.0,26.35,10000.0,1.18,61.0,2.68,4.92,102.0,1011.0,1,501,Rain,moderate rain,10d
2025-11-09 00:00:16,2025-11-08 20:00:16,Venezuela,Caracas,South America,26.28,26.28,26.28,89.0,26.28,10000.0,0.0,57.0,1.36,1.15,168.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-09 06:00:20,2025-11-09 02:00:20,Venezuela,Caracas,South America,21.52,21.52,21.52,83.0,21.89,10000.0,0.0,0.0,0.0,0.0,0.0,1013.0,0,800,Clear,clear sky,01n
2025-11-09 12:00:22,2025-11-09 08:00:22,Venezuela,Caracas,South America,24.4,23.57,24.4,79.0,24.96,10000.0,0.0,37.0,0.89,2.24,108.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-09 18:00:17,2025-11-09 14:00:17,Venezuela,Caracas,South America,28.44,27.46,29.4,56.0,29.62,10000.0,0.0,20.0,2.06,0.0,70.0,1012.0,1,801,Clouds,few clouds,02d
2025-11-10 00:00:22,2025-11-09 20:00:22,Venezuela,Caracas,South America,23.57,22.52,23.57,81.0,24.1,10000.0,0.0,20.0,2.68,5.36,81.0,1014.0,0,801,Clouds,few clouds,02n
2025-11-10 06:00:22,2025-11-10 02:00:22,Venezuela,Caracas,South America,21.35,20.52,21.35,83.0,21.71,10000.0,0.0,0.0,0.89,1.79,88.0,1014.0,0,800,Clear,clear sky,01n
2025-11-10 12:00:23,2025-11-10 08:00:23,Venezuela,Caracas,South America,22.46,20.52,22.46,80.0,22.85,10000.0,0.0,40.0,0.0,0.0,0.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-11-10 18:00:21,2025-11-10 14:00:21,Venezuela,Caracas,South America,28.47,28.02,30.44,54.0,29.43,10000.0,0.0,99.0,2.24,4.02,29.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-11 00:00:18,2025-11-10 20:00:18,Venezuela,Caracas,South America,22.52,22.52,22.52,78.0,22.86,10000.0,0.0,20.0,2.06,0.0,70.0,1015.0,0,801,Clouds,few clouds,02n
2025-11-11 06:00:24,2025-11-11 02:00:24,Venezuela,Caracas,South America,21.91,21.91,21.91,83.0,22.32,10000.0,0.0,93.0,0.45,2.68,40.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-11 12:00:25,2025-11-11 08:00:25,Venezuela,Caracas,South America,22.74,20.8,22.74,95.0,23.55,10000.0,0.25,98.0,0.89,1.79,85.0,1017.0,1,500,Rain,light rain,10d
2025-11-11 18:00:16,2025-11-11 14:00:16,Venezuela,Caracas,South America,26.35,25.52,26.35,62.0,26.35,10000.0,0.58,40.0,4.12,0.0,90.0,1013.0,1,500,Rain,light rain,10d
2025-11-12 00:00:21,2025-11-11 20:00:21,Venezuela,Caracas,South America,22.52,22.52,22.52,83.0,22.99,10000.0,0.0,40.0,4.12,0.0,70.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-11-12 06:00:22,2025-11-12 02:00:22,Venezuela,Caracas,South America,21.35,21.35,21.35,78.0,21.58,10000.0,0.0,98.0,0.45,0.89,12.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-11-12 12:00:23,2025-11-12 08:00:23,Venezuela,Caracas,South America,21.35,19.52,21.35,75.0,21.5,10000.0,0.0,20.0,0.0,0.0,0.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-12 18:00:24,2025-11-12 14:00:24,Venezuela,Caracas,South America,26.11,24.52,26.55,73.0,26.11,10000.0,0.88,75.0,6.17,0.0,70.0,1012.0,1,500,Rain,light rain,10d
2025-11-13 00:00:26,2025-11-12 20:00:26,Venezuela,Caracas,South America,21.52,21.52,21.52,89.0,22.05,10000.0,0.16,75.0,4.12,0.0,70.0,1014.0,0,500,Rain,light rain,10n
2025-11-13 06:00:22,2025-11-13 02:00:22,Venezuela,Caracas,South America,20.52,20.52,20.52,89.0,20.95,10000.0,0.0,0.0,0.0,0.0,0.0,1014.0,0,800,Clear,clear sky,01n
2025-11-13 12:00:25,2025-11-13 08:00:25,Venezuela,Caracas,South America,22.74,21.35,22.74,80.0,23.16,10000.0,0.0,36.0,1.5,1.58,164.0,1015.0,1,802,Clouds,scattered clouds,03d
