utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:17,2025-11-01 02:00:17,Zimbabwe,Harare,Africa,19.33,19.33,19.33,63.0,18.96,10000.0,0.0,32.0,3.45,7.77,53.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-01 06:00:22,2025-11-01 08:00:22,Zimbabwe,Harare,Africa,22.11,22.11,22.11,56.0,21.84,10000.0,0.0,69.0,4.06,5.32,46.0,1017.0,1,803,Clouds,broken clouds,04d
2025-11-01 12:00:19,2025-11-01 14:00:19,Zimbabwe,Harare,Africa,32.9,32.9,32.9,18.0,30.72,10000.0,0.0,51.0,1.12,2.58,46.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:26,2025-11-01 20:00:26,Zimbabwe,Harare,Africa,27.11,27.11,27.11,29.0,26.45,10000.0,0.0,73.0,3.76,6.31,58.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:18,2025-11-02 02:00:18,Zimbabwe,Harare,Africa,21.56,21.56,21.56,54.0,21.18,10000.0,0.0,67.0,3.06,7.52,63.0,1013.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:23,2025-11-02 08:00:23,Zimbabwe,Harare,Africa,26.58,26.58,26.58,30.0,26.58,10000.0,0.0,98.0,5.38,7.14,39.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-11-02 12:00:22,2025-11-02 14:00:22,Zimbabwe,Harare,Africa,31.56,31.56,31.56,30.0,30.33,10000.0,0.0,57.0,1.89,3.63,84.0,1010.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:20,2025-11-02 20:00:20,Zimbabwe,Harare,Africa,25.45,25.45,25.45,45.0,25.23,10000.0,0.0,92.0,3.16,5.68,92.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-11-03 00:00:15,2025-11-03 02:00:15,Zimbabwe,Harare,Africa,19.22,19.22,19.22,73.0,19.1,10000.0,0.0,100.0,6.64,12.51,138.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:20,2025-11-03 08:00:20,Zimbabwe,Harare,Africa,22.78,22.78,22.78,54.0,22.52,10000.0,0.0,88.0,5.87,9.99,92.0,1020.0,1,804,Clouds,overcast clouds,04d
2025-11-03 12:00:26,2025-11-03 14:00:26,Zimbabwe,Harare,Africa,28.76,28.76,28.76,32.0,27.79,10000.0,0.0,67.0,5.91,6.56,58.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:20,2025-11-03 20:00:20,Zimbabwe,Harare,Africa,25.45,25.45,25.45,45.0,25.23,10000.0,0.0,92.0,3.16,5.68,92.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-11-04 00:00:20,2025-11-04 02:00:20,Zimbabwe,Harare,Africa,17.22,17.22,17.22,83.0,17.16,10000.0,0.0,85.0,3.85,8.64,107.0,1019.0,0,804,Clouds,overcast clouds,04n
